,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,147.0,158.0,152.5,Quintal,13567.0,13567.0,13567.0
2013-01-03,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-04,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-05,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-06,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-07,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-08,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-09,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,155.0,165.0,160.0,Quintal,14480.0,14480.0,14480.0
2013-01-10,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-11,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-12,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-13,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-14,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-15,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-16,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,149.0,158.0,153.5,Quintal,13629.0,13629.0,13629.0
2013-01-17,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-18,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-19,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-20,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-21,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-22,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-23,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,150.0,157.0,153.5,Quintal,13417.0,13417.0,13417.0
2013-01-24,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-25,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-26,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-27,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-28,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-29,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-30,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,153.0,160.0,156.5,Quintal,13750.0,13750.0,13750.0
2013-01-31,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,,,,Quintal,,,
2013-02-01,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,,,,Quintal,,,
2013-02-02,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,,,,Quintal,,,
2013-02-03,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,,,,Quintal,,,
2013-02-04,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,,,,Quintal,,,
2013-02-05,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,,,,Quintal,,,
2013-02-06,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,156.0,163.0,159.5,Quintal,11610.0,11610.0,11610.0
2013-02-07,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,,,,Quintal,,,
2013-02-08,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,,,,Quintal,,,
2013-02-09,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,,,,Quintal,,,
2013-02-10,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,,,,Quintal,,,
2013-02-11,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,,,,Quintal,,,
2013-02-12,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,,,,Quintal,,,
2013-02-13,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,155.0,163.0,159.0,Quintal,14083.0,14083.0,14083.0
2013-02-14,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,,,,Quintal,,,
2013-02-15,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,,,,Quintal,,,
2013-02-16,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,,,,Quintal,,,
2013-02-17,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,,,,Quintal,,,
2013-02-18,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,,,,Quintal,,,
2013-02-19,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,,,,Quintal,,,
2013-02-20,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,162.0,172.0,167.0,Quintal,14750.0,14750.0,14750.0
2013-02-21,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,,,,Quintal,,,
2013-02-22,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,,,,Quintal,,,
2013-02-23,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,,,,Quintal,,,
2013-02-24,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,,,,Quintal,,,
2013-02-25,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,,,,Quintal,,,
2013-02-26,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,,,,Quintal,,,
