,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Spices,Dried Chili (Local) - Ordinary,Kilogram,120.0,150.0,135.0,Quintal,10500.0,10500.0,10500.0
2013-01-02,Spices,Dried Chili (Local) - Ordinary,Kilogram,138.0,158.0,148.0,Quintal,14214.0,14214.0,14214.0
2013-01-03,Spices,Dried Chili (Local) - Ordinary,Kilogram,120.0,150.0,135.0,Quintal,10500.0,10500.0,10500.0
2013-01-04,Spices,Dried Chili (Local) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-05,Spices,Dried Chili (Local) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-06,Spices,Dried Chili (Local) - Ordinary,Kilogram,120.0,150.0,135.0,Quintal,10500.0,10500.0,10500.0
2013-01-07,Spices,Dried Chili (Local) - Ordinary,Kilogram,120.0,150.0,135.0,Quintal,10500.0,10500.0,10500.0
2013-01-08,Spices,Dried Chili (Local) - Ordinary,Kilogram,120.0,150.0,135.0,Quintal,10500.0,10500.0,10500.0
2013-01-09,Spices,Dried Chili (Local) - Ordinary,Kilogram,140.0,158.0,149.0,Quintal,13583.0,13583.0,13583.0
2013-01-10,Spices,Dried Chili (Local) - Ordinary,Kilogram,120.0,150.0,135.0,Quintal,10500.0,10500.0,10500.0
2013-01-11,Spices,Dried Chili (Local) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-12,Spices,Dried Chili (Local) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-13,Spices,Dried Chili (Local) - Ordinary,Kilogram,120.0,150.0,135.0,Quintal,10500.0,10500.0,10500.0
2013-01-14,Spices,Dried Chili (Local) - Ordinary,Kilogram,120.0,150.0,135.0,Quintal,10500.0,10500.0,10500.0
2013-01-15,Spices,Dried Chili (Local) - Ordinary,Kilogram,120.0,150.0,135.0,Quintal,10500.0,10500.0,10500.0
2013-01-16,Spices,Dried Chili (Local) - Ordinary,Kilogram,136.0,160.0,148.0,Quintal,13750.0,13750.0,13750.0
2013-01-17,Spices,Dried Chili (Local) - Ordinary,Kilogram,110.0,150.0,130.0,Quintal,10800.0,10800.0,10800.0
2013-01-18,Spices,Dried Chili (Local) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-19,Spices,Dried Chili (Local) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-20,Spices,Dried Chili (Local) - Ordinary,Kilogram,115.0,150.0,132.5,Quintal,12500.0,12500.0,12500.0
2013-01-21,Spices,Dried Chili (Local) - Ordinary,Kilogram,115.0,150.0,132.5,Quintal,12500.0,12500.0,12500.0
2013-01-22,Spices,Dried Chili (Local) - Ordinary,Kilogram,115.0,150.0,132.5,Quintal,12500.0,12500.0,12500.0
2013-01-23,Spices,Dried Chili (Local) - Ordinary,Kilogram,141.0,160.0,150.5,Quintal,13900.0,13900.0,13900.0
2013-01-24,Spices,Dried Chili (Local) - Ordinary,Kilogram,115.0,150.0,132.5,Quintal,12500.0,12500.0,12500.0
2013-01-25,Spices,Dried Chili (Local) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-26,Spices,Dried Chili (Local) - Ordinary,Kilogram,,,,Quintal,,,
2013-01-27,Spices,Dried Chili (Local) - Ordinary,Kilogram,115.0,150.0,132.5,Quintal,12500.0,12500.0,12500.0
2013-01-28,Spices,Dried Chili (Local) - Ordinary,Kilogram,115.0,150.0,132.5,Quintal,12500.0,12500.0,12500.0
2013-01-29,Spices,Dried Chili (Local) - Ordinary,Kilogram,115.0,150.0,132.5,Quintal,12500.0,12500.0,12500.0
2013-01-30,Spices,Dried Chili (Local) - Ordinary,Kilogram,147.0,170.0,158.5,Quintal,14417.0,14417.0,14417.0
2013-01-31,Spices,Dried Chili (Local) - Ordinary,Kilogram,115.0,150.0,132.5,Quintal,12500.0,12500.0,12500.0
2013-02-01,Spices,Dried Chili (Local) - Ordinary,Kilogram,,,,Quintal,,,
2013-02-02,Spices,Dried Chili (Local) - Ordinary,Kilogram,,,,Quintal,,,
2013-02-03,Spices,Dried Chili (Local) - Ordinary,Kilogram,,,,Quintal,,,
2013-02-04,Spices,Dried Chili (Local) - Ordinary,Kilogram,115.0,150.0,132.5,Quintal,13500.0,13500.0,13500.0
2013-02-05,Spices,Dried Chili (Local) - Ordinary,Kilogram,115.0,150.0,132.5,Quintal,13500.0,13500.0,13500.0
2013-02-06,Spices,Dried Chili (Local) - Ordinary,Kilogram,147.0,166.0,156.5,Quintal,14333.0,14333.0,14333.0
2013-02-07,Spices,Dried Chili (Local) - Ordinary,Kilogram,115.0,150.0,132.5,Quintal,14000.0,14000.0,14000.0
