,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Spices,Dried Chili (Local) - Superior,Kilogram,165.0,185.0,175.0,Quintal,16500.0,16500.0,16500.0
2013-01-03,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-01-04,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-01-05,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-01-06,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-01-07,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-01-08,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-01-09,Spices,Dried Chili (Local) - Superior,Kilogram,165.0,185.0,175.0,Quintal,16500.0,16500.0,16500.0
2013-01-10,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-01-11,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-01-12,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-01-13,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-01-14,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-01-15,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-01-16,Spices,Dried Chili (Local) - Superior,Kilogram,190.0,210.0,200.0,Quintal,19000.0,19000.0,19000.0
2013-01-17,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-01-18,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-01-19,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-01-20,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-01-21,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-01-22,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-01-23,Spices,Dried Chili (Local) - Superior,Kilogram,190.0,210.0,200.0,Quintal,20000.0,20000.0,20000.0
2013-01-24,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-01-25,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-01-26,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-01-27,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-01-28,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-01-29,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-01-30,Spices,Dried Chili (Local) - Superior,Kilogram,190.0,210.0,200.0,Quintal,20000.0,20000.0,20000.0
2013-01-31,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-02-01,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-02-02,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-02-03,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-02-04,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-02-05,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-02-06,Spices,Dried Chili (Local) - Superior,Kilogram,190.0,210.0,200.0,Quintal,20000.0,20000.0,20000.0
2013-02-07,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-02-08,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-02-09,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-02-10,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-02-11,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-02-12,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-02-13,Spices,Dried Chili (Local) - Superior,Kilogram,190.0,210.0,200.0,Quintal,20000.0,20000.0,20000.0
2013-02-14,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-02-15,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-02-16,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-02-17,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-02-18,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-02-19,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-02-20,Spices,Dried Chili (Local) - Superior,Kilogram,190.0,210.0,200.0,Quintal,20000.0,20000.0,20000.0
2013-02-21,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-02-22,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-02-23,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-02-24,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-02-25,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-02-26,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-02-27,Spices,Dried Chili (Local) - Superior,Kilogram,190.0,210.0,200.0,Quintal,20000.0,20000.0,20000.0
2013-02-28,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-03-01,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-03-02,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-03-03,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-03-04,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-03-05,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-03-06,Spices,Dried Chili (Local) - Superior,Kilogram,190.0,210.0,200.0,Quintal,20000.0,20000.0,20000.0
2013-03-07,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-03-08,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-03-09,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-03-10,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-03-11,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-03-12,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-03-13,Spices,Dried Chili (Local) - Superior,Kilogram,190.0,210.0,200.0,Quintal,20000.0,20000.0,20000.0
2013-03-14,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-03-15,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-03-16,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-03-17,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-03-18,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-03-19,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-03-20,Spices,Dried Chili (Local) - Superior,Kilogram,190.0,210.0,200.0,Quintal,20000.0,20000.0,20000.0
2013-03-21,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-03-22,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-03-23,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-03-24,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-03-25,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-03-26,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-03-27,Spices,Dried Chili (Local) - Superior,Kilogram,200.0,220.0,210.0,Quintal,20000.0,20000.0,20000.0
2013-03-28,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-03-29,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-03-30,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-03-31,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-04-01,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-04-02,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-04-03,Spices,Dried Chili (Local) - Superior,Kilogram,200.0,220.0,210.0,Quintal,20000.0,20000.0,20000.0
2013-04-04,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-04-05,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-04-06,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-04-07,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-04-08,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-04-09,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-04-10,Spices,Dried Chili (Local) - Superior,Kilogram,200.0,220.0,210.0,Quintal,20000.0,20000.0,20000.0
2013-04-11,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-04-12,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-04-13,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-04-14,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
2013-04-15,Spices,Dried Chili (Local) - Superior,Kilogram,,,,Quintal,,,
