,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2017-01-01,Spices,Dry Chilli,Quintal,200.0,220.0,210.0,Quintal,16500.0,16500.0,16500.0
2017-01-02,Spices,Dry Chilli,Quintal,,,,Quintal,,,
2017-01-03,Spices,Dry Chilli,Quintal,,,,Quintal,,,
2017-01-04,Spices,Dry Chilli,Quintal,,,,Quintal,,,
2017-01-05,Spices,Dry Chilli,Quintal,,,,Quintal,,,
2017-01-06,Spices,Dry Chilli,Quintal,,,,Quintal,,,
2017-01-07,Spices,Dry Chilli,Quintal,,,,Quintal,,,
2017-01-08,Spices,Dry Chilli,Quintal,,,,Quintal,,,
2017-01-09,Spices,Dry Chilli,Quintal,,,,Quintal,,,
2017-01-10,Spices,Dry Chilli,Quintal,,,,Quintal,,,
2017-01-11,Spices,Dry Chilli,Quintal,,,,Quintal,,,
2017-01-12,Spices,Dry Chilli,Quintal,,,,Quintal,,,
2017-01-13,Spices,Dry Chilli,Quintal,,,,Quintal,,,
2017-01-14,Spices,Dry Chilli,Quintal,,,,Quintal,,,
2017-01-15,Spices,Dry Chilli,Quintal,,,,Quintal,,,
2017-01-16,Spices,Dry Chilli,Quintal,,,,Quintal,,,
2017-01-17,Spices,Dry Chilli,Quintal,,,,Quintal,,,
2017-01-18,Spices,Dry Chilli,Quintal,,,,Quintal,,,
2017-01-19,Spices,Dry Chilli,Quintal,,,,Quintal,,,
2017-01-20,Spices,Dry Chilli,Quintal,,,,Quintal,,,
2017-01-21,Spices,Dry Chilli,Quintal,,,,Quintal,,,
2017-01-22,Spices,Dry Chilli,Quintal,,,,Quintal,,,
2017-01-23,Spices,Dry Chilli,Quintal,,,,Quintal,,,
2017-01-24,Spices,Dry Chilli,Quintal,,,,Quintal,,,
2017-01-25,Spices,Dry Chilli,Quintal,,,,Quintal,,,
2017-01-26,Spices,Dry Chilli,Quintal,,,,Quintal,,,
2017-01-27,Spices,Dry Chilli,Quintal,,,,Quintal,,,
2017-01-28,Spices,Dry Chilli,Quintal,,,,Quintal,,,
2017-01-29,Spices,Dry Chilli,Quintal,,,,Quintal,,,
2017-01-30,Spices,Dry Chilli,Quintal,,,,Quintal,,,
2017-01-31,Spices,Dry Chilli,Quintal,,,,Quintal,,,
2017-02-01,Spices,Dry Chilli,Quintal,,,,Quintal,,,
2017-02-02,Spices,Dry Chilli,Quintal,,,,Quintal,,,
2017-02-03,Spices,Dry Chilli,Quintal,,,,Quintal,,,
2017-02-04,Spices,Dry Chilli,Quintal,,,,Quintal,,,
2017-02-05,Spices,Dry Chilli,Quintal,,,,Quintal,,,
2017-02-06,Spices,Dry Chilli,Quintal,,,,Quintal,,,
2017-02-07,Spices,Dry Chilli,Quintal,,,,Quintal,,,
2017-02-08,Spices,Dry Chilli,Quintal,,,,Quintal,,,
2017-02-09,Spices,Dry Chilli,Quintal,,,,Quintal,,,
2017-02-10,Spices,Dry Chilli,Quintal,,,,Quintal,,,
2017-02-11,Spices,Dry Chilli,Quintal,,,,Quintal,,,
2017-02-12,Spices,Dry Chilli,Quintal,,,,Quintal,,,
2017-02-13,Spices,Dry Chilli,Quintal,,,,Quintal,,,
2017-02-14,Spices,Dry Chilli,Quintal,,,,Quintal,,,
