,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Spices,Garlic (Imported),Kilogram,80.0,90.0,85.0,Quintal,6800.0,6800.0,6800.0
2013-01-02,Spices,Garlic (Imported),Kilogram,89.0,95.0,92.0,Quintal,17733.0,17733.0,17733.0
2013-01-03,Spices,Garlic (Imported),Kilogram,80.0,90.0,85.0,Quintal,70000.0,70000.0,70000.0
2013-01-04,Spices,Garlic (Imported),Kilogram,,,,Quintal,,,
2013-01-05,Spices,Garlic (Imported),Kilogram,,,,Quintal,,,
2013-01-06,Spices,Garlic (Imported),Kilogram,80.0,90.0,85.0,Quintal,70000.0,70000.0,70000.0
2013-01-07,Spices,Garlic (Imported),Kilogram,80.0,90.0,85.0,Quintal,70000.0,70000.0,70000.0
2013-01-08,Spices,Garlic (Imported),Kilogram,80.0,100.0,90.0,Quintal,70000.0,70000.0,70000.0
2013-01-09,Spices,Garlic (Imported),Kilogram,88.0,97.0,92.5,Quintal,7220.0,7220.0,7220.0
2013-01-10,Spices,Garlic (Imported),Kilogram,80.0,100.0,90.0,Quintal,7600.0,7600.0,7600.0
2013-01-11,Spices,Garlic (Imported),Kilogram,,,,Quintal,,,
2013-01-12,Spices,Garlic (Imported),Kilogram,,,,Quintal,,,
2013-01-13,Spices,Garlic (Imported),Kilogram,80.0,100.0,90.0,Quintal,7500.0,7500.0,7500.0
2013-01-14,Spices,Garlic (Imported),Kilogram,80.0,90.0,85.0,Quintal,7500.0,7500.0,7500.0
2013-01-15,Spices,Garlic (Imported),Kilogram,80.0,100.0,90.0,Quintal,7200.0,7200.0,7200.0
2013-01-16,Spices,Garlic (Imported),Kilogram,87.0,96.0,91.5,Quintal,7160.0,7160.0,7160.0
2013-01-17,Spices,Garlic (Imported),Kilogram,80.0,95.0,87.5,Quintal,7500.0,7500.0,7500.0
2013-01-18,Spices,Garlic (Imported),Kilogram,,,,Quintal,,,
2013-01-19,Spices,Garlic (Imported),Kilogram,,,,Quintal,,,
2013-01-20,Spices,Garlic (Imported),Kilogram,85.0,95.0,90.0,Quintal,8500.0,8500.0,8500.0
2013-01-21,Spices,Garlic (Imported),Kilogram,85.0,95.0,90.0,Quintal,8500.0,8500.0,8500.0
2013-01-22,Spices,Garlic (Imported),Kilogram,90.0,110.0,100.0,Quintal,8200.0,8200.0,8200.0
2013-01-23,Spices,Garlic (Imported),Kilogram,96.0,104.0,100.0,Quintal,9150.0,9150.0,9150.0
2013-01-24,Spices,Garlic (Imported),Kilogram,95.0,110.0,102.5,Quintal,9700.0,9700.0,9700.0
2013-01-25,Spices,Garlic (Imported),Kilogram,,,,Quintal,,,
2013-01-26,Spices,Garlic (Imported),Kilogram,,,,Quintal,,,
2013-01-27,Spices,Garlic (Imported),Kilogram,105.0,120.0,112.5,Quintal,10000.0,10000.0,10000.0
2013-01-28,Spices,Garlic (Imported),Kilogram,105.0,120.0,112.5,Quintal,98000.0,98000.0,98000.0
2013-01-29,Spices,Garlic (Imported),Kilogram,105.0,120.0,112.5,Quintal,10000.0,10000.0,10000.0
2013-01-30,Spices,Garlic (Imported),Kilogram,103.0,110.0,106.5,Quintal,9817.0,9817.0,9817.0
2013-01-31,Spices,Garlic (Imported),Kilogram,110.0,120.0,115.0,Quintal,10000.0,10000.0,10000.0
2013-02-01,Spices,Garlic (Imported),Kilogram,,,,Quintal,,,
2013-02-02,Spices,Garlic (Imported),Kilogram,,,,Quintal,,,
2013-02-03,Spices,Garlic (Imported),Kilogram,,,,Quintal,,,
2013-02-04,Spices,Garlic (Imported),Kilogram,110.0,120.0,115.0,Quintal,10000.0,10000.0,10000.0
2013-02-05,Spices,Garlic (Imported),Kilogram,110.0,120.0,115.0,Quintal,10500.0,10500.0,10500.0
2013-02-06,Spices,Garlic (Imported),Kilogram,108.0,114.0,111.0,Quintal,10283.0,10283.0,10283.0
2013-02-07,Spices,Garlic (Imported),Kilogram,110.0,120.0,115.0,Quintal,10200.0,10200.0,10200.0
2013-02-08,Spices,Garlic (Imported),Kilogram,,,,Quintal,,,
2013-02-09,Spices,Garlic (Imported),Kilogram,,,,Quintal,,,
2013-02-10,Spices,Garlic (Imported),Kilogram,115.0,120.0,117.5,Quintal,10800.0,10800.0,10800.0
2013-02-11,Spices,Garlic (Imported),Kilogram,115.0,120.0,117.5,Quintal,10800.0,10800.0,10800.0
2013-02-12,Spices,Garlic (Imported),Kilogram,,,,Quintal,,,
2013-02-13,Spices,Garlic (Imported),Kilogram,113.0,119.0,116.0,Quintal,10580.0,10580.0,10580.0
2013-02-14,Spices,Garlic (Imported),Kilogram,115.0,120.0,117.5,Quintal,10800.0,10800.0,10800.0
2013-02-15,Spices,Garlic (Imported),Kilogram,,,,Quintal,,,
2013-02-16,Spices,Garlic (Imported),Kilogram,,,,Quintal,,,
2013-02-17,Spices,Garlic (Imported),Kilogram,,,,Quintal,,,
2013-02-18,Spices,Garlic (Imported),Kilogram,115.0,125.0,120.0,Quintal,10600.0,10600.0,10600.0
2013-02-19,Spices,Garlic (Imported),Kilogram,115.0,125.0,120.0,Quintal,11000.0,11000.0,11000.0
2013-02-20,Spices,Garlic (Imported),Kilogram,117.0,124.0,120.5,Quintal,10620.0,10620.0,10620.0
2013-02-21,Spices,Garlic (Imported),Kilogram,,,,Quintal,,,
2013-02-22,Spices,Garlic (Imported),Kilogram,,,,Quintal,,,
2013-02-23,Spices,Garlic (Imported),Kilogram,,,,Quintal,,,
2013-02-24,Spices,Garlic (Imported),Kilogram,115.0,125.0,120.0,Quintal,10700.0,10700.0,10700.0
2013-02-25,Spices,Garlic (Imported),Kilogram,,,,Quintal,,,
2013-02-26,Spices,Garlic (Imported),Kilogram,115.0,120.0,117.5,Quintal,10700.0,10700.0,10700.0
2013-02-27,Spices,Garlic (Imported),Kilogram,108.0,118.0,113.0,Quintal,10200.0,10200.0,10200.0
2013-02-28,Spices,Garlic (Imported),Kilogram,81.0,84.0,82.5,Quintal,10800.0,10800.0,10800.0
2013-03-01,Spices,Garlic (Imported),Kilogram,,,,Quintal,,,
