,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Spices,Garlic (local) - Big Size,Kilogram,35.0,50.0,42.5,Quintal,3000.0,3000.0,3000.0
2013-01-02,Spices,Garlic (local) - Big Size,Kilogram,37.0,43.0,40.0,Quintal,3224.0,3224.0,3224.0
2013-01-03,Spices,Garlic (local) - Big Size,Kilogram,35.0,50.0,42.5,Quintal,2800.0,2800.0,2800.0
2013-01-04,Spices,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2013-01-05,Spices,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2013-01-06,Spices,Garlic (local) - Big Size,Kilogram,35.0,55.0,45.0,Quintal,2800.0,2800.0,2800.0
2013-01-07,Spices,Garlic (local) - Big Size,Kilogram,35.0,55.0,45.0,Quintal,2800.0,2800.0,2800.0
2013-01-08,Spices,Garlic (local) - Big Size,Kilogram,40.0,55.0,47.5,Quintal,2800.0,2800.0,2800.0
2013-01-09,Spices,Garlic (local) - Big Size,Kilogram,36.0,42.0,39.0,Quintal,3209.0,3209.0,3209.0
2013-01-10,Spices,Garlic (local) - Big Size,Kilogram,35.0,60.0,47.5,Quintal,2800.0,2800.0,2800.0
2013-01-11,Spices,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2013-01-12,Spices,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2013-01-13,Spices,Garlic (local) - Big Size,Kilogram,35.0,60.0,47.5,Quintal,2800.0,2800.0,2800.0
2013-01-14,Spices,Garlic (local) - Big Size,Kilogram,35.0,60.0,47.5,Quintal,3000.0,3000.0,3000.0
2013-01-15,Spices,Garlic (local) - Big Size,Kilogram,35.0,50.0,42.5,Quintal,3000.0,3000.0,3000.0
2013-01-16,Spices,Garlic (local) - Big Size,Kilogram,37.0,43.0,40.0,Quintal,3406.0,3406.0,3406.0
2013-01-17,Spices,Garlic (local) - Big Size,Kilogram,35.0,50.0,42.5,Quintal,2800.0,2800.0,2800.0
2013-01-18,Spices,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2013-01-19,Spices,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2013-01-20,Spices,Garlic (local) - Big Size,Kilogram,40.0,60.0,50.0,Quintal,3500.0,3500.0,3500.0
2013-01-21,Spices,Garlic (local) - Big Size,Kilogram,45.0,60.0,52.5,Quintal,3800.0,3800.0,3800.0
2013-01-22,Spices,Garlic (local) - Big Size,Kilogram,45.0,60.0,52.5,Quintal,3800.0,3800.0,3800.0
2013-01-23,Spices,Garlic (local) - Big Size,Kilogram,46.0,54.0,50.0,Quintal,4320.0,4320.0,4320.0
2013-01-24,Spices,Garlic (local) - Big Size,Kilogram,50.0,80.0,65.0,Quintal,4000.0,4000.0,4000.0
2013-01-25,Spices,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2013-01-26,Spices,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2013-01-27,Spices,Garlic (local) - Big Size,Kilogram,55.0,75.0,65.0,Quintal,4000.0,4000.0,4000.0
2013-01-28,Spices,Garlic (local) - Big Size,Kilogram,55.0,75.0,65.0,Quintal,4200.0,4200.0,4200.0
2013-01-29,Spices,Garlic (local) - Big Size,Kilogram,55.0,75.0,65.0,Quintal,4200.0,4200.0,4200.0
2013-01-30,Spices,Garlic (local) - Big Size,Kilogram,48.0,57.0,52.5,Quintal,4500.0,4500.0,4500.0
2013-01-31,Spices,Garlic (local) - Big Size,Kilogram,55.0,75.0,65.0,Quintal,4500.0,4500.0,4500.0
2013-02-01,Spices,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2013-02-02,Spices,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2013-02-03,Spices,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2013-02-04,Spices,Garlic (local) - Big Size,Kilogram,55.0,70.0,62.5,Quintal,4500.0,4500.0,4500.0
2013-02-05,Spices,Garlic (local) - Big Size,Kilogram,55.0,70.0,62.5,Quintal,4000.0,4000.0,4000.0
2013-02-06,Spices,Garlic (local) - Big Size,Kilogram,51.0,58.0,54.5,Quintal,4773.0,4773.0,4773.0
2013-02-07,Spices,Garlic (local) - Big Size,Kilogram,55.0,70.0,62.5,Quintal,4000.0,4000.0,4000.0
2013-02-08,Spices,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2013-02-09,Spices,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2013-02-10,Spices,Garlic (local) - Big Size,Kilogram,55.0,70.0,62.5,Quintal,4000.0,4000.0,4000.0
2013-02-11,Spices,Garlic (local) - Big Size,Kilogram,55.0,70.0,62.5,Quintal,4000.0,4000.0,4000.0
2013-02-12,Spices,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2013-02-13,Spices,Garlic (local) - Big Size,Kilogram,53.0,59.0,56.0,Quintal,5020.0,5020.0,5020.0
2013-02-14,Spices,Garlic (local) - Big Size,Kilogram,50.0,70.0,60.0,Quintal,4000.0,4000.0,4000.0
2013-02-15,Spices,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2013-02-16,Spices,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2013-02-17,Spices,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2013-02-18,Spices,Garlic (local) - Big Size,Kilogram,60.0,70.0,65.0,Quintal,4000.0,4000.0,4000.0
2013-02-19,Spices,Garlic (local) - Big Size,Kilogram,60.0,70.0,65.0,Quintal,4500.0,4500.0,4500.0
2013-02-20,Spices,Garlic (local) - Big Size,Kilogram,54.0,61.0,57.5,Quintal,5233.0,5233.0,5233.0
2013-02-21,Spices,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2013-02-22,Spices,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2013-02-23,Spices,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2013-02-24,Spices,Garlic (local) - Big Size,Kilogram,55.0,70.0,62.5,Quintal,4500.0,4500.0,4500.0
2013-02-25,Spices,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2013-02-26,Spices,Garlic (local) - Big Size,Kilogram,50.0,70.0,60.0,Quintal,4500.0,4500.0,4500.0
2013-02-27,Spices,Garlic (local) - Big Size,Kilogram,55.0,63.0,59.0,Quintal,5669.0,5669.0,5669.0
2013-02-28,Spices,Garlic (local) - Big Size,Kilogram,50.0,61.0,55.5,Quintal,4850.0,4850.0,4850.0
2013-03-01,Spices,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2013-03-02,Spices,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
2013-03-03,Spices,Garlic (local) - Big Size,Kilogram,50.0,70.0,60.0,Quintal,5500.0,5500.0,5500.0
2013-03-04,Spices,Garlic (local) - Big Size,Kilogram,50.0,70.0,60.0,Quintal,5000.0,5000.0,5000.0
2013-03-05,Spices,Garlic (local) - Big Size,Kilogram,,,,Quintal,,,
