,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Spices,Ginger (Imported),Kilogram,60.0,75.0,67.5,Quintal,5400.0,5400.0,5400.0
2013-01-02,Spices,Ginger (Imported),Kilogram,69.0,77.0,73.0,Quintal,6262.0,6262.0,6262.0
2013-01-03,Spices,Ginger (Imported),Kilogram,60.0,75.0,67.5,Quintal,5800.0,5800.0,5800.0
2013-01-04,Spices,Ginger (Imported),Kilogram,,,,Quintal,,,
2013-01-05,Spices,Ginger (Imported),Kilogram,,,,Quintal,,,
2013-01-06,Spices,Ginger (Imported),Kilogram,60.0,75.0,67.5,Quintal,5800.0,5800.0,5800.0
2013-01-07,Spices,Ginger (Imported),Kilogram,60.0,75.0,67.5,Quintal,5800.0,5800.0,5800.0
2013-01-08,Spices,Ginger (Imported),Kilogram,65.0,80.0,72.5,Quintal,5800.0,5800.0,5800.0
2013-01-09,Spices,Ginger (Imported),Kilogram,69.0,77.0,73.0,Quintal,6183.0,6183.0,6183.0
2013-01-10,Spices,Ginger (Imported),Kilogram,65.0,80.0,72.5,Quintal,6200.0,6200.0,6200.0
2013-01-11,Spices,Ginger (Imported),Kilogram,,,,Quintal,,,
2013-01-12,Spices,Ginger (Imported),Kilogram,,,,Quintal,,,
2013-01-13,Spices,Ginger (Imported),Kilogram,65.0,80.0,72.5,Quintal,6200.0,6200.0,6200.0
2013-01-14,Spices,Ginger (Imported),Kilogram,65.0,80.0,72.5,Quintal,6200.0,6200.0,6200.0
2013-01-15,Spices,Ginger (Imported),Kilogram,65.0,80.0,72.5,Quintal,6200.0,6200.0,6200.0
2013-01-16,Spices,Ginger (Imported),Kilogram,70.0,78.0,74.0,Quintal,6425.0,6425.0,6425.0
2013-01-17,Spices,Ginger (Imported),Kilogram,65.0,85.0,75.0,Quintal,6500.0,6500.0,6500.0
2013-01-18,Spices,Ginger (Imported),Kilogram,,,,Quintal,,,
2013-01-19,Spices,Ginger (Imported),Kilogram,,,,Quintal,,,
2013-01-20,Spices,Ginger (Imported),Kilogram,80.0,90.0,85.0,Quintal,8500.0,8500.0,8500.0
2013-01-21,Spices,Ginger (Imported),Kilogram,85.0,90.0,87.5,Quintal,8500.0,8500.0,8500.0
2013-01-22,Spices,Ginger (Imported),Kilogram,85.0,100.0,92.5,Quintal,8000.0,8000.0,8000.0
2013-01-23,Spices,Ginger (Imported),Kilogram,77.0,84.0,80.5,Quintal,7120.0,7120.0,7120.0
2013-01-24,Spices,Ginger (Imported),Kilogram,85.0,110.0,97.5,Quintal,8000.0,8000.0,8000.0
2013-01-25,Spices,Ginger (Imported),Kilogram,,,,Quintal,,,
2013-01-26,Spices,Ginger (Imported),Kilogram,,,,Quintal,,,
2013-01-27,Spices,Ginger (Imported),Kilogram,90.0,120.0,105.0,Quintal,8500.0,8500.0,8500.0
2013-01-28,Spices,Ginger (Imported),Kilogram,100.0,115.0,107.5,Quintal,9000.0,9000.0,9000.0
2013-01-29,Spices,Ginger (Imported),Kilogram,110.0,120.0,115.0,Quintal,9000.0,9000.0,9000.0
2013-01-30,Spices,Ginger (Imported),Kilogram,81.0,87.0,84.0,Quintal,7169.0,7169.0,7169.0
2013-01-31,Spices,Ginger (Imported),Kilogram,110.0,110.0,110.0,Quintal,8600.0,8600.0,8600.0
2013-02-01,Spices,Ginger (Imported),Kilogram,,,,Quintal,,,
2013-02-02,Spices,Ginger (Imported),Kilogram,,,,Quintal,,,
2013-02-03,Spices,Ginger (Imported),Kilogram,,,,Quintal,,,
2013-02-04,Spices,Ginger (Imported),Kilogram,95.0,120.0,107.5,Quintal,8600.0,8600.0,8600.0
2013-02-05,Spices,Ginger (Imported),Kilogram,95.0,115.0,105.0,Quintal,8600.0,8600.0,8600.0
2013-02-06,Spices,Ginger (Imported),Kilogram,78.0,88.0,83.0,Quintal,6989.0,6989.0,6989.0
2013-02-07,Spices,Ginger (Imported),Kilogram,85.0,110.0,97.5,Quintal,7400.0,7400.0,7400.0
2013-02-08,Spices,Ginger (Imported),Kilogram,,,,Quintal,,,
2013-02-09,Spices,Ginger (Imported),Kilogram,,,,Quintal,,,
2013-02-10,Spices,Ginger (Imported),Kilogram,85.0,110.0,97.5,Quintal,7200.0,7200.0,7200.0
2013-02-11,Spices,Ginger (Imported),Kilogram,70.0,100.0,85.0,Quintal,7000.0,7000.0,7000.0
2013-02-12,Spices,Ginger (Imported),Kilogram,,,,Quintal,,,
2013-02-13,Spices,Ginger (Imported),Kilogram,82.0,89.0,85.5,Quintal,7133.0,7133.0,7133.0
2013-02-14,Spices,Ginger (Imported),Kilogram,80.0,100.0,90.0,Quintal,6400.0,6400.0,6400.0
2013-02-15,Spices,Ginger (Imported),Kilogram,,,,Quintal,,,
2013-02-16,Spices,Ginger (Imported),Kilogram,,,,Quintal,,,
2013-02-17,Spices,Ginger (Imported),Kilogram,,,,Quintal,,,
2013-02-18,Spices,Ginger (Imported),Kilogram,80.0,100.0,90.0,Quintal,6000.0,6000.0,6000.0
2013-02-19,Spices,Ginger (Imported),Kilogram,80.0,90.0,85.0,Quintal,7000.0,7000.0,7000.0
2013-02-20,Spices,Ginger (Imported),Kilogram,77.0,84.0,80.5,Quintal,11667.0,11667.0,11667.0
2013-02-21,Spices,Ginger (Imported),Kilogram,,,,Quintal,,,
2013-02-22,Spices,Ginger (Imported),Kilogram,,,,Quintal,,,
2013-02-23,Spices,Ginger (Imported),Kilogram,,,,Quintal,,,
2013-02-24,Spices,Ginger (Imported),Kilogram,75.0,90.0,82.5,Quintal,7000.0,7000.0,7000.0
2013-02-25,Spices,Ginger (Imported),Kilogram,,,,Quintal,,,
2013-02-26,Spices,Ginger (Imported),Kilogram,70.0,90.0,80.0,Quintal,6800.0,6800.0,6800.0
2013-02-27,Spices,Ginger (Imported),Kilogram,77.0,84.0,80.5,Quintal,6214.0,6214.0,6214.0
2013-02-28,Spices,Ginger (Imported),Kilogram,70.0,78.0,74.0,Quintal,5550.0,5550.0,5550.0
2013-03-01,Spices,Ginger (Imported),Kilogram,,,,Quintal,,,
