,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Spices,Ginger (local) - New,Kilogram,50.0,80.0,65.0,Quintal,4600.0,4600.0,4600.0
2013-01-02,Spices,Ginger (local) - New,Kilogram,60.0,68.0,64.0,Quintal,5375.0,5375.0,5375.0
2013-01-03,Spices,Ginger (local) - New,Kilogram,60.0,90.0,75.0,Quintal,5000.0,5000.0,5000.0
2013-01-04,Spices,Ginger (local) - New,Kilogram,,,,Quintal,,,
2013-01-05,Spices,Ginger (local) - New,Kilogram,,,,Quintal,,,
2013-01-06,Spices,Ginger (local) - New,Kilogram,60.0,90.0,75.0,Quintal,5000.0,5000.0,5000.0
2013-01-07,Spices,Ginger (local) - New,Kilogram,60.0,90.0,75.0,Quintal,5000.0,5000.0,5000.0
2013-01-08,Spices,Ginger (local) - New,Kilogram,70.0,100.0,85.0,Quintal,5500.0,5500.0,5500.0
2013-01-09,Spices,Ginger (local) - New,Kilogram,65.0,73.0,69.0,Quintal,5953.0,5953.0,5953.0
2013-01-10,Spices,Ginger (local) - New,Kilogram,70.0,100.0,85.0,Quintal,5500.0,5500.0,5500.0
2013-01-11,Spices,Ginger (local) - New,Kilogram,,,,Quintal,,,
2013-01-12,Spices,Ginger (local) - New,Kilogram,,,,Quintal,,,
2013-01-13,Spices,Ginger (local) - New,Kilogram,70.0,100.0,85.0,Quintal,5800.0,5800.0,5800.0
2013-01-14,Spices,Ginger (local) - New,Kilogram,70.0,100.0,85.0,Quintal,6000.0,6000.0,6000.0
2013-01-15,Spices,Ginger (local) - New,Kilogram,70.0,90.0,80.0,Quintal,6500.0,6500.0,6500.0
2013-01-16,Spices,Ginger (local) - New,Kilogram,70.0,80.0,75.0,Quintal,6007.0,6007.0,6007.0
2013-01-17,Spices,Ginger (local) - New,Kilogram,70.0,90.0,80.0,Quintal,6000.0,6000.0,6000.0
2013-01-18,Spices,Ginger (local) - New,Kilogram,,,,Quintal,,,
2013-01-19,Spices,Ginger (local) - New,Kilogram,,,,Quintal,,,
2013-01-20,Spices,Ginger (local) - New,Kilogram,70.0,90.0,80.0,Quintal,6000.0,6000.0,6000.0
2013-01-21,Spices,Ginger (local) - New,Kilogram,70.0,90.0,80.0,Quintal,6000.0,6000.0,6000.0
2013-01-22,Spices,Ginger (local) - New,Kilogram,70.0,90.0,80.0,Quintal,6000.0,6000.0,6000.0
2013-01-23,Spices,Ginger (local) - New,Kilogram,73.0,84.0,78.5,Quintal,6292.0,6292.0,6292.0
2013-01-24,Spices,Ginger (local) - New,Kilogram,70.0,90.0,80.0,Quintal,6000.0,6000.0,6000.0
2013-01-25,Spices,Ginger (local) - New,Kilogram,,,,Quintal,,,
2013-01-26,Spices,Ginger (local) - New,Kilogram,,,,Quintal,,,
2013-01-27,Spices,Ginger (local) - New,Kilogram,70.0,90.0,80.0,Quintal,6000.0,6000.0,6000.0
2013-01-28,Spices,Ginger (local) - New,Kilogram,80.0,100.0,90.0,Quintal,6200.0,6200.0,6200.0
2013-01-29,Spices,Ginger (local) - New,Kilogram,90.0,120.0,105.0,Quintal,7000.0,7000.0,7000.0
2013-01-30,Spices,Ginger (local) - New,Kilogram,73.0,83.0,78.0,Quintal,6462.0,6462.0,6462.0
2013-01-31,Spices,Ginger (local) - New,Kilogram,90.0,120.0,105.0,Quintal,6800.0,6800.0,6800.0
2013-02-01,Spices,Ginger (local) - New,Kilogram,,,,Quintal,,,
2013-02-02,Spices,Ginger (local) - New,Kilogram,,,,Quintal,,,
2013-02-03,Spices,Ginger (local) - New,Kilogram,,,,Quintal,,,
2013-02-04,Spices,Ginger (local) - New,Kilogram,90.0,110.0,100.0,Quintal,6800.0,6800.0,6800.0
2013-02-05,Spices,Ginger (local) - New,Kilogram,90.0,100.0,95.0,Quintal,6800.0,6800.0,6800.0
