,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Spices,Ginger (local) - Old,Kilogram,64.0,72.0,68.0,Quintal,5000.0,5000.0,5000.0
2013-01-03,Spices,Ginger (local) - Old,Kilogram,,,,Quintal,,,
2013-01-04,Spices,Ginger (local) - Old,Kilogram,,,,Quintal,,,
2013-01-05,Spices,Ginger (local) - Old,Kilogram,,,,Quintal,,,
2013-01-06,Spices,Ginger (local) - Old,Kilogram,,,,Quintal,,,
2013-01-07,Spices,Ginger (local) - Old,Kilogram,,,,Quintal,,,
2013-01-08,Spices,Ginger (local) - Old,Kilogram,,,,Quintal,,,
2013-01-09,Spices,Ginger (local) - Old,Kilogram,64.0,73.0,68.5,Quintal,5000.0,5000.0,5000.0
2013-01-10,Spices,Ginger (local) - Old,Kilogram,,,,Quintal,,,
2013-01-11,Spices,Ginger (local) - Old,Kilogram,,,,Quintal,,,
2013-01-12,Spices,Ginger (local) - Old,Kilogram,,,,Quintal,,,
2013-01-13,Spices,Ginger (local) - Old,Kilogram,,,,Quintal,,,
2013-01-14,Spices,Ginger (local) - Old,Kilogram,,,,Quintal,,,
2013-01-15,Spices,Ginger (local) - Old,Kilogram,,,,Quintal,,,
2013-01-16,Spices,Ginger (local) - Old,Kilogram,63.0,72.0,67.5,Quintal,5750.0,5750.0,5750.0
2013-01-17,Spices,Ginger (local) - Old,Kilogram,,,,Quintal,,,
2013-01-18,Spices,Ginger (local) - Old,Kilogram,,,,Quintal,,,
2013-01-19,Spices,Ginger (local) - Old,Kilogram,,,,Quintal,,,
2013-01-20,Spices,Ginger (local) - Old,Kilogram,,,,Quintal,,,
2013-01-21,Spices,Ginger (local) - Old,Kilogram,,,,Quintal,,,
2013-01-22,Spices,Ginger (local) - Old,Kilogram,,,,Quintal,,,
2013-01-23,Spices,Ginger (local) - Old,Kilogram,65.0,70.0,67.5,Quintal,5750.0,5750.0,5750.0
2013-01-24,Spices,Ginger (local) - Old,Kilogram,,,,Quintal,,,
2013-01-25,Spices,Ginger (local) - Old,Kilogram,,,,Quintal,,,
2013-01-26,Spices,Ginger (local) - Old,Kilogram,,,,Quintal,,,
2013-01-27,Spices,Ginger (local) - Old,Kilogram,,,,Quintal,,,
2013-01-28,Spices,Ginger (local) - Old,Kilogram,,,,Quintal,,,
2013-01-29,Spices,Ginger (local) - Old,Kilogram,,,,Quintal,,,
2013-01-30,Spices,Ginger (local) - Old,Kilogram,70.0,75.0,72.5,Quintal,6500.0,6500.0,6500.0
2013-01-31,Spices,Ginger (local) - Old,Kilogram,,,,Quintal,,,
2013-02-01,Spices,Ginger (local) - Old,Kilogram,,,,Quintal,,,
2013-02-02,Spices,Ginger (local) - Old,Kilogram,,,,Quintal,,,
2013-02-03,Spices,Ginger (local) - Old,Kilogram,,,,Quintal,,,
2013-02-04,Spices,Ginger (local) - Old,Kilogram,,,,Quintal,,,
2013-02-05,Spices,Ginger (local) - Old,Kilogram,,,,Quintal,,,
2013-02-06,Spices,Ginger (local) - Old,Kilogram,70.0,76.0,73.0,Quintal,7125.0,7125.0,7125.0
2013-02-07,Spices,Ginger (local) - Old,Kilogram,,,,Quintal,,,
2013-02-08,Spices,Ginger (local) - Old,Kilogram,,,,Quintal,,,
2013-02-09,Spices,Ginger (local) - Old,Kilogram,,,,Quintal,,,
2013-02-10,Spices,Ginger (local) - Old,Kilogram,,,,Quintal,,,
2013-02-11,Spices,Ginger (local) - Old,Kilogram,,,,Quintal,,,
2013-02-12,Spices,Ginger (local) - Old,Kilogram,,,,Quintal,,,
2013-02-13,Spices,Ginger (local) - Old,Kilogram,73.0,78.0,75.5,Quintal,6650.0,6650.0,6650.0
2013-02-14,Spices,Ginger (local) - Old,Kilogram,,,,Quintal,,,
2013-02-15,Spices,Ginger (local) - Old,Kilogram,,,,Quintal,,,
2013-02-16,Spices,Ginger (local) - Old,Kilogram,,,,Quintal,,,
2013-02-17,Spices,Ginger (local) - Old,Kilogram,,,,Quintal,,,
2013-02-18,Spices,Ginger (local) - Old,Kilogram,,,,Quintal,,,
2013-02-19,Spices,Ginger (local) - Old,Kilogram,,,,Quintal,,,
