,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Spices,Green Chili (Local),Kilogram,60.0,80.0,70.0,Quintal,5500.0,5500.0,5500.0
2013-01-02,Spices,Green Chili (Local),Kilogram,55.0,60.0,57.5,Quintal,4822.0,4822.0,4822.0
2013-01-03,Spices,Green Chili (Local),Kilogram,60.0,80.0,70.0,Quintal,6000.0,6000.0,6000.0
2013-01-04,Spices,Green Chili (Local),Kilogram,,,,Quintal,,,
2013-01-05,Spices,Green Chili (Local),Kilogram,,,,Quintal,,,
2013-01-06,Spices,Green Chili (Local),Kilogram,60.0,80.0,70.0,Quintal,6000.0,6000.0,6000.0
2013-01-07,Spices,Green Chili (Local),Kilogram,60.0,80.0,70.0,Quintal,5800.0,5800.0,5800.0
2013-01-08,Spices,Green Chili (Local),Kilogram,60.0,80.0,70.0,Quintal,6000.0,6000.0,6000.0
2013-01-09,Spices,Green Chili (Local),Kilogram,61.0,68.0,64.5,Quintal,5318.0,5318.0,5318.0
2013-01-10,Spices,Green Chili (Local),Kilogram,60.0,90.0,75.0,Quintal,5600.0,5600.0,5600.0
2013-01-11,Spices,Green Chili (Local),Kilogram,,,,Quintal,,,
2013-01-12,Spices,Green Chili (Local),Kilogram,,,,Quintal,,,
2013-01-13,Spices,Green Chili (Local),Kilogram,60.0,100.0,80.0,Quintal,6000.0,6000.0,6000.0
2013-01-14,Spices,Green Chili (Local),Kilogram,65.0,80.0,72.5,Quintal,6000.0,6000.0,6000.0
2013-01-15,Spices,Green Chili (Local),Kilogram,70.0,80.0,75.0,Quintal,6000.0,6000.0,6000.0
2013-01-16,Spices,Green Chili (Local),Kilogram,66.0,74.0,70.0,Quintal,6016.0,6016.0,6016.0
2013-01-17,Spices,Green Chili (Local),Kilogram,70.0,90.0,80.0,Quintal,6500.0,6500.0,6500.0
2013-01-18,Spices,Green Chili (Local),Kilogram,,,,Quintal,,,
2013-01-19,Spices,Green Chili (Local),Kilogram,,,,Quintal,,,
2013-01-20,Spices,Green Chili (Local),Kilogram,70.0,85.0,77.5,Quintal,6500.0,6500.0,6500.0
2013-01-21,Spices,Green Chili (Local),Kilogram,70.0,85.0,77.5,Quintal,6000.0,6000.0,6000.0
2013-01-22,Spices,Green Chili (Local),Kilogram,70.0,80.0,75.0,Quintal,5800.0,5800.0,5800.0
2013-01-23,Spices,Green Chili (Local),Kilogram,72.0,78.0,75.0,Quintal,6344.0,6344.0,6344.0
2013-01-24,Spices,Green Chili (Local),Kilogram,70.0,80.0,75.0,Quintal,5600.0,5600.0,5600.0
2013-01-25,Spices,Green Chili (Local),Kilogram,,,,Quintal,,,
2013-01-26,Spices,Green Chili (Local),Kilogram,,,,Quintal,,,
2013-01-27,Spices,Green Chili (Local),Kilogram,70.0,90.0,80.0,Quintal,5000.0,5000.0,5000.0
2013-01-28,Spices,Green Chili (Local),Kilogram,70.0,80.0,75.0,Quintal,6000.0,6000.0,6000.0
2013-01-29,Spices,Green Chili (Local),Kilogram,70.0,80.0,75.0,Quintal,5500.0,5500.0,5500.0
2013-01-30,Spices,Green Chili (Local),Kilogram,70.0,78.0,74.0,Quintal,6461.0,6461.0,6461.0
2013-01-31,Spices,Green Chili (Local),Kilogram,70.0,80.0,75.0,Quintal,6000.0,6000.0,6000.0
2013-02-01,Spices,Green Chili (Local),Kilogram,,,,Quintal,,,
2013-02-02,Spices,Green Chili (Local),Kilogram,,,,Quintal,,,
2013-02-03,Spices,Green Chili (Local),Kilogram,,,,Quintal,,,
2013-02-04,Spices,Green Chili (Local),Kilogram,70.0,80.0,75.0,Quintal,5600.0,5600.0,5600.0
2013-02-05,Spices,Green Chili (Local),Kilogram,65.0,80.0,72.5,Quintal,5200.0,5200.0,5200.0
2013-02-06,Spices,Green Chili (Local),Kilogram,72.0,80.0,76.0,Quintal,6644.0,6644.0,6644.0
2013-02-07,Spices,Green Chili (Local),Kilogram,60.0,80.0,70.0,Quintal,5500.0,5500.0,5500.0
2013-02-08,Spices,Green Chili (Local),Kilogram,,,,Quintal,,,
2013-02-09,Spices,Green Chili (Local),Kilogram,,,,Quintal,,,
2013-02-10,Spices,Green Chili (Local),Kilogram,60.0,80.0,70.0,Quintal,6000.0,6000.0,6000.0
2013-02-11,Spices,Green Chili (Local),Kilogram,60.0,80.0,70.0,Quintal,5400.0,5400.0,5400.0
2013-02-12,Spices,Green Chili (Local),Kilogram,,,,Quintal,,,
2013-02-13,Spices,Green Chili (Local),Kilogram,71.0,78.0,74.5,Quintal,6544.0,6544.0,6544.0
2013-02-14,Spices,Green Chili (Local),Kilogram,60.0,80.0,70.0,Quintal,6000.0,6000.0,6000.0
2013-02-15,Spices,Green Chili (Local),Kilogram,,,,Quintal,,,
2013-02-16,Spices,Green Chili (Local),Kilogram,,,,Quintal,,,
2013-02-17,Spices,Green Chili (Local),Kilogram,,,,Quintal,,,
2013-02-18,Spices,Green Chili (Local),Kilogram,80.0,90.0,85.0,Quintal,7400.0,7400.0,7400.0
2013-02-19,Spices,Green Chili (Local),Kilogram,80.0,90.0,85.0,Quintal,7000.0,7000.0,7000.0
2013-02-20,Spices,Green Chili (Local),Kilogram,81.0,89.0,85.0,Quintal,7700.0,7700.0,7700.0
2013-02-21,Spices,Green Chili (Local),Kilogram,,,,Quintal,,,
2013-02-22,Spices,Green Chili (Local),Kilogram,,,,Quintal,,,
2013-02-23,Spices,Green Chili (Local),Kilogram,,,,Quintal,,,
2013-02-24,Spices,Green Chili (Local),Kilogram,70.0,90.0,80.0,Quintal,7000.0,7000.0,7000.0
2013-02-25,Spices,Green Chili (Local),Kilogram,,,,Quintal,,,
2013-02-26,Spices,Green Chili (Local),Kilogram,80.0,90.0,85.0,Quintal,6500.0,6500.0,6500.0
2013-02-27,Spices,Green Chili (Local),Kilogram,77.0,86.0,81.5,Quintal,7257.0,7257.0,7257.0
2013-02-28,Spices,Green Chili (Local),Kilogram,74.0,82.0,78.0,Quintal,6750.0,6750.0,6750.0
