,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2017-08-16,Spices,Green Chili,,100.0,120.0,110.0,,10000.0,10000.0,10000.0
2017-08-17,Spices,Green Chili,,,,,,,,
2017-08-18,Spices,Green Chili,,,,,,,,
2017-08-19,Spices,Green Chili,,,,,,,,
2017-08-20,Spices,Green Chili,,,,,,,,
2017-08-21,Spices,Green Chili,,,,,,,,
2017-08-22,Spices,Green Chili,,,,,,,,
2017-08-23,Spices,Green Chili,,,,,,,,
2017-08-24,Spices,Green Chili,,,,,,,,
2017-08-25,Spices,Green Chili,,,,,,,,
2017-08-26,Spices,Green Chili,,,,,,,,
2017-08-27,Spices,Green Chili,,,,,,,,
2017-08-28,Spices,Green Chili,,,,,,,,
2017-08-29,Spices,Green Chili,,,,,,,,
2017-08-30,Spices,Green Chili,,,,,,,,
2017-08-31,Spices,Green Chili,,,,,,,,
2017-09-01,Spices,Green Chili,,,,,,,,
2017-09-02,Spices,Green Chili,,,,,,,,
2017-09-03,Spices,Green Chili,,,,,,,,
2017-09-04,Spices,Green Chili,,,,,,,,
2017-09-05,Spices,Green Chili,,,,,,,,
2017-09-06,Spices,Green Chili,,,,,,,,
2017-09-07,Spices,Green Chili,,,,,,,,
2017-09-08,Spices,Green Chili,,,,,,,,
2017-09-09,Spices,Green Chili,,,,,,,,
2017-09-10,Spices,Green Chili,,,,,,,,
2017-09-11,Spices,Green Chili,,,,,,,,
2017-09-12,Spices,Green Chili,,,,,,,,
2017-09-13,Spices,Green Chili,,,,,,,,
2017-09-14,Spices,Green Chili,,,,,,,,
2017-09-15,Spices,Green Chili,,,,,,,,
2017-09-16,Spices,Green Chili,,,,,,,,
2017-09-17,Spices,Green Chili,,,,,,,,
2017-09-18,Spices,Green Chili,,,,,,,,
2017-09-19,Spices,Green Chili,,,,,,,,
2017-09-20,Spices,Green Chili,,,,,,,,
2017-09-21,Spices,Green Chili,,,,,,,,
2017-09-22,Spices,Green Chili,,,,,,,,
2017-09-23,Spices,Green Chili,,60.0,80.0,70.0,,6000.0,6000.0,6000.0
2017-09-24,Spices,Green Chili,,,,,,,,
2017-09-25,Spices,Green Chili,,,,,,,,
2017-09-26,Spices,Green Chili,,,,,,,,
2017-09-27,Spices,Green Chili,,,,,,,,
2017-09-28,Spices,Green Chili,,,,,,,,
2017-09-29,Spices,Green Chili,,,,,,,,
2017-09-30,Spices,Green Chili,,,,,,,,
2017-10-01,Spices,Green Chili,,60.0,80.0,70.0,,6000.0,6000.0,6000.0
2017-10-02,Spices,Green Chili,,,,,,,,
2017-10-03,Spices,Green Chili,,,,,,,,
2017-10-04,Spices,Green Chili,,,,,,,,
2017-10-05,Spices,Green Chili,,,,,,,,
2017-10-06,Spices,Green Chili,,,,,,,,
2017-10-07,Spices,Green Chili,,,,,,,,
2017-10-08,Spices,Green Chili,,,,,,,,
2017-10-09,Spices,Green Chili,,,,,,,,
2017-10-10,Spices,Green Chili,,,,,,,,
2017-10-11,Spices,Green Chili,,,,,,,,
2017-10-12,Spices,Green Chili,,,,,,,,
2017-10-13,Spices,Green Chili,,,,,,,,
2017-10-14,Spices,Green Chili,,,,,,,,
2017-10-15,Spices,Green Chili,,,,,,,,
2017-10-16,Spices,Green Chili,,,,,,,,
2017-10-17,Spices,Green Chili,,,,,,,,
2017-10-18,Spices,Green Chili,,,,,,,,
2017-10-19,Spices,Green Chili,,,,,,,,
2017-10-20,Spices,Green Chili,,,,,,,,
2017-10-21,Spices,Green Chili,,60.0,70.0,65.0,,5000.0,5000.0,5000.0
2017-10-22,Spices,Green Chili,,,,,,,,
2017-10-23,Spices,Green Chili,,,,,,,,
2017-10-24,Spices,Green Chili,,,,,,,,
2017-10-25,Spices,Green Chili,,,,,,,,
2017-10-26,Spices,Green Chili,,,,,,,,
2017-10-27,Spices,Green Chili,,,,,,,,
2017-10-28,Spices,Green Chili,,,,,,,,
2017-10-29,Spices,Green Chili,,,,,,,,
2017-10-30,Spices,Green Chili,,,,,,,,
2017-10-31,Spices,Green Chili,,,,,,,,
2017-11-01,Spices,Green Chili,,,,,,,,
2017-11-02,Spices,Green Chili,,,,,,,,
2017-11-03,Spices,Green Chili,,,,,,,,
2017-11-04,Spices,Green Chili,,,,,,,,
2017-11-05,Spices,Green Chili,,,,,,,,
2017-11-06,Spices,Green Chili,,,,,,,,
2017-11-07,Spices,Green Chili,,,,,,,,
2017-11-08,Spices,Green Chili,,,,,,,,
2017-11-09,Spices,Green Chili,,,,,,,,
