,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Spices,Onion (local),Kilogram,38.0,46.0,42.0,Quintal,2800.0,2800.0,2800.0
2013-01-02,Spices,Onion (local),Kilogram,33.0,36.0,34.5,Quintal,3207.0,3207.0,3207.0
2013-01-03,Spices,Onion (local),Kilogram,35.0,42.0,38.5,Quintal,2600.0,2600.0,2600.0
2013-01-04,Spices,Onion (local),Kilogram,,,,Quintal,,,
2013-01-05,Spices,Onion (local),Kilogram,,,,Quintal,,,
2013-01-06,Spices,Onion (local),Kilogram,35.0,40.0,37.5,Quintal,2500.0,2500.0,2500.0
2013-01-07,Spices,Onion (local),Kilogram,35.0,40.0,37.5,Quintal,2500.0,2500.0,2500.0
2013-01-08,Spices,Onion (local),Kilogram,30.0,36.0,33.0,Quintal,2700.0,2700.0,2700.0
2013-01-09,Spices,Onion (local),Kilogram,28.0,31.0,29.5,Quintal,2770.0,2770.0,2770.0
2013-01-10,Spices,Onion (local),Kilogram,30.0,36.0,33.0,Quintal,2600.0,2600.0,2600.0
2013-01-11,Spices,Onion (local),Kilogram,,,,Quintal,,,
2013-01-12,Spices,Onion (local),Kilogram,,,,Quintal,,,
2013-01-13,Spices,Onion (local),Kilogram,30.0,36.0,33.0,Quintal,2400.0,2400.0,2400.0
2013-01-14,Spices,Onion (local),Kilogram,28.0,36.0,32.0,Quintal,2400.0,2400.0,2400.0
2013-01-15,Spices,Onion (local),Kilogram,28.0,38.0,33.0,Quintal,2700.0,2700.0,2700.0
2013-01-16,Spices,Onion (local),Kilogram,27.0,30.0,28.5,Quintal,2582.0,2582.0,2582.0
2013-01-17,Spices,Onion (local),Kilogram,28.0,38.0,33.0,Quintal,2500.0,2500.0,2500.0
2013-01-18,Spices,Onion (local),Kilogram,,,,Quintal,,,
2013-01-19,Spices,Onion (local),Kilogram,,,,Quintal,,,
2013-01-20,Spices,Onion (local),Kilogram,28.0,35.0,31.5,Quintal,2500.0,2500.0,2500.0
2013-01-21,Spices,Onion (local),Kilogram,28.0,35.0,31.5,Quintal,2300.0,2300.0,2300.0
2013-01-22,Spices,Onion (local),Kilogram,28.0,35.0,31.5,Quintal,2300.0,2300.0,2300.0
2013-01-23,Spices,Onion (local),Kilogram,25.0,28.0,26.5,Quintal,2380.0,2380.0,2380.0
2013-01-24,Spices,Onion (local),Kilogram,26.0,35.0,30.5,Quintal,2400.0,2400.0,2400.0
2013-01-25,Spices,Onion (local),Kilogram,,,,Quintal,,,
2013-01-26,Spices,Onion (local),Kilogram,,,,Quintal,,,
2013-01-27,Spices,Onion (local),Kilogram,28.0,34.0,31.0,Quintal,2200.0,2200.0,2200.0
2013-01-28,Spices,Onion (local),Kilogram,28.0,34.0,31.0,Quintal,2400.0,2400.0,2400.0
2013-01-29,Spices,Onion (local),Kilogram,30.0,35.0,32.5,Quintal,2800.0,2800.0,2800.0
2013-01-30,Spices,Onion (local),Kilogram,28.0,31.0,29.5,Quintal,2594.0,2594.0,2594.0
2013-01-31,Spices,Onion (local),Kilogram,33.0,36.0,34.5,Quintal,3000.0,3000.0,3000.0
2013-02-01,Spices,Onion (local),Kilogram,,,,Quintal,,,
2013-02-02,Spices,Onion (local),Kilogram,,,,Quintal,,,
2013-02-03,Spices,Onion (local),Kilogram,,,,Quintal,,,
2013-02-04,Spices,Onion (local),Kilogram,35.0,40.0,37.5,Quintal,3000.0,3000.0,3000.0
2013-02-05,Spices,Onion (local),Kilogram,35.0,38.0,36.5,Quintal,2800.0,2800.0,2800.0
2013-02-06,Spices,Onion (local),Kilogram,30.0,33.0,31.5,Quintal,2927.0,2927.0,2927.0
2013-02-07,Spices,Onion (local),Kilogram,30.0,36.0,33.0,Quintal,3000.0,3000.0,3000.0
2013-02-08,Spices,Onion (local),Kilogram,,,,Quintal,,,
2013-02-09,Spices,Onion (local),Kilogram,,,,Quintal,,,
2013-02-10,Spices,Onion (local),Kilogram,43.0,45.0,44.0,Quintal,3400.0,3400.0,3400.0
2013-02-11,Spices,Onion (local),Kilogram,38.0,45.0,41.5,Quintal,3000.0,3000.0,3000.0
2013-02-12,Spices,Onion (local),Kilogram,,,,Quintal,,,
2013-02-13,Spices,Onion (local),Kilogram,32.0,36.0,34.0,Quintal,3127.0,3127.0,3127.0
2013-02-14,Spices,Onion (local),Kilogram,34.0,40.0,37.0,Quintal,3200.0,3200.0,3200.0
2013-02-15,Spices,Onion (local),Kilogram,,,,Quintal,,,
2013-02-16,Spices,Onion (local),Kilogram,,,,Quintal,,,
2013-02-17,Spices,Onion (local),Kilogram,,,,Quintal,,,
2013-02-18,Spices,Onion (local),Kilogram,35.0,40.0,37.5,Quintal,3200.0,3200.0,3200.0
2013-02-19,Spices,Onion (local),Kilogram,35.0,40.0,37.5,Quintal,3200.0,3200.0,3200.0
2013-02-20,Spices,Onion (local),Kilogram,33.0,37.0,35.0,Quintal,3200.0,3200.0,3200.0
2013-02-21,Spices,Onion (local),Kilogram,,,,Quintal,,,
