,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Spices,Onion-imported,Kilogram,30.0,40.0,35.0,Quintal,2600.0,2600.0,2600.0
2013-01-02,Spices,Onion-imported,Kilogram,34.0,37.0,35.5,Quintal,3113.0,3113.0,3113.0
2013-01-03,Spices,Onion-imported,Kilogram,30.0,36.0,33.0,Quintal,2700.0,2700.0,2700.0
2013-01-04,Spices,Onion-imported,Kilogram,,,,Quintal,,,
2013-01-05,Spices,Onion-imported,Kilogram,,,,Quintal,,,
2013-01-06,Spices,Onion-imported,Kilogram,30.0,36.0,33.0,Quintal,2500.0,2500.0,2500.0
2013-01-07,Spices,Onion-imported,Kilogram,30.0,36.0,33.0,Quintal,2600.0,2600.0,2600.0
2013-01-08,Spices,Onion-imported,Kilogram,30.0,35.0,32.5,Quintal,2900.0,2900.0,2900.0
2013-01-09,Spices,Onion-imported,Kilogram,32.0,34.0,33.0,Quintal,3021.0,3021.0,3021.0
2013-01-10,Spices,Onion-imported,Kilogram,30.0,36.0,33.0,Quintal,3000.0,3000.0,3000.0
2013-01-11,Spices,Onion-imported,Kilogram,,,,Quintal,,,
2013-01-12,Spices,Onion-imported,Kilogram,,,,Quintal,,,
2013-01-13,Spices,Onion-imported,Kilogram,30.0,36.0,33.0,Quintal,2800.0,2800.0,2800.0
2013-01-14,Spices,Onion-imported,Kilogram,32.0,36.0,34.0,Quintal,2700.0,2700.0,2700.0
2013-01-15,Spices,Onion-imported,Kilogram,32.0,36.0,34.0,Quintal,2800.0,2800.0,2800.0
2013-01-16,Spices,Onion-imported,Kilogram,31.0,33.0,32.0,Quintal,2937.0,2937.0,2937.0
2013-01-17,Spices,Onion-imported,Kilogram,32.0,36.0,34.0,Quintal,2900.0,2900.0,2900.0
2013-01-18,Spices,Onion-imported,Kilogram,,,,Quintal,,,
2013-01-19,Spices,Onion-imported,Kilogram,,,,Quintal,,,
2013-01-20,Spices,Onion-imported,Kilogram,34.0,36.0,35.0,Quintal,3200.0,3200.0,3200.0
2013-01-21,Spices,Onion-imported,Kilogram,34.0,35.0,34.5,Quintal,3200.0,3200.0,3200.0
2013-01-22,Spices,Onion-imported,Kilogram,34.0,35.0,34.5,Quintal,3000.0,3000.0,3000.0
2013-01-23,Spices,Onion-imported,Kilogram,30.0,32.0,31.0,Quintal,2890.0,2890.0,2890.0
2013-01-24,Spices,Onion-imported,Kilogram,30.0,35.0,32.5,Quintal,3000.0,3000.0,3000.0
2013-01-25,Spices,Onion-imported,Kilogram,,,,Quintal,,,
2013-01-26,Spices,Onion-imported,Kilogram,,,,Quintal,,,
2013-01-27,Spices,Onion-imported,Kilogram,32.0,36.0,34.0,Quintal,3000.0,3000.0,3000.0
2013-01-28,Spices,Onion-imported,Kilogram,33.0,38.0,35.5,Quintal,3100.0,3100.0,3100.0
2013-01-29,Spices,Onion-imported,Kilogram,36.0,40.0,38.0,Quintal,3200.0,3200.0,3200.0
2013-01-30,Spices,Onion-imported,Kilogram,32.0,34.0,33.0,Quintal,3044.0,3044.0,3044.0
2013-01-31,Spices,Onion-imported,Kilogram,36.0,42.0,39.0,Quintal,3600.0,3600.0,3600.0
2013-02-01,Spices,Onion-imported,Kilogram,,,,Quintal,,,
2013-02-02,Spices,Onion-imported,Kilogram,,,,Quintal,,,
2013-02-03,Spices,Onion-imported,Kilogram,,,,Quintal,,,
2013-02-04,Spices,Onion-imported,Kilogram,45.0,50.0,47.5,Quintal,4000.0,4000.0,4000.0
2013-02-05,Spices,Onion-imported,Kilogram,45.0,50.0,47.5,Quintal,4000.0,4000.0,4000.0
2013-02-06,Spices,Onion-imported,Kilogram,40.0,44.0,42.0,Quintal,3650.0,3650.0,3650.0
2013-02-07,Spices,Onion-imported,Kilogram,40.0,48.0,44.0,Quintal,3600.0,3600.0,3600.0
2013-02-08,Spices,Onion-imported,Kilogram,,,,Quintal,,,
2013-02-09,Spices,Onion-imported,Kilogram,,,,Quintal,,,
2013-02-10,Spices,Onion-imported,Kilogram,48.0,55.0,51.5,Quintal,4500.0,4500.0,4500.0
2013-02-11,Spices,Onion-imported,Kilogram,46.0,52.0,49.0,Quintal,4100.0,4100.0,4100.0
2013-02-12,Spices,Onion-imported,Kilogram,,,,Quintal,,,
2013-02-13,Spices,Onion-imported,Kilogram,45.0,48.0,46.5,Quintal,4250.0,4250.0,4250.0
2013-02-14,Spices,Onion-imported,Kilogram,42.0,46.0,44.0,Quintal,3800.0,3800.0,3800.0
2013-02-15,Spices,Onion-imported,Kilogram,,,,Quintal,,,
2013-02-16,Spices,Onion-imported,Kilogram,,,,Quintal,,,
2013-02-17,Spices,Onion-imported,Kilogram,,,,Quintal,,,
2013-02-18,Spices,Onion-imported,Kilogram,40.0,44.0,42.0,Quintal,3300.0,3300.0,3300.0
2013-02-19,Spices,Onion-imported,Kilogram,40.0,44.0,42.0,Quintal,3500.0,3500.0,3500.0
2013-02-20,Spices,Onion-imported,Kilogram,37.0,40.0,38.5,Quintal,3560.0,3560.0,3560.0
2013-02-21,Spices,Onion-imported,Kilogram,,,,Quintal,,,
2013-02-22,Spices,Onion-imported,Kilogram,,,,Quintal,,,
2013-02-23,Spices,Onion-imported,Kilogram,,,,Quintal,,,
2013-02-24,Spices,Onion-imported,Kilogram,36.0,42.0,39.0,Quintal,3400.0,3400.0,3400.0
2013-02-25,Spices,Onion-imported,Kilogram,,,,Quintal,,,
2013-02-26,Spices,Onion-imported,Kilogram,35.0,38.0,36.5,Quintal,3200.0,3200.0,3200.0
2013-02-27,Spices,Onion-imported,Kilogram,34.0,37.0,35.5,Quintal,3125.0,3125.0,3125.0
2013-02-28,Spices,Onion-imported,Kilogram,27.0,30.0,28.5,Quintal,2600.0,2600.0,2600.0
2013-03-01,Spices,Onion-imported,Kilogram,,,,Quintal,,,
2013-03-02,Spices,Onion-imported,Kilogram,,,,Quintal,,,
2013-03-03,Spices,Onion-imported,Kilogram,32.0,40.0,36.0,Quintal,2900.0,2900.0,2900.0
2013-03-04,Spices,Onion-imported,Kilogram,32.0,40.0,36.0,Quintal,3200.0,3200.0,3200.0
2013-03-05,Spices,Onion-imported,Kilogram,,,,Quintal,,,
2013-03-06,Spices,Onion-imported,Kilogram,36.0,40.0,38.0,Quintal,3400.0,3400.0,3400.0
2013-03-07,Spices,Onion-imported,Kilogram,35.0,44.0,39.5,Quintal,3300.0,3300.0,3300.0
2013-03-08,Spices,Onion-imported,Kilogram,,,,Quintal,,,
2013-03-09,Spices,Onion-imported,Kilogram,,,,Quintal,,,
2013-03-10,Spices,Onion-imported,Kilogram,,,,Quintal,,,
2013-03-11,Spices,Onion-imported,Kilogram,,,,Quintal,,,
2013-03-12,Spices,Onion-imported,Kilogram,34.0,38.0,36.0,Quintal,2700.0,2700.0,2700.0
2013-03-13,Spices,Onion-imported,Kilogram,33.0,35.0,34.0,Quintal,2883.0,2883.0,2883.0
2013-03-14,Spices,Onion-imported,Kilogram,,,,Quintal,,,
