,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Spices,Turmeric (Local) - Long (Ordinary),Kilogram,80.0,100.0,90.0,Quintal,6000.0,6000.0,6000.0
2013-01-02,Spices,Turmeric (Local) - Long (Ordinary),Kilogram,67.0,75.0,71.0,Quintal,5871.0,5871.0,5871.0
2013-01-03,Spices,Turmeric (Local) - Long (Ordinary),Kilogram,80.0,100.0,90.0,Quintal,7500.0,7500.0,7500.0
2013-01-04,Spices,Turmeric (Local) - Long (Ordinary),Kilogram,,,,Quintal,,,
2013-01-05,Spices,Turmeric (Local) - Long (Ordinary),Kilogram,,,,Quintal,,,
2013-01-06,Spices,Turmeric (Local) - Long (Ordinary),Kilogram,80.0,100.0,90.0,Quintal,7500.0,7500.0,7500.0
2013-01-07,Spices,Turmeric (Local) - Long (Ordinary),Kilogram,80.0,100.0,90.0,Quintal,7500.0,7500.0,7500.0
2013-01-08,Spices,Turmeric (Local) - Long (Ordinary),Kilogram,80.0,100.0,90.0,Quintal,7500.0,7500.0,7500.0
2013-01-09,Spices,Turmeric (Local) - Long (Ordinary),Kilogram,69.0,78.0,73.5,Quintal,6000.0,6000.0,6000.0
2013-01-10,Spices,Turmeric (Local) - Long (Ordinary),Kilogram,80.0,100.0,90.0,Quintal,7500.0,7500.0,7500.0
2013-01-11,Spices,Turmeric (Local) - Long (Ordinary),Kilogram,,,,Quintal,,,
2013-01-12,Spices,Turmeric (Local) - Long (Ordinary),Kilogram,,,,Quintal,,,
2013-01-13,Spices,Turmeric (Local) - Long (Ordinary),Kilogram,75.0,100.0,87.5,Quintal,7500.0,7500.0,7500.0
2013-01-14,Spices,Turmeric (Local) - Long (Ordinary),Kilogram,70.0,100.0,85.0,Quintal,7500.0,7500.0,7500.0
2013-01-15,Spices,Turmeric (Local) - Long (Ordinary),Kilogram,70.0,100.0,85.0,Quintal,7500.0,7500.0,7500.0
2013-01-16,Spices,Turmeric (Local) - Long (Ordinary),Kilogram,69.0,78.0,73.5,Quintal,6115.0,6115.0,6115.0
2013-01-17,Spices,Turmeric (Local) - Long (Ordinary),Kilogram,65.0,100.0,82.5,Quintal,7000.0,7000.0,7000.0
2013-01-18,Spices,Turmeric (Local) - Long (Ordinary),Kilogram,,,,Quintal,,,
2013-01-19,Spices,Turmeric (Local) - Long (Ordinary),Kilogram,,,,Quintal,,,
2013-01-20,Spices,Turmeric (Local) - Long (Ordinary),Kilogram,60.0,100.0,80.0,Quintal,7000.0,7000.0,7000.0
