,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Spices,Turmeric (Local) - Long (Superior),Kilogram,80.0,87.0,83.5,Quintal,7073.0,7073.0,7073.0
2013-01-03,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-01-04,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-01-05,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-01-06,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-01-07,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-01-08,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-01-09,Spices,Turmeric (Local) - Long (Superior),Kilogram,83.0,91.0,87.0,Quintal,7109.0,7109.0,7109.0
2013-01-10,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-01-11,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-01-12,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-01-13,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-01-14,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-01-15,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-01-16,Spices,Turmeric (Local) - Long (Superior),Kilogram,83.0,92.0,87.5,Quintal,7283.0,7283.0,7283.0
2013-01-17,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-01-18,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-01-19,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-01-20,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-01-21,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-01-22,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-01-23,Spices,Turmeric (Local) - Long (Superior),Kilogram,74.0,83.0,78.5,Quintal,6836.0,6836.0,6836.0
2013-01-24,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-01-25,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-01-26,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-01-27,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-01-28,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-01-29,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-01-30,Spices,Turmeric (Local) - Long (Superior),Kilogram,78.0,85.0,81.5,Quintal,7150.0,7150.0,7150.0
2013-01-31,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-02-01,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-02-02,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-02-03,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-02-04,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-02-05,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-02-06,Spices,Turmeric (Local) - Long (Superior),Kilogram,78.0,86.0,82.0,Quintal,7250.0,7250.0,7250.0
2013-02-07,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-02-08,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-02-09,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-02-10,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-02-11,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-02-12,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-02-13,Spices,Turmeric (Local) - Long (Superior),Kilogram,79.0,87.0,83.0,Quintal,7145.0,7145.0,7145.0
2013-02-14,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-02-15,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-02-16,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-02-17,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-02-18,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-02-19,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-02-20,Spices,Turmeric (Local) - Long (Superior),Kilogram,77.0,84.0,80.5,Quintal,6930.0,6930.0,6930.0
2013-02-21,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-02-22,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-02-23,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-02-24,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-02-25,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-02-26,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-02-27,Spices,Turmeric (Local) - Long (Superior),Kilogram,80.0,88.0,84.0,Quintal,7525.0,7525.0,7525.0
2013-02-28,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-03-01,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-03-02,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-03-03,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-03-04,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-03-05,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-03-06,Spices,Turmeric (Local) - Long (Superior),Kilogram,82.0,90.0,86.0,Quintal,7000.0,7000.0,7000.0
2013-03-07,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-03-08,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-03-09,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-03-10,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-03-11,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-03-12,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-03-13,Spices,Turmeric (Local) - Long (Superior),Kilogram,82.0,89.0,85.5,Quintal,7573.0,7573.0,7573.0
2013-03-14,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-03-15,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-03-16,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-03-17,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-03-18,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-03-19,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-03-20,Spices,Turmeric (Local) - Long (Superior),Kilogram,82.0,90.0,86.0,Quintal,7390.0,7390.0,7390.0
2013-03-21,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-03-22,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-03-23,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-03-24,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-03-25,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-03-26,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-03-27,Spices,Turmeric (Local) - Long (Superior),Kilogram,84.0,92.0,88.0,Quintal,7988.0,7988.0,7988.0
2013-03-28,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-03-29,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-03-30,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-03-31,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-04-01,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-04-02,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-04-03,Spices,Turmeric (Local) - Long (Superior),Kilogram,82.0,89.0,85.5,Quintal,7622.0,7622.0,7622.0
2013-04-04,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-04-05,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-04-06,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-04-07,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-04-08,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-04-09,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-04-10,Spices,Turmeric (Local) - Long (Superior),Kilogram,82.0,90.0,86.0,Quintal,7633.0,7633.0,7633.0
2013-04-11,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-04-12,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-04-13,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-04-14,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-04-15,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-04-16,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-04-17,Spices,Turmeric (Local) - Long (Superior),Kilogram,80.0,88.0,84.0,Quintal,7530.0,7530.0,7530.0
2013-04-18,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-04-19,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-04-20,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-04-21,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-04-22,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-04-23,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-04-24,Spices,Turmeric (Local) - Long (Superior),Kilogram,79.0,88.0,83.5,Quintal,7510.0,7510.0,7510.0
2013-04-25,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-04-26,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-04-27,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-04-28,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-04-29,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-04-30,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-05-01,Spices,Turmeric (Local) - Long (Superior),Kilogram,83.0,91.0,87.0,Quintal,8250.0,8250.0,8250.0
2013-05-02,Spices,Turmeric (Local) - Long (Superior),Kilogram,75.0,83.0,79.0,Quintal,7267.0,7267.0,7267.0
2013-05-03,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-05-04,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-05-05,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-05-06,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-05-07,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-05-08,Spices,Turmeric (Local) - Long (Superior),Kilogram,77.0,85.0,81.0,Quintal,7860.0,7860.0,7860.0
2013-05-09,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-05-10,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-05-11,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-05-12,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
2013-05-13,Spices,Turmeric (Local) - Long (Superior),Kilogram,,,,Quintal,,,
