,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Vegetable,Barbati (Yardlong bean),Kilogram,27.0,31.0,29.0,Quintal,2150.0,2150.0,2150.0
2013-01-03,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-01-04,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-01-05,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-01-06,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-01-07,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-01-08,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-01-09,Vegetable,Barbati (Yardlong bean),Kilogram,26.0,29.0,27.5,Quintal,1967.0,1967.0,1967.0
2013-01-10,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-01-11,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-01-12,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-01-13,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-01-14,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-01-15,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-01-16,Vegetable,Barbati (Yardlong bean),Kilogram,27.0,29.0,28.0,Quintal,2150.0,2150.0,2150.0
2013-01-17,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-01-18,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-01-19,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-01-20,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-01-21,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-01-22,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-01-23,Vegetable,Barbati (Yardlong bean),Kilogram,29.0,31.0,30.0,Quintal,2367.0,2367.0,2367.0
2013-01-24,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-01-25,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-01-26,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-01-27,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-01-28,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-01-29,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-01-30,Vegetable,Barbati (Yardlong bean),Kilogram,22.0,24.0,23.0,Quintal,2100.0,2100.0,2100.0
2013-01-31,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-02-01,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-02-02,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-02-03,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-02-04,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-02-05,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-02-06,Vegetable,Barbati (Yardlong bean),Kilogram,22.0,24.0,23.0,Quintal,2100.0,2100.0,2100.0
2013-02-07,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-02-08,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-02-09,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-02-10,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-02-11,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-02-12,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-02-13,Vegetable,Barbati (Yardlong bean),Kilogram,22.0,24.0,23.0,Quintal,2100.0,2100.0,2100.0
2013-02-14,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-02-15,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-02-16,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-02-17,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-02-18,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-02-19,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-02-20,Vegetable,Barbati (Yardlong bean),Kilogram,22.0,24.0,23.0,Quintal,2100.0,2100.0,2100.0
2013-02-21,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-02-22,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-02-23,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-02-24,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-02-25,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-02-26,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-02-27,Vegetable,Barbati (Yardlong bean),Kilogram,22.0,24.0,23.0,Quintal,2100.0,2100.0,2100.0
2013-02-28,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-03-01,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-03-02,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-03-03,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-03-04,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-03-05,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-03-06,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,2000.0,2000.0,2000.0
2013-03-07,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-03-08,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-03-09,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-03-10,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-03-11,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-03-12,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-03-13,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,2000.0,2000.0,2000.0
2013-03-14,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-03-15,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
2013-03-16,Vegetable,Barbati (Yardlong bean),Kilogram,,,,Quintal,,,
