,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Vegetable,Bean(Ordinary),Kilogram,35.0,50.0,42.5,Quintal,3500.0,3500.0,3500.0
2013-01-02,Vegetable,Bean(Ordinary),Kilogram,30.0,34.0,32.0,Quintal,2691.0,2691.0,2691.0
2013-01-03,Vegetable,Bean(Ordinary),Kilogram,35.0,50.0,42.5,Quintal,3200.0,3200.0,3200.0
2013-01-04,Vegetable,Bean(Ordinary),Kilogram,,,,Quintal,,,
2013-01-05,Vegetable,Bean(Ordinary),Kilogram,,,,Quintal,,,
2013-01-06,Vegetable,Bean(Ordinary),Kilogram,35.0,50.0,42.5,Quintal,3400.0,3400.0,3400.0
2013-01-07,Vegetable,Bean(Ordinary),Kilogram,35.0,50.0,42.5,Quintal,3400.0,3400.0,3400.0
2013-01-08,Vegetable,Bean(Ordinary),Kilogram,35.0,50.0,42.5,Quintal,3500.0,3500.0,3500.0
2013-01-09,Vegetable,Bean(Ordinary),Kilogram,30.0,34.0,32.0,Quintal,2793.0,2793.0,2793.0
2013-01-10,Vegetable,Bean(Ordinary),Kilogram,35.0,50.0,42.5,Quintal,3500.0,3500.0,3500.0
2013-01-11,Vegetable,Bean(Ordinary),Kilogram,,,,Quintal,,,
2013-01-12,Vegetable,Bean(Ordinary),Kilogram,,,,Quintal,,,
2013-01-13,Vegetable,Bean(Ordinary),Kilogram,35.0,50.0,42.5,Quintal,3600.0,3600.0,3600.0
2013-01-14,Vegetable,Bean(Ordinary),Kilogram,35.0,50.0,42.5,Quintal,3000.0,3000.0,3000.0
2013-01-15,Vegetable,Bean(Ordinary),Kilogram,35.0,50.0,42.5,Quintal,3200.0,3200.0,3200.0
2013-01-16,Vegetable,Bean(Ordinary),Kilogram,30.0,33.0,31.5,Quintal,2638.0,2638.0,2638.0
2013-01-17,Vegetable,Bean(Ordinary),Kilogram,36.0,50.0,43.0,Quintal,3400.0,3400.0,3400.0
2013-01-18,Vegetable,Bean(Ordinary),Kilogram,,,,Quintal,,,
2013-01-19,Vegetable,Bean(Ordinary),Kilogram,,,,Quintal,,,
2013-01-20,Vegetable,Bean(Ordinary),Kilogram,30.0,50.0,40.0,Quintal,3600.0,3600.0,3600.0
2013-01-21,Vegetable,Bean(Ordinary),Kilogram,30.0,45.0,37.5,Quintal,2600.0,2600.0,2600.0
2013-01-22,Vegetable,Bean(Ordinary),Kilogram,30.0,50.0,40.0,Quintal,3000.0,3000.0,3000.0
2013-01-23,Vegetable,Bean(Ordinary),Kilogram,25.0,28.0,26.5,Quintal,2100.0,2100.0,2100.0
2013-01-24,Vegetable,Bean(Ordinary),Kilogram,25.0,45.0,35.0,Quintal,3600.0,3600.0,3600.0
2013-01-25,Vegetable,Bean(Ordinary),Kilogram,,,,Quintal,,,
2013-01-26,Vegetable,Bean(Ordinary),Kilogram,,,,Quintal,,,
2013-01-27,Vegetable,Bean(Ordinary),Kilogram,20.0,45.0,32.5,Quintal,3000.0,3000.0,3000.0
2013-01-28,Vegetable,Bean(Ordinary),Kilogram,20.0,35.0,27.5,Quintal,2400.0,2400.0,2400.0
2013-01-29,Vegetable,Bean(Ordinary),Kilogram,20.0,40.0,30.0,Quintal,1800.0,1800.0,1800.0
2013-01-30,Vegetable,Bean(Ordinary),Kilogram,18.0,22.0,20.0,Quintal,1763.0,1763.0,1763.0
2013-01-31,Vegetable,Bean(Ordinary),Kilogram,20.0,35.0,27.5,Quintal,2200.0,2200.0,2200.0
