,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Vegetable,Brinjal - Ordinary Quality,Kilogram,40.0,60.0,50.0,Quintal,4000.0,4000.0,4000.0
2013-01-02,Vegetable,Brinjal - Ordinary Quality,Kilogram,25.0,29.0,27.0,Quintal,2359.0,2359.0,2359.0
2013-01-03,Vegetable,Brinjal - Ordinary Quality,Kilogram,40.0,60.0,50.0,Quintal,3800.0,3800.0,3800.0
2013-01-04,Vegetable,Brinjal - Ordinary Quality,Kilogram,,,,Quintal,,,
2013-01-05,Vegetable,Brinjal - Ordinary Quality,Kilogram,,,,Quintal,,,
2013-01-06,Vegetable,Brinjal - Ordinary Quality,Kilogram,40.0,55.0,47.5,Quintal,4000.0,4000.0,4000.0
2013-01-07,Vegetable,Brinjal - Ordinary Quality,Kilogram,40.0,60.0,50.0,Quintal,4000.0,4000.0,4000.0
2013-01-08,Vegetable,Brinjal - Ordinary Quality,Kilogram,40.0,60.0,50.0,Quintal,4500.0,4500.0,4500.0
2013-01-09,Vegetable,Brinjal - Ordinary Quality,Kilogram,27.0,31.0,29.0,Quintal,2488.0,2488.0,2488.0
2013-01-10,Vegetable,Brinjal - Ordinary Quality,Kilogram,45.0,60.0,52.5,Quintal,4600.0,4600.0,4600.0
2013-01-11,Vegetable,Brinjal - Ordinary Quality,Kilogram,,,,Quintal,,,
2013-01-12,Vegetable,Brinjal - Ordinary Quality,Kilogram,,,,Quintal,,,
2013-01-13,Vegetable,Brinjal - Ordinary Quality,Kilogram,40.0,60.0,50.0,Quintal,4500.0,4500.0,4500.0
2013-01-14,Vegetable,Brinjal - Ordinary Quality,Kilogram,40.0,60.0,50.0,Quintal,4500.0,4500.0,4500.0
2013-01-15,Vegetable,Brinjal - Ordinary Quality,Kilogram,40.0,60.0,50.0,Quintal,5000.0,5000.0,5000.0
2013-01-16,Vegetable,Brinjal - Ordinary Quality,Kilogram,29.0,33.0,31.0,Quintal,2784.0,2784.0,2784.0
2013-01-17,Vegetable,Brinjal - Ordinary Quality,Kilogram,45.0,60.0,52.5,Quintal,5000.0,5000.0,5000.0
2013-01-18,Vegetable,Brinjal - Ordinary Quality,Kilogram,,,,Quintal,,,
2013-01-19,Vegetable,Brinjal - Ordinary Quality,Kilogram,,,,Quintal,,,
2013-01-20,Vegetable,Brinjal - Ordinary Quality,Kilogram,45.0,60.0,52.5,Quintal,5000.0,5000.0,5000.0
2013-01-21,Vegetable,Brinjal - Ordinary Quality,Kilogram,40.0,60.0,50.0,Quintal,4000.0,4000.0,4000.0
2013-01-22,Vegetable,Brinjal - Ordinary Quality,Kilogram,40.0,70.0,55.0,Quintal,4000.0,4000.0,4000.0
2013-01-23,Vegetable,Brinjal - Ordinary Quality,Kilogram,26.0,30.0,28.0,Quintal,2363.0,2363.0,2363.0
2013-01-24,Vegetable,Brinjal - Ordinary Quality,Kilogram,40.0,60.0,50.0,Quintal,4200.0,4200.0,4200.0
2013-01-25,Vegetable,Brinjal - Ordinary Quality,Kilogram,,,,Quintal,,,
2013-01-26,Vegetable,Brinjal - Ordinary Quality,Kilogram,,,,Quintal,,,
2013-01-27,Vegetable,Brinjal - Ordinary Quality,Kilogram,40.0,60.0,50.0,Quintal,3600.0,3600.0,3600.0
2013-01-28,Vegetable,Brinjal - Ordinary Quality,Kilogram,40.0,60.0,50.0,Quintal,3500.0,3500.0,3500.0
2013-01-29,Vegetable,Brinjal - Ordinary Quality,Kilogram,35.0,60.0,47.5,Quintal,4000.0,4000.0,4000.0
2013-01-30,Vegetable,Brinjal - Ordinary Quality,Kilogram,23.0,26.0,24.5,Quintal,2106.0,2106.0,2106.0
2013-01-31,Vegetable,Brinjal - Ordinary Quality,Kilogram,40.0,60.0,50.0,Quintal,3800.0,3800.0,3800.0
2013-02-01,Vegetable,Brinjal - Ordinary Quality,Kilogram,,,,Quintal,,,
2013-02-02,Vegetable,Brinjal - Ordinary Quality,Kilogram,,,,Quintal,,,
2013-02-03,Vegetable,Brinjal - Ordinary Quality,Kilogram,,,,Quintal,,,
