,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Vegetable,Brinjal - Superior Quality,Kilogram,31.0,35.0,33.0,Quintal,2918.0,2918.0,2918.0
2013-01-03,Vegetable,Brinjal - Superior Quality,Kilogram,,,,Quintal,,,
2013-01-04,Vegetable,Brinjal - Superior Quality,Kilogram,,,,Quintal,,,
2013-01-05,Vegetable,Brinjal - Superior Quality,Kilogram,,,,Quintal,,,
2013-01-06,Vegetable,Brinjal - Superior Quality,Kilogram,,,,Quintal,,,
2013-01-07,Vegetable,Brinjal - Superior Quality,Kilogram,,,,Quintal,,,
2013-01-08,Vegetable,Brinjal - Superior Quality,Kilogram,,,,Quintal,,,
2013-01-09,Vegetable,Brinjal - Superior Quality,Kilogram,34.0,38.0,36.0,Quintal,3063.0,3063.0,3063.0
2013-01-10,Vegetable,Brinjal - Superior Quality,Kilogram,,,,Quintal,,,
2013-01-11,Vegetable,Brinjal - Superior Quality,Kilogram,,,,Quintal,,,
2013-01-12,Vegetable,Brinjal - Superior Quality,Kilogram,,,,Quintal,,,
2013-01-13,Vegetable,Brinjal - Superior Quality,Kilogram,,,,Quintal,,,
2013-01-14,Vegetable,Brinjal - Superior Quality,Kilogram,,,,Quintal,,,
2013-01-15,Vegetable,Brinjal - Superior Quality,Kilogram,,,,Quintal,,,
2013-01-16,Vegetable,Brinjal - Superior Quality,Kilogram,36.0,40.0,38.0,Quintal,3367.0,3367.0,3367.0
2013-01-17,Vegetable,Brinjal - Superior Quality,Kilogram,,,,Quintal,,,
2013-01-18,Vegetable,Brinjal - Superior Quality,Kilogram,,,,Quintal,,,
2013-01-19,Vegetable,Brinjal - Superior Quality,Kilogram,,,,Quintal,,,
2013-01-20,Vegetable,Brinjal - Superior Quality,Kilogram,,,,Quintal,,,
2013-01-21,Vegetable,Brinjal - Superior Quality,Kilogram,,,,Quintal,,,
2013-01-22,Vegetable,Brinjal - Superior Quality,Kilogram,,,,Quintal,,,
2013-01-23,Vegetable,Brinjal - Superior Quality,Kilogram,33.0,36.0,34.5,Quintal,2993.0,2993.0,2993.0
2013-01-24,Vegetable,Brinjal - Superior Quality,Kilogram,,,,Quintal,,,
2013-01-25,Vegetable,Brinjal - Superior Quality,Kilogram,,,,Quintal,,,
2013-01-26,Vegetable,Brinjal - Superior Quality,Kilogram,,,,Quintal,,,
2013-01-27,Vegetable,Brinjal - Superior Quality,Kilogram,,,,Quintal,,,
2013-01-28,Vegetable,Brinjal - Superior Quality,Kilogram,,,,Quintal,,,
2013-01-29,Vegetable,Brinjal - Superior Quality,Kilogram,,,,Quintal,,,
2013-01-30,Vegetable,Brinjal - Superior Quality,Kilogram,29.0,32.0,30.5,Quintal,2706.0,2706.0,2706.0
2013-01-31,Vegetable,Brinjal - Superior Quality,Kilogram,,,,Quintal,,,
2013-02-01,Vegetable,Brinjal - Superior Quality,Kilogram,,,,Quintal,,,
2013-02-02,Vegetable,Brinjal - Superior Quality,Kilogram,,,,Quintal,,,
2013-02-03,Vegetable,Brinjal - Superior Quality,Kilogram,,,,Quintal,,,
