,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Vegetable,Cabbage,Kilogram,25.0,35.0,30.0,Quintal,2200.0,2200.0,2200.0
2013-01-02,Vegetable,Cabbage,Kilogram,19.0,21.0,20.0,Quintal,1578.0,1578.0,1578.0
2013-01-03,Vegetable,Cabbage,Kilogram,25.0,35.0,30.0,Quintal,2200.0,2200.0,2200.0
2013-01-04,Vegetable,Cabbage,Kilogram,,,,Quintal,,,
2013-01-05,Vegetable,Cabbage,Kilogram,,,,Quintal,,,
2013-01-06,Vegetable,Cabbage,Kilogram,25.0,35.0,30.0,Quintal,2200.0,2200.0,2200.0
2013-01-07,Vegetable,Cabbage,Kilogram,25.0,35.0,30.0,Quintal,2200.0,2200.0,2200.0
2013-01-08,Vegetable,Cabbage,Kilogram,25.0,35.0,30.0,Quintal,2500.0,2500.0,2500.0
2013-01-09,Vegetable,Cabbage,Kilogram,18.0,21.0,19.5,Quintal,1626.0,1626.0,1626.0
2013-01-10,Vegetable,Cabbage,Kilogram,24.0,35.0,29.5,Quintal,2500.0,2500.0,2500.0
2013-01-11,Vegetable,Cabbage,Kilogram,,,,Quintal,,,
2013-01-12,Vegetable,Cabbage,Kilogram,,,,Quintal,,,
2013-01-13,Vegetable,Cabbage,Kilogram,25.0,35.0,30.0,Quintal,2500.0,2500.0,2500.0
2013-01-14,Vegetable,Cabbage,Kilogram,25.0,35.0,30.0,Quintal,2500.0,2500.0,2500.0
2013-01-15,Vegetable,Cabbage,Kilogram,25.0,35.0,30.0,Quintal,2200.0,2200.0,2200.0
2013-01-16,Vegetable,Cabbage,Kilogram,18.0,21.0,19.5,Quintal,1608.0,1608.0,1608.0
2013-01-17,Vegetable,Cabbage,Kilogram,24.0,40.0,32.0,Quintal,2500.0,2500.0,2500.0
2013-01-18,Vegetable,Cabbage,Kilogram,,,,Quintal,,,
2013-01-19,Vegetable,Cabbage,Kilogram,,,,Quintal,,,
2013-01-20,Vegetable,Cabbage,Kilogram,24.0,40.0,32.0,Quintal,2200.0,2200.0,2200.0
2013-01-21,Vegetable,Cabbage,Kilogram,22.0,35.0,28.5,Quintal,2200.0,2200.0,2200.0
2013-01-22,Vegetable,Cabbage,Kilogram,25.0,35.0,30.0,Quintal,2200.0,2200.0,2200.0
2013-01-23,Vegetable,Cabbage,Kilogram,15.0,18.0,16.5,Quintal,1313.0,1313.0,1313.0
2013-01-24,Vegetable,Cabbage,Kilogram,20.0,30.0,25.0,Quintal,1800.0,1800.0,1800.0
2013-01-25,Vegetable,Cabbage,Kilogram,,,,Quintal,,,
2013-01-26,Vegetable,Cabbage,Kilogram,,,,Quintal,,,
2013-01-27,Vegetable,Cabbage,Kilogram,20.0,30.0,25.0,Quintal,1800.0,1800.0,1800.0
2013-01-28,Vegetable,Cabbage,Kilogram,20.0,30.0,25.0,Quintal,1800.0,1800.0,1800.0
2013-01-29,Vegetable,Cabbage,Kilogram,20.0,30.0,25.0,Quintal,1600.0,1600.0,1600.0
