,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Vegetable,Carrot,Kilogram,24.0,35.0,29.5,Quintal,2000.0,2000.0,2000.0
2013-01-02,Vegetable,Carrot,Kilogram,27.0,30.0,28.5,Quintal,2357.0,2357.0,2357.0
2013-01-03,Vegetable,Carrot,Kilogram,24.0,35.0,29.5,Quintal,2000.0,2000.0,2000.0
2013-01-04,Vegetable,Carrot,Kilogram,,,,Quintal,,,
2013-01-05,Vegetable,Carrot,Kilogram,,,,Quintal,,,
2013-01-06,Vegetable,Carrot,Kilogram,24.0,35.0,29.5,Quintal,2000.0,2000.0,2000.0
2013-01-07,Vegetable,Carrot,Kilogram,24.0,35.0,29.5,Quintal,2000.0,2000.0,2000.0
2013-01-08,Vegetable,Carrot,Kilogram,24.0,30.0,27.0,Quintal,1800.0,1800.0,1800.0
2013-01-09,Vegetable,Carrot,Kilogram,25.0,28.0,26.5,Quintal,2173.0,2173.0,2173.0
2013-01-10,Vegetable,Carrot,Kilogram,20.0,30.0,25.0,Quintal,2000.0,2000.0,2000.0
2013-01-11,Vegetable,Carrot,Kilogram,,,,Quintal,,,
2013-01-12,Vegetable,Carrot,Kilogram,,,,Quintal,,,
2013-01-13,Vegetable,Carrot,Kilogram,20.0,35.0,27.5,Quintal,2000.0,2000.0,2000.0
2013-01-14,Vegetable,Carrot,Kilogram,20.0,35.0,27.5,Quintal,2000.0,2000.0,2000.0
2013-01-15,Vegetable,Carrot,Kilogram,20.0,35.0,27.5,Quintal,2000.0,2000.0,2000.0
2013-01-16,Vegetable,Carrot,Kilogram,22.0,25.0,23.5,Quintal,1919.0,1919.0,1919.0
2013-01-17,Vegetable,Carrot,Kilogram,20.0,35.0,27.5,Quintal,1600.0,1600.0,1600.0
2013-01-18,Vegetable,Carrot,Kilogram,,,,Quintal,,,
2013-01-19,Vegetable,Carrot,Kilogram,,,,Quintal,,,
2013-01-20,Vegetable,Carrot,Kilogram,20.0,30.0,25.0,Quintal,1600.0,1600.0,1600.0
2013-01-21,Vegetable,Carrot,Kilogram,20.0,30.0,25.0,Quintal,1600.0,1600.0,1600.0
2013-01-22,Vegetable,Carrot,Kilogram,20.0,30.0,25.0,Quintal,1600.0,1600.0,1600.0
2013-01-23,Vegetable,Carrot,Kilogram,19.0,22.0,20.5,Quintal,1681.0,1681.0,1681.0
2013-01-24,Vegetable,Carrot,Kilogram,20.0,30.0,25.0,Quintal,1600.0,1600.0,1600.0
2013-01-25,Vegetable,Carrot,Kilogram,,,,Quintal,,,
2013-01-26,Vegetable,Carrot,Kilogram,,,,Quintal,,,
2013-01-27,Vegetable,Carrot,Kilogram,20.0,30.0,25.0,Quintal,1600.0,1600.0,1600.0
2013-01-28,Vegetable,Carrot,Kilogram,20.0,30.0,25.0,Quintal,1200.0,1200.0,1200.0
2013-01-29,Vegetable,Carrot,Kilogram,20.0,30.0,25.0,Quintal,1200.0,1200.0,1200.0
2013-01-30,Vegetable,Carrot,Kilogram,17.0,21.0,19.0,Quintal,1628.0,1628.0,1628.0
2013-01-31,Vegetable,Carrot,Kilogram,20.0,30.0,25.0,Quintal,1200.0,1200.0,1200.0
2013-02-01,Vegetable,Carrot,Kilogram,,,,Quintal,,,
2013-02-02,Vegetable,Carrot,Kilogram,,,,Quintal,,,
2013-02-03,Vegetable,Carrot,Kilogram,,,,Quintal,,,
2013-02-04,Vegetable,Carrot,Kilogram,20.0,30.0,25.0,Quintal,1200.0,1200.0,1200.0
2013-02-05,Vegetable,Carrot,Kilogram,20.0,30.0,25.0,Quintal,1200.0,1200.0,1200.0
2013-02-06,Vegetable,Carrot,Kilogram,16.0,20.0,18.0,Quintal,1488.0,1488.0,1488.0
2013-02-07,Vegetable,Carrot,Kilogram,15.0,30.0,22.5,Quintal,1200.0,1200.0,1200.0
2013-02-08,Vegetable,Carrot,Kilogram,,,,Quintal,,,
2013-02-09,Vegetable,Carrot,Kilogram,,,,Quintal,,,
2013-02-10,Vegetable,Carrot,Kilogram,15.0,30.0,22.5,Quintal,1200.0,1200.0,1200.0
2013-02-11,Vegetable,Carrot,Kilogram,12.0,30.0,21.0,Quintal,1200.0,1200.0,1200.0
2013-02-12,Vegetable,Carrot,Kilogram,,,,Quintal,,,
2013-02-13,Vegetable,Carrot,Kilogram,16.0,19.0,17.5,Quintal,1427.0,1427.0,1427.0
2013-02-14,Vegetable,Carrot,Kilogram,15.0,25.0,20.0,Quintal,1200.0,1200.0,1200.0
2013-02-15,Vegetable,Carrot,Kilogram,,,,Quintal,,,
2013-02-16,Vegetable,Carrot,Kilogram,,,,Quintal,,,
2013-02-17,Vegetable,Carrot,Kilogram,,,,Quintal,,,
2013-02-18,Vegetable,Carrot,Kilogram,15.0,25.0,20.0,Quintal,1200.0,1200.0,1200.0
