,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Vegetable,Celeriac (olcopy),Kilogram,25.0,30.0,27.5,Quintal,1800.0,1800.0,1800.0
2013-01-02,Vegetable,Celeriac (olcopy),Kilogram,21.0,25.0,23.0,Quintal,1775.0,1775.0,1775.0
2013-01-03,Vegetable,Celeriac (olcopy),Kilogram,25.0,30.0,27.5,Quintal,1600.0,1600.0,1600.0
2013-01-04,Vegetable,Celeriac (olcopy),Kilogram,,,,Quintal,,,
2013-01-05,Vegetable,Celeriac (olcopy),Kilogram,,,,Quintal,,,
2013-01-06,Vegetable,Celeriac (olcopy),Kilogram,25.0,30.0,27.5,Quintal,1800.0,1800.0,1800.0
2013-01-07,Vegetable,Celeriac (olcopy),Kilogram,25.0,30.0,27.5,Quintal,1600.0,1600.0,1600.0
2013-01-08,Vegetable,Celeriac (olcopy),Kilogram,20.0,28.0,24.0,Quintal,1600.0,1600.0,1600.0
2013-01-09,Vegetable,Celeriac (olcopy),Kilogram,18.0,22.0,20.0,Quintal,1540.0,1540.0,1540.0
2013-01-10,Vegetable,Celeriac (olcopy),Kilogram,20.0,30.0,25.0,Quintal,1800.0,1800.0,1800.0
2013-01-11,Vegetable,Celeriac (olcopy),Kilogram,,,,Quintal,,,
2013-01-12,Vegetable,Celeriac (olcopy),Kilogram,,,,Quintal,,,
2013-01-13,Vegetable,Celeriac (olcopy),Kilogram,20.0,35.0,27.5,Quintal,2000.0,2000.0,2000.0
2013-01-14,Vegetable,Celeriac (olcopy),Kilogram,20.0,30.0,25.0,Quintal,2000.0,2000.0,2000.0
2013-01-15,Vegetable,Celeriac (olcopy),Kilogram,20.0,30.0,25.0,Quintal,1800.0,1800.0,1800.0
2013-01-16,Vegetable,Celeriac (olcopy),Kilogram,18.0,22.0,20.0,Quintal,1460.0,1460.0,1460.0
2013-01-17,Vegetable,Celeriac (olcopy),Kilogram,25.0,30.0,27.5,Quintal,2200.0,2200.0,2200.0
2013-01-18,Vegetable,Celeriac (olcopy),Kilogram,,,,Quintal,,,
2013-01-19,Vegetable,Celeriac (olcopy),Kilogram,,,,Quintal,,,
2013-01-20,Vegetable,Celeriac (olcopy),Kilogram,20.0,30.0,25.0,Quintal,2000.0,2000.0,2000.0
2013-01-21,Vegetable,Celeriac (olcopy),Kilogram,20.0,28.0,24.0,Quintal,2000.0,2000.0,2000.0
2013-01-22,Vegetable,Celeriac (olcopy),Kilogram,20.0,30.0,25.0,Quintal,2000.0,2000.0,2000.0
2013-01-23,Vegetable,Celeriac (olcopy),Kilogram,16.0,20.0,18.0,Quintal,1360.0,1360.0,1360.0
2013-01-24,Vegetable,Celeriac (olcopy),Kilogram,20.0,30.0,25.0,Quintal,2000.0,2000.0,2000.0
2013-01-25,Vegetable,Celeriac (olcopy),Kilogram,,,,Quintal,,,
2013-01-26,Vegetable,Celeriac (olcopy),Kilogram,,,,Quintal,,,
2013-01-27,Vegetable,Celeriac (olcopy),Kilogram,15.0,30.0,22.5,Quintal,2000.0,2000.0,2000.0
2013-01-28,Vegetable,Celeriac (olcopy),Kilogram,15.0,25.0,20.0,Quintal,2000.0,2000.0,2000.0
2013-01-29,Vegetable,Celeriac (olcopy),Kilogram,15.0,30.0,22.5,Quintal,2000.0,2000.0,2000.0
2013-01-30,Vegetable,Celeriac (olcopy),Kilogram,15.0,19.0,17.0,Quintal,1060.0,1060.0,1060.0
2013-01-31,Vegetable,Celeriac (olcopy),Kilogram,20.0,30.0,25.0,Quintal,1000.0,1000.0,1000.0
2013-02-01,Vegetable,Celeriac (olcopy),Kilogram,,,,Quintal,,,
2013-02-02,Vegetable,Celeriac (olcopy),Kilogram,,,,Quintal,,,
2013-02-03,Vegetable,Celeriac (olcopy),Kilogram,,,,Quintal,,,
2013-02-04,Vegetable,Celeriac (olcopy),Kilogram,20.0,30.0,25.0,Quintal,1000.0,1000.0,1000.0
2013-02-05,Vegetable,Celeriac (olcopy),Kilogram,16.0,25.0,20.5,Quintal,1000.0,1000.0,1000.0
2013-02-06,Vegetable,Celeriac (olcopy),Kilogram,13.0,17.0,15.0,Quintal,1080.0,1080.0,1080.0
2013-02-07,Vegetable,Celeriac (olcopy),Kilogram,15.0,25.0,20.0,Quintal,1000.0,1000.0,1000.0
2013-02-08,Vegetable,Celeriac (olcopy),Kilogram,,,,Quintal,,,
2013-02-09,Vegetable,Celeriac (olcopy),Kilogram,,,,Quintal,,,
2013-02-10,Vegetable,Celeriac (olcopy),Kilogram,15.0,25.0,20.0,Quintal,1000.0,1000.0,1000.0
2013-02-11,Vegetable,Celeriac (olcopy),Kilogram,15.0,25.0,20.0,Quintal,700.0,700.0,700.0
2013-02-12,Vegetable,Celeriac (olcopy),Kilogram,,,,Quintal,,,
2013-02-13,Vegetable,Celeriac (olcopy),Kilogram,12.0,14.0,13.0,Quintal,925.0,925.0,925.0
2013-02-14,Vegetable,Celeriac (olcopy),Kilogram,12.0,25.0,18.5,Quintal,800.0,800.0,800.0
2013-02-15,Vegetable,Celeriac (olcopy),Kilogram,,,,Quintal,,,
2013-02-16,Vegetable,Celeriac (olcopy),Kilogram,,,,Quintal,,,
2013-02-17,Vegetable,Celeriac (olcopy),Kilogram,,,,Quintal,,,
2013-02-18,Vegetable,Celeriac (olcopy),Kilogram,12.0,25.0,18.5,Quintal,600.0,600.0,600.0
2013-02-19,Vegetable,Celeriac (olcopy),Kilogram,10.0,25.0,17.5,Quintal,800.0,800.0,800.0
2013-02-20,Vegetable,Celeriac (olcopy),Kilogram,11.0,15.0,13.0,Quintal,920.0,920.0,920.0
2013-02-21,Vegetable,Celeriac (olcopy),Kilogram,,,,Quintal,,,
2013-02-22,Vegetable,Celeriac (olcopy),Kilogram,,,,Quintal,,,
2013-02-23,Vegetable,Celeriac (olcopy),Kilogram,,,,Quintal,,,
2013-02-24,Vegetable,Celeriac (olcopy),Kilogram,10.0,20.0,15.0,Quintal,800.0,800.0,800.0
2013-02-25,Vegetable,Celeriac (olcopy),Kilogram,,,,Quintal,,,
2013-02-26,Vegetable,Celeriac (olcopy),Kilogram,10.0,20.0,15.0,Quintal,600.0,600.0,600.0
2013-02-27,Vegetable,Celeriac (olcopy),Kilogram,10.0,14.0,12.0,Quintal,760.0,760.0,760.0
2013-02-28,Vegetable,Celeriac (olcopy),Kilogram,10.0,20.0,15.0,Quintal,600.0,600.0,600.0
2013-03-01,Vegetable,Celeriac (olcopy),Kilogram,,,,Quintal,,,
2013-03-02,Vegetable,Celeriac (olcopy),Kilogram,,,,Quintal,,,
2013-03-03,Vegetable,Celeriac (olcopy),Kilogram,10.0,20.0,15.0,Quintal,600.0,600.0,600.0
2013-03-04,Vegetable,Celeriac (olcopy),Kilogram,10.0,25.0,17.5,Quintal,600.0,600.0,600.0
2013-03-05,Vegetable,Celeriac (olcopy),Kilogram,,,,Quintal,,,
2013-03-06,Vegetable,Celeriac (olcopy),Kilogram,8.0,11.0,9.5,Quintal,610.0,610.0,610.0
2013-03-07,Vegetable,Celeriac (olcopy),Kilogram,10.0,20.0,15.0,Quintal,1000.0,1000.0,1000.0
2013-03-08,Vegetable,Celeriac (olcopy),Kilogram,,,,Quintal,,,
