,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-03-13,Vegetable,Chichinga (Snakegourd),Kilogram,45.0,50.0,47.5,Quintal,,,
2013-03-14,Vegetable,Chichinga (Snakegourd),Kilogram,,,,Quintal,,,
2013-03-15,Vegetable,Chichinga (Snakegourd),Kilogram,,,,Quintal,,,
2013-03-16,Vegetable,Chichinga (Snakegourd),Kilogram,,,,Quintal,,,
2013-03-17,Vegetable,Chichinga (Snakegourd),Kilogram,,,,Quintal,,,
2013-03-18,Vegetable,Chichinga (Snakegourd),Kilogram,,,,Quintal,,,
2013-03-19,Vegetable,Chichinga (Snakegourd),Kilogram,,,,Quintal,,,
2013-03-20,Vegetable,Chichinga (Snakegourd),Kilogram,35.0,40.0,37.5,Quintal,,,
2013-03-21,Vegetable,Chichinga (Snakegourd),Kilogram,,,,Quintal,,,
2013-03-22,Vegetable,Chichinga (Snakegourd),Kilogram,,,,Quintal,,,
2013-03-23,Vegetable,Chichinga (Snakegourd),Kilogram,,,,Quintal,,,
2013-03-24,Vegetable,Chichinga (Snakegourd),Kilogram,,,,Quintal,,,
2013-03-25,Vegetable,Chichinga (Snakegourd),Kilogram,,,,Quintal,,,
2013-03-26,Vegetable,Chichinga (Snakegourd),Kilogram,,,,Quintal,,,
2013-03-27,Vegetable,Chichinga (Snakegourd),Kilogram,38.0,40.0,39.0,Quintal,3500.0,3500.0,3500.0
2013-03-28,Vegetable,Chichinga (Snakegourd),Kilogram,,,,Quintal,,,
2013-03-29,Vegetable,Chichinga (Snakegourd),Kilogram,,,,Quintal,,,
2013-03-30,Vegetable,Chichinga (Snakegourd),Kilogram,,,,Quintal,,,
2013-03-31,Vegetable,Chichinga (Snakegourd),Kilogram,,,,Quintal,,,
2013-04-01,Vegetable,Chichinga (Snakegourd),Kilogram,,,,Quintal,,,
2013-04-02,Vegetable,Chichinga (Snakegourd),Kilogram,,,,Quintal,,,
2013-04-03,Vegetable,Chichinga (Snakegourd),Kilogram,32.0,34.0,33.0,Quintal,3000.0,3000.0,3000.0
2013-04-04,Vegetable,Chichinga (Snakegourd),Kilogram,,,,Quintal,,,
2013-04-05,Vegetable,Chichinga (Snakegourd),Kilogram,,,,Quintal,,,
2013-04-06,Vegetable,Chichinga (Snakegourd),Kilogram,,,,Quintal,,,
2013-04-07,Vegetable,Chichinga (Snakegourd),Kilogram,,,,Quintal,,,
2013-04-08,Vegetable,Chichinga (Snakegourd),Kilogram,,,,Quintal,,,
2013-04-09,Vegetable,Chichinga (Snakegourd),Kilogram,,,,Quintal,,,
2013-04-10,Vegetable,Chichinga (Snakegourd),Kilogram,34.0,36.0,35.0,Quintal,3200.0,3200.0,3200.0
2013-04-11,Vegetable,Chichinga (Snakegourd),Kilogram,,,,Quintal,,,
2013-04-12,Vegetable,Chichinga (Snakegourd),Kilogram,,,,Quintal,,,
2013-04-13,Vegetable,Chichinga (Snakegourd),Kilogram,,,,Quintal,,,
