,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Vegetable,Cucumber-small,Kilogram,30.0,40.0,35.0,Quintal,2800.0,2800.0,2800.0
2013-01-02,Vegetable,Cucumber-small,Kilogram,30.0,34.0,32.0,Quintal,2557.0,2557.0,2557.0
2013-01-03,Vegetable,Cucumber-small,Kilogram,30.0,40.0,35.0,Quintal,2800.0,2800.0,2800.0
2013-01-04,Vegetable,Cucumber-small,Kilogram,,,,Quintal,,,
2013-01-05,Vegetable,Cucumber-small,Kilogram,,,,Quintal,,,
2013-01-06,Vegetable,Cucumber-small,Kilogram,30.0,40.0,35.0,Quintal,2800.0,2800.0,2800.0
2013-01-07,Vegetable,Cucumber-small,Kilogram,30.0,40.0,35.0,Quintal,2600.0,2600.0,2600.0
2013-01-08,Vegetable,Cucumber-small,Kilogram,30.0,40.0,35.0,Quintal,3000.0,3000.0,3000.0
2013-01-09,Vegetable,Cucumber-small,Kilogram,29.0,33.0,31.0,Quintal,2775.0,2775.0,2775.0
2013-01-10,Vegetable,Cucumber-small,Kilogram,30.0,40.0,35.0,Quintal,2800.0,2800.0,2800.0
2013-01-11,Vegetable,Cucumber-small,Kilogram,,,,Quintal,,,
2013-01-12,Vegetable,Cucumber-small,Kilogram,,,,Quintal,,,
2013-01-13,Vegetable,Cucumber-small,Kilogram,30.0,40.0,35.0,Quintal,3000.0,3000.0,3000.0
2013-01-14,Vegetable,Cucumber-small,Kilogram,,,,Quintal,,,
2013-01-15,Vegetable,Cucumber-small,Kilogram,,,,Quintal,,,
2013-01-16,Vegetable,Cucumber-small,Kilogram,30.0,33.0,31.5,Quintal,2917.0,2917.0,2917.0
2013-01-17,Vegetable,Cucumber-small,Kilogram,,,,Quintal,,,
2013-01-18,Vegetable,Cucumber-small,Kilogram,,,,Quintal,,,
2013-01-19,Vegetable,Cucumber-small,Kilogram,,,,Quintal,,,
2013-01-20,Vegetable,Cucumber-small,Kilogram,,,,Quintal,,,
2013-01-21,Vegetable,Cucumber-small,Kilogram,,,,Quintal,,,
2013-01-22,Vegetable,Cucumber-small,Kilogram,,,,Quintal,,,
2013-01-23,Vegetable,Cucumber-small,Kilogram,29.0,32.0,30.5,Quintal,2880.0,2880.0,2880.0
2013-01-24,Vegetable,Cucumber-small,Kilogram,,,,Quintal,,,
2013-01-25,Vegetable,Cucumber-small,Kilogram,,,,Quintal,,,
2013-01-26,Vegetable,Cucumber-small,Kilogram,,,,Quintal,,,
2013-01-27,Vegetable,Cucumber-small,Kilogram,,,,Quintal,,,
2013-01-28,Vegetable,Cucumber-small,Kilogram,,,,Quintal,,,
2013-01-29,Vegetable,Cucumber-small,Kilogram,,,,Quintal,,,
2013-01-30,Vegetable,Cucumber-small,Kilogram,28.0,31.0,29.5,Quintal,2900.0,2900.0,2900.0
