,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-04-24,Vegetable,Dhundol,Kilogram,30.0,40.0,35.0,Quintal,,,
2013-04-25,Vegetable,Dhundol,Kilogram,,,,Quintal,,,
2013-04-26,Vegetable,Dhundol,Kilogram,,,,Quintal,,,
2013-04-27,Vegetable,Dhundol,Kilogram,,,,Quintal,,,
2013-04-28,Vegetable,Dhundol,Kilogram,,,,Quintal,,,
2013-04-29,Vegetable,Dhundol,Kilogram,,,,Quintal,,,
2013-04-30,Vegetable,Dhundol,Kilogram,,,,Quintal,,,
2013-05-01,Vegetable,Dhundol,Kilogram,18.0,20.0,19.0,Quintal,1500.0,1500.0,1500.0
2013-05-02,Vegetable,Dhundol,Kilogram,18.0,20.0,19.0,Quintal,1600.0,1600.0,1600.0
2013-05-03,Vegetable,Dhundol,Kilogram,,,,Quintal,,,
2013-05-04,Vegetable,Dhundol,Kilogram,,,,Quintal,,,
2013-05-05,Vegetable,Dhundol,Kilogram,,,,Quintal,,,
2013-05-06,Vegetable,Dhundol,Kilogram,,,,Quintal,,,
2013-05-07,Vegetable,Dhundol,Kilogram,,,,Quintal,,,
2013-05-08,Vegetable,Dhundol,Kilogram,21.0,23.0,22.0,Quintal,1775.0,1775.0,1775.0
2013-05-09,Vegetable,Dhundol,Kilogram,,,,Quintal,,,
2013-05-10,Vegetable,Dhundol,Kilogram,,,,Quintal,,,
2013-05-11,Vegetable,Dhundol,Kilogram,,,,Quintal,,,
2013-05-12,Vegetable,Dhundol,Kilogram,,,,Quintal,,,
2013-05-13,Vegetable,Dhundol,Kilogram,,,,Quintal,,,
2013-05-14,Vegetable,Dhundol,Kilogram,,,,Quintal,,,
2013-05-15,Vegetable,Dhundol,Kilogram,19.0,21.0,20.0,Quintal,1525.0,1525.0,1525.0
2013-05-16,Vegetable,Dhundol,Kilogram,,,,Quintal,,,
2013-05-17,Vegetable,Dhundol,Kilogram,,,,Quintal,,,
2013-05-18,Vegetable,Dhundol,Kilogram,,,,Quintal,,,
2013-05-19,Vegetable,Dhundol,Kilogram,,,,Quintal,,,
2013-05-20,Vegetable,Dhundol,Kilogram,,,,Quintal,,,
2013-05-21,Vegetable,Dhundol,Kilogram,,,,Quintal,,,
2013-05-22,Vegetable,Dhundol,Kilogram,19.0,22.0,20.5,Quintal,1800.0,1800.0,1800.0
2013-05-23,Vegetable,Dhundol,Kilogram,,,,Quintal,,,
2013-05-24,Vegetable,Dhundol,Kilogram,,,,Quintal,,,
2013-05-25,Vegetable,Dhundol,Kilogram,,,,Quintal,,,
2013-05-26,Vegetable,Dhundol,Kilogram,,,,Quintal,,,
2013-05-27,Vegetable,Dhundol,Kilogram,,,,Quintal,,,
2013-05-28,Vegetable,Dhundol,Kilogram,,,,Quintal,,,
2013-05-29,Vegetable,Dhundol,Kilogram,23.0,26.0,24.5,Quintal,2120.0,2120.0,2120.0
2013-05-30,Vegetable,Dhundol,Kilogram,,,,Quintal,,,
2013-05-31,Vegetable,Dhundol,Kilogram,,,,Quintal,,,
2013-06-01,Vegetable,Dhundol,Kilogram,,,,Quintal,,,
2013-06-02,Vegetable,Dhundol,Kilogram,,,,Quintal,,,
2013-06-03,Vegetable,Dhundol,Kilogram,,,,Quintal,,,
2013-06-04,Vegetable,Dhundol,Kilogram,,,,Quintal,,,
2013-06-05,Vegetable,Dhundol,Kilogram,496.0,538.0,517.0,Quintal,1920.0,1920.0,1920.0
2013-06-06,Vegetable,Dhundol,Kilogram,1212.0,1313.0,1262.5,Quintal,2300.0,2300.0,2300.0
2013-06-07,Vegetable,Dhundol,Kilogram,,,,Quintal,,,
2013-06-08,Vegetable,Dhundol,Kilogram,,,,Quintal,,,
2013-06-09,Vegetable,Dhundol,Kilogram,18.0,20.0,19.0,Quintal,1400.0,1400.0,1400.0
2013-06-10,Vegetable,Dhundol,Kilogram,18.0,20.0,19.0,Quintal,1400.0,1400.0,1400.0
2013-06-11,Vegetable,Dhundol,Kilogram,25.0,27.0,26.0,Quintal,1900.0,1900.0,1900.0
2013-06-12,Vegetable,Dhundol,Kilogram,23.0,25.0,24.0,Quintal,1878.0,1878.0,1878.0
2013-06-13,Vegetable,Dhundol,Kilogram,25.0,27.0,26.0,Quintal,1900.0,1900.0,1900.0
2013-06-14,Vegetable,Dhundol,Kilogram,,,,Quintal,,,
2013-06-15,Vegetable,Dhundol,Kilogram,,,,Quintal,,,
2013-06-16,Vegetable,Dhundol,Kilogram,24.0,26.0,25.0,Quintal,1767.0,1767.0,1767.0
2013-06-17,Vegetable,Dhundol,Kilogram,24.0,26.0,25.0,Quintal,1700.0,1700.0,1700.0
2013-06-18,Vegetable,Dhundol,Kilogram,25.0,27.0,26.0,Quintal,1700.0,1700.0,1700.0
2013-06-19,Vegetable,Dhundol,Kilogram,20.0,22.0,21.0,Quintal,1680.0,1680.0,1680.0
2013-06-20,Vegetable,Dhundol,Kilogram,29.0,31.0,30.0,Quintal,2400.0,2400.0,2400.0
2013-06-21,Vegetable,Dhundol,Kilogram,,,,Quintal,,,
2013-06-22,Vegetable,Dhundol,Kilogram,,,,Quintal,,,
2013-06-23,Vegetable,Dhundol,Kilogram,22.0,26.0,24.0,Quintal,1600.0,1600.0,1600.0
2013-06-24,Vegetable,Dhundol,Kilogram,22.0,26.0,24.0,Quintal,1600.0,1600.0,1600.0
2013-06-25,Vegetable,Dhundol,Kilogram,,,,Quintal,,,
2013-06-26,Vegetable,Dhundol,Kilogram,134.0,144.0,139.0,Quintal,1636.0,1636.0,1636.0
2013-06-27,Vegetable,Dhundol,Kilogram,392.0,419.0,405.5,Quintal,1550.0,1550.0,1550.0
2013-06-28,Vegetable,Dhundol,Kilogram,,,,Quintal,,,
2013-06-29,Vegetable,Dhundol,Kilogram,,,,Quintal,,,
2013-06-30,Vegetable,Dhundol,Kilogram,24.0,27.0,25.5,Quintal,1667.0,1667.0,1667.0
2013-07-01,Vegetable,Dhundol,Kilogram,22.0,26.0,24.0,Quintal,1667.0,1667.0,1667.0
2013-07-02,Vegetable,Dhundol,Kilogram,22.0,26.0,24.0,Quintal,1733.0,1733.0,1733.0
2013-07-03,Vegetable,Dhundol,Kilogram,19.0,21.0,20.0,Quintal,1607.0,1607.0,1607.0
2013-07-04,Vegetable,Dhundol,Kilogram,21.0,24.0,22.5,Quintal,1567.0,1567.0,1567.0
2013-07-05,Vegetable,Dhundol,Kilogram,,,,Quintal,,,
2013-07-06,Vegetable,Dhundol,Kilogram,,,,Quintal,,,
2013-07-07,Vegetable,Dhundol,Kilogram,21.0,24.0,22.5,Quintal,1733.0,1733.0,1733.0
2013-07-08,Vegetable,Dhundol,Kilogram,21.0,23.0,22.0,Quintal,1733.0,1733.0,1733.0
2013-07-09,Vegetable,Dhundol,Kilogram,20.0,23.0,21.5,Quintal,1767.0,1767.0,1767.0
2013-07-10,Vegetable,Dhundol,Kilogram,20.0,22.0,21.0,Quintal,1729.0,1729.0,1729.0
2013-07-11,Vegetable,Dhundol,Kilogram,19.0,22.0,20.5,Quintal,1650.0,1650.0,1650.0
2013-07-12,Vegetable,Dhundol,Kilogram,,,,Quintal,,,
2013-07-13,Vegetable,Dhundol,Kilogram,,,,Quintal,,,
2013-07-14,Vegetable,Dhundol,Kilogram,20.0,23.0,21.5,Quintal,1800.0,1800.0,1800.0
2013-07-15,Vegetable,Dhundol,Kilogram,19.0,23.0,21.0,Quintal,1800.0,1800.0,1800.0
2013-07-16,Vegetable,Dhundol,Kilogram,18.0,21.0,19.5,Quintal,1533.0,1533.0,1533.0
2013-07-17,Vegetable,Dhundol,Kilogram,19.0,21.0,20.0,Quintal,1593.0,1593.0,1593.0
2013-07-18,Vegetable,Dhundol,Kilogram,18.0,21.0,19.5,Quintal,1500.0,1500.0,1500.0
2013-07-19,Vegetable,Dhundol,Kilogram,,,,Quintal,,,
2013-07-20,Vegetable,Dhundol,Kilogram,,,,Quintal,,,
2013-07-21,Vegetable,Dhundol,Kilogram,18.0,21.0,19.5,Quintal,1433.0,1433.0,1433.0
2013-07-22,Vegetable,Dhundol,Kilogram,17.0,19.0,18.0,Quintal,1433.0,1433.0,1433.0
2013-07-23,Vegetable,Dhundol,Kilogram,18.0,21.0,19.5,Quintal,1467.0,1467.0,1467.0
