,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Vegetable,Green Banana,1 piece,19.0,21.0,20.0,100 pieces,1405.0,1405.0,1405.0
2013-01-03,Vegetable,Green Banana,1 piece,,,,100 pieces,,,
2013-01-04,Vegetable,Green Banana,1 piece,,,,100 pieces,,,
2013-01-05,Vegetable,Green Banana,1 piece,,,,100 pieces,,,
2013-01-06,Vegetable,Green Banana,1 piece,,,,100 pieces,,,
2013-01-07,Vegetable,Green Banana,1 piece,,,,100 pieces,,,
2013-01-08,Vegetable,Green Banana,1 piece,,,,100 pieces,,,
2013-01-09,Vegetable,Green Banana,1 piece,19.0,21.0,20.0,100 pieces,1395.0,1395.0,1395.0
2013-01-10,Vegetable,Green Banana,1 piece,,,,100 pieces,,,
2013-01-11,Vegetable,Green Banana,1 piece,,,,100 pieces,,,
2013-01-12,Vegetable,Green Banana,1 piece,,,,100 pieces,,,
2013-01-13,Vegetable,Green Banana,1 piece,,,,100 pieces,,,
2013-01-14,Vegetable,Green Banana,1 piece,,,,100 pieces,,,
2013-01-15,Vegetable,Green Banana,1 piece,,,,100 pieces,,,
2013-01-16,Vegetable,Green Banana,1 piece,19.0,21.0,20.0,100 pieces,1521.0,1521.0,1521.0
2013-01-17,Vegetable,Green Banana,1 piece,,,,100 pieces,,,
2013-01-18,Vegetable,Green Banana,1 piece,,,,100 pieces,,,
2013-01-19,Vegetable,Green Banana,1 piece,,,,100 pieces,,,
2013-01-20,Vegetable,Green Banana,1 piece,,,,100 pieces,,,
2013-01-21,Vegetable,Green Banana,1 piece,,,,100 pieces,,,
2013-01-22,Vegetable,Green Banana,1 piece,,,,100 pieces,,,
2013-01-23,Vegetable,Green Banana,1 piece,20.0,22.0,21.0,100 pieces,1658.0,1658.0,1658.0
2013-01-24,Vegetable,Green Banana,1 piece,,,,100 pieces,,,
