,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Vegetable,Green Papaya,Kilogram,15.0,20.0,17.5,Quintal,1600.0,1600.0,1600.0
2013-01-02,Vegetable,Green Papaya,Kilogram,14.0,16.0,15.0,Quintal,1183.0,1183.0,1183.0
2013-01-03,Vegetable,Green Papaya,Kilogram,15.0,20.0,17.5,Quintal,1200.0,1200.0,1200.0
2013-01-04,Vegetable,Green Papaya,Kilogram,,,,Quintal,,,
2013-01-05,Vegetable,Green Papaya,Kilogram,,,,Quintal,,,
2013-01-06,Vegetable,Green Papaya,Kilogram,15.0,20.0,17.5,Quintal,1200.0,1200.0,1200.0
2013-01-07,Vegetable,Green Papaya,Kilogram,18.0,22.0,20.0,Quintal,1400.0,1400.0,1400.0
2013-01-08,Vegetable,Green Papaya,Kilogram,18.0,20.0,19.0,Quintal,1500.0,1500.0,1500.0
2013-01-09,Vegetable,Green Papaya,Kilogram,14.0,16.0,15.0,Quintal,1218.0,1218.0,1218.0
2013-01-10,Vegetable,Green Papaya,Kilogram,15.0,20.0,17.5,Quintal,1400.0,1400.0,1400.0
2013-01-11,Vegetable,Green Papaya,Kilogram,,,,Quintal,,,
2013-01-12,Vegetable,Green Papaya,Kilogram,,,,Quintal,,,
2013-01-13,Vegetable,Green Papaya,Kilogram,18.0,25.0,21.5,Quintal,1600.0,1600.0,1600.0
2013-01-14,Vegetable,Green Papaya,Kilogram,18.0,25.0,21.5,Quintal,1700.0,1700.0,1700.0
2013-01-15,Vegetable,Green Papaya,Kilogram,18.0,25.0,21.5,Quintal,1700.0,1700.0,1700.0
2013-01-16,Vegetable,Green Papaya,Kilogram,15.0,17.0,16.0,Quintal,1274.0,1274.0,1274.0
2013-01-17,Vegetable,Green Papaya,Kilogram,20.0,30.0,25.0,Quintal,1800.0,1800.0,1800.0
2013-01-18,Vegetable,Green Papaya,Kilogram,,,,Quintal,,,
2013-01-19,Vegetable,Green Papaya,Kilogram,,,,Quintal,,,
2013-01-20,Vegetable,Green Papaya,Kilogram,20.0,30.0,25.0,Quintal,2000.0,2000.0,2000.0
2013-01-21,Vegetable,Green Papaya,Kilogram,18.0,30.0,24.0,Quintal,1800.0,1800.0,1800.0
2013-01-22,Vegetable,Green Papaya,Kilogram,18.0,26.0,22.0,Quintal,2000.0,2000.0,2000.0
2013-01-23,Vegetable,Green Papaya,Kilogram,14.0,16.0,15.0,Quintal,1238.0,1238.0,1238.0
2013-01-24,Vegetable,Green Papaya,Kilogram,18.0,24.0,21.0,Quintal,1800.0,1800.0,1800.0
2013-01-25,Vegetable,Green Papaya,Kilogram,,,,Quintal,,,
2013-01-26,Vegetable,Green Papaya,Kilogram,,,,Quintal,,,
2013-01-27,Vegetable,Green Papaya,Kilogram,20.0,24.0,22.0,Quintal,1800.0,1800.0,1800.0
2013-01-28,Vegetable,Green Papaya,Kilogram,20.0,24.0,22.0,Quintal,1800.0,1800.0,1800.0
2013-01-29,Vegetable,Green Papaya,Kilogram,20.0,24.0,22.0,Quintal,1800.0,1800.0,1800.0
2013-01-30,Vegetable,Green Papaya,Kilogram,14.0,16.0,15.0,Quintal,1217.0,1217.0,1217.0
2013-01-31,Vegetable,Green Papaya,Kilogram,20.0,24.0,22.0,Quintal,1600.0,1600.0,1600.0
2013-02-01,Vegetable,Green Papaya,Kilogram,,,,Quintal,,,
2013-02-02,Vegetable,Green Papaya,Kilogram,,,,Quintal,,,
2013-02-03,Vegetable,Green Papaya,Kilogram,,,,Quintal,,,
2013-02-04,Vegetable,Green Papaya,Kilogram,20.0,24.0,22.0,Quintal,1600.0,1600.0,1600.0
2013-02-05,Vegetable,Green Papaya,Kilogram,20.0,24.0,22.0,Quintal,1600.0,1600.0,1600.0
2013-02-06,Vegetable,Green Papaya,Kilogram,14.0,16.0,15.0,Quintal,1267.0,1267.0,1267.0
2013-02-07,Vegetable,Green Papaya,Kilogram,20.0,24.0,22.0,Quintal,1400.0,1400.0,1400.0
2013-02-08,Vegetable,Green Papaya,Kilogram,,,,Quintal,,,
2013-02-09,Vegetable,Green Papaya,Kilogram,,,,Quintal,,,
2013-02-10,Vegetable,Green Papaya,Kilogram,20.0,24.0,22.0,Quintal,1400.0,1400.0,1400.0
2013-02-11,Vegetable,Green Papaya,Kilogram,18.0,25.0,21.5,Quintal,1600.0,1600.0,1600.0
2013-02-12,Vegetable,Green Papaya,Kilogram,,,,Quintal,,,
2013-02-13,Vegetable,Green Papaya,Kilogram,14.0,16.0,15.0,Quintal,1300.0,1300.0,1300.0
2013-02-14,Vegetable,Green Papaya,Kilogram,18.0,25.0,21.5,Quintal,1800.0,1800.0,1800.0
2013-02-15,Vegetable,Green Papaya,Kilogram,,,,Quintal,,,
2013-02-16,Vegetable,Green Papaya,Kilogram,,,,Quintal,,,
2013-02-17,Vegetable,Green Papaya,Kilogram,,,,Quintal,,,
2013-02-18,Vegetable,Green Papaya,Kilogram,18.0,28.0,23.0,Quintal,1800.0,1800.0,1800.0
2013-02-19,Vegetable,Green Papaya,Kilogram,18.0,25.0,21.5,Quintal,2000.0,2000.0,2000.0
2013-02-20,Vegetable,Green Papaya,Kilogram,16.0,18.0,17.0,Quintal,1413.0,1413.0,1413.0
2013-02-21,Vegetable,Green Papaya,Kilogram,,,,Quintal,,,
2013-02-22,Vegetable,Green Papaya,Kilogram,,,,Quintal,,,
2013-02-23,Vegetable,Green Papaya,Kilogram,,,,Quintal,,,
2013-02-24,Vegetable,Green Papaya,Kilogram,20.0,25.0,22.5,Quintal,1800.0,1800.0,1800.0
2013-02-25,Vegetable,Green Papaya,Kilogram,,,,Quintal,,,
2013-02-26,Vegetable,Green Papaya,Kilogram,15.0,22.0,18.5,Quintal,1600.0,1600.0,1600.0
2013-02-27,Vegetable,Green Papaya,Kilogram,15.0,17.0,16.0,Quintal,1342.0,1342.0,1342.0
2013-02-28,Vegetable,Green Papaya,Kilogram,18.0,22.0,20.0,Quintal,1600.0,1600.0,1600.0
2013-03-01,Vegetable,Green Papaya,Kilogram,,,,Quintal,,,
2013-03-02,Vegetable,Green Papaya,Kilogram,,,,Quintal,,,
2013-03-03,Vegetable,Green Papaya,Kilogram,18.0,25.0,21.5,Quintal,1600.0,1600.0,1600.0
2013-03-04,Vegetable,Green Papaya,Kilogram,20.0,25.0,22.5,Quintal,1800.0,1800.0,1800.0
2013-03-05,Vegetable,Green Papaya,Kilogram,,,,Quintal,,,
2013-03-06,Vegetable,Green Papaya,Kilogram,16.0,18.0,17.0,Quintal,1357.0,1357.0,1357.0
2013-03-07,Vegetable,Green Papaya,Kilogram,18.0,25.0,21.5,Quintal,1400.0,1400.0,1400.0
2013-03-08,Vegetable,Green Papaya,Kilogram,,,,Quintal,,,
2013-03-09,Vegetable,Green Papaya,Kilogram,,,,Quintal,,,
2013-03-10,Vegetable,Green Papaya,Kilogram,,,,Quintal,,,
2013-03-11,Vegetable,Green Papaya,Kilogram,,,,Quintal,,,
2013-03-12,Vegetable,Green Papaya,Kilogram,16.0,20.0,18.0,Quintal,1600.0,1600.0,1600.0
2013-03-13,Vegetable,Green Papaya,Kilogram,15.0,17.0,16.0,Quintal,1350.0,1350.0,1350.0
2013-03-14,Vegetable,Green Papaya,Kilogram,,,,Quintal,,,
2013-03-15,Vegetable,Green Papaya,Kilogram,,,,Quintal,,,
2013-03-16,Vegetable,Green Papaya,Kilogram,,,,Quintal,,,
2013-03-17,Vegetable,Green Papaya,Kilogram,,,,Quintal,,,
2013-03-18,Vegetable,Green Papaya,Kilogram,,,,Quintal,,,
2013-03-19,Vegetable,Green Papaya,Kilogram,16.0,20.0,18.0,Quintal,1400.0,1400.0,1400.0
2013-03-20,Vegetable,Green Papaya,Kilogram,16.0,18.0,17.0,Quintal,1400.0,1400.0,1400.0
2013-03-21,Vegetable,Green Papaya,Kilogram,,,,Quintal,,,
2013-03-22,Vegetable,Green Papaya,Kilogram,,,,Quintal,,,
2013-03-23,Vegetable,Green Papaya,Kilogram,,,,Quintal,,,
2013-03-24,Vegetable,Green Papaya,Kilogram,,,,Quintal,,,
2013-03-25,Vegetable,Green Papaya,Kilogram,,,,Quintal,,,
2013-03-26,Vegetable,Green Papaya,Kilogram,,,,Quintal,,,
