,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-03-27,Vegetable,Jhinga (Tasle Gourd),Kilogram,35.0,40.0,37.5,Quintal,3400.0,3400.0,3400.0
2013-03-28,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-03-29,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-03-30,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-03-31,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-04-01,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-04-02,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-04-03,Vegetable,Jhinga (Tasle Gourd),Kilogram,35.0,38.0,36.5,Quintal,3200.0,3200.0,3200.0
2013-04-04,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-04-05,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-04-06,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-04-07,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-04-08,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-04-09,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-04-10,Vegetable,Jhinga (Tasle Gourd),Kilogram,38.0,43.0,40.5,Quintal,2800.0,2800.0,2800.0
2013-04-11,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-04-12,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-04-13,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-04-14,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-04-15,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-04-16,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-04-17,Vegetable,Jhinga (Tasle Gourd),Kilogram,32.0,35.0,33.5,Quintal,2733.0,2733.0,2733.0
2013-04-18,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-04-19,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-04-20,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-04-21,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-04-22,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-04-23,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-04-24,Vegetable,Jhinga (Tasle Gourd),Kilogram,33.0,36.0,34.5,Quintal,3000.0,3000.0,3000.0
2013-04-25,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-04-26,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-04-27,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-04-28,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-04-29,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-04-30,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-05-01,Vegetable,Jhinga (Tasle Gourd),Kilogram,27.0,29.0,28.0,Quintal,2200.0,2200.0,2200.0
2013-05-02,Vegetable,Jhinga (Tasle Gourd),Kilogram,24.0,28.0,26.0,Quintal,2225.0,2225.0,2225.0
2013-05-03,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-05-04,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-05-05,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-05-06,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-05-07,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-05-08,Vegetable,Jhinga (Tasle Gourd),Kilogram,23.0,26.0,24.5,Quintal,2078.0,2078.0,2078.0
2013-05-09,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-05-10,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-05-11,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-05-12,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-05-13,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-05-14,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-05-15,Vegetable,Jhinga (Tasle Gourd),Kilogram,20.0,23.0,21.5,Quintal,1842.0,1842.0,1842.0
2013-05-16,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-05-17,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-05-18,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-05-19,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-05-20,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-05-21,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-05-22,Vegetable,Jhinga (Tasle Gourd),Kilogram,21.0,24.0,22.5,Quintal,1973.0,1973.0,1973.0
2013-05-23,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-05-24,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-05-25,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-05-26,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-05-27,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-05-28,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-05-29,Vegetable,Jhinga (Tasle Gourd),Kilogram,25.0,27.0,26.0,Quintal,2250.0,2250.0,2250.0
2013-05-30,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-05-31,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-06-01,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-06-02,Vegetable,Jhinga (Tasle Gourd),Kilogram,3400.0,3500.0,3450.0,Quintal,3500.0,3500.0,3500.0
2013-06-03,Vegetable,Jhinga (Tasle Gourd),Kilogram,1712.0,1763.0,1737.5,Quintal,2850.0,2850.0,2850.0
2013-06-04,Vegetable,Jhinga (Tasle Gourd),Kilogram,1712.0,1763.0,1737.5,Quintal,2850.0,2850.0,2850.0
2013-06-05,Vegetable,Jhinga (Tasle Gourd),Kilogram,233.0,242.0,237.5,Quintal,2594.0,2594.0,2594.0
2013-06-06,Vegetable,Jhinga (Tasle Gourd),Kilogram,569.0,589.0,579.0,Quintal,2314.0,2314.0,2314.0
2013-06-07,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-06-08,Vegetable,Jhinga (Tasle Gourd),Kilogram,,,,Quintal,,,
2013-06-09,Vegetable,Jhinga (Tasle Gourd),Kilogram,30.0,31.0,30.5,Quintal,2660.0,2660.0,2660.0
2013-06-10,Vegetable,Jhinga (Tasle Gourd),Kilogram,682.0,705.0,693.5,Quintal,2640.0,2640.0,2640.0
