,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-04-17,Vegetable,Kakroll,Kilogram,55.0,60.0,57.5,Quintal,5500.0,5500.0,5500.0
2013-04-18,Vegetable,Kakroll,Kilogram,,,,Quintal,,,
2013-04-19,Vegetable,Kakroll,Kilogram,,,,Quintal,,,
2013-04-20,Vegetable,Kakroll,Kilogram,,,,Quintal,,,
2013-04-21,Vegetable,Kakroll,Kilogram,,,,Quintal,,,
2013-04-22,Vegetable,Kakroll,Kilogram,,,,Quintal,,,
2013-04-23,Vegetable,Kakroll,Kilogram,,,,Quintal,,,
2013-04-24,Vegetable,Kakroll,Kilogram,63.0,70.0,66.5,Quintal,5500.0,5500.0,5500.0
2013-04-25,Vegetable,Kakroll,Kilogram,,,,Quintal,,,
2013-04-26,Vegetable,Kakroll,Kilogram,,,,Quintal,,,
2013-04-27,Vegetable,Kakroll,Kilogram,,,,Quintal,,,
2013-04-28,Vegetable,Kakroll,Kilogram,,,,Quintal,,,
2013-04-29,Vegetable,Kakroll,Kilogram,,,,Quintal,,,
2013-04-30,Vegetable,Kakroll,Kilogram,,,,Quintal,,,
2013-05-01,Vegetable,Kakroll,Kilogram,38.0,40.0,39.0,Quintal,3200.0,3200.0,3200.0
2013-05-02,Vegetable,Kakroll,Kilogram,,,,Quintal,4000.0,4000.0,4000.0
2013-05-03,Vegetable,Kakroll,Kilogram,,,,Quintal,,,
2013-05-04,Vegetable,Kakroll,Kilogram,,,,Quintal,,,
2013-05-05,Vegetable,Kakroll,Kilogram,,,,Quintal,,,
2013-05-06,Vegetable,Kakroll,Kilogram,,,,Quintal,,,
2013-05-07,Vegetable,Kakroll,Kilogram,,,,Quintal,,,
2013-05-08,Vegetable,Kakroll,Kilogram,43.0,48.0,45.5,Quintal,3000.0,3000.0,3000.0
2013-05-09,Vegetable,Kakroll,Kilogram,,,,Quintal,,,
2013-05-10,Vegetable,Kakroll,Kilogram,,,,Quintal,,,
2013-05-11,Vegetable,Kakroll,Kilogram,,,,Quintal,,,
2013-05-12,Vegetable,Kakroll,Kilogram,,,,Quintal,,,
2013-05-13,Vegetable,Kakroll,Kilogram,,,,Quintal,,,
2013-05-14,Vegetable,Kakroll,Kilogram,,,,Quintal,,,
2013-05-15,Vegetable,Kakroll,Kilogram,32.0,36.0,34.0,Quintal,2900.0,2900.0,2900.0
2013-05-16,Vegetable,Kakroll,Kilogram,,,,Quintal,,,
2013-05-17,Vegetable,Kakroll,Kilogram,,,,Quintal,,,
2013-05-18,Vegetable,Kakroll,Kilogram,,,,Quintal,,,
2013-05-19,Vegetable,Kakroll,Kilogram,,,,Quintal,,,
2013-05-20,Vegetable,Kakroll,Kilogram,,,,Quintal,,,
2013-05-21,Vegetable,Kakroll,Kilogram,,,,Quintal,,,
2013-05-22,Vegetable,Kakroll,Kilogram,31.0,35.0,33.0,Quintal,2833.0,2833.0,2833.0
2013-05-23,Vegetable,Kakroll,Kilogram,,,,Quintal,,,
2013-05-24,Vegetable,Kakroll,Kilogram,,,,Quintal,,,
2013-05-25,Vegetable,Kakroll,Kilogram,,,,Quintal,,,
2013-05-26,Vegetable,Kakroll,Kilogram,,,,Quintal,,,
2013-05-27,Vegetable,Kakroll,Kilogram,,,,Quintal,,,
2013-05-28,Vegetable,Kakroll,Kilogram,,,,Quintal,,,
2013-05-29,Vegetable,Kakroll,Kilogram,31.0,35.0,33.0,Quintal,3000.0,3000.0,3000.0
2013-05-30,Vegetable,Kakroll,Kilogram,,,,Quintal,,,
2013-05-31,Vegetable,Kakroll,Kilogram,,,,Quintal,,,
2013-06-01,Vegetable,Kakroll,Kilogram,,,,Quintal,,,
2013-06-02,Vegetable,Kakroll,Kilogram,,,,Quintal,,,
2013-06-03,Vegetable,Kakroll,Kilogram,,,,Quintal,,,
2013-06-04,Vegetable,Kakroll,Kilogram,,,,Quintal,,,
2013-06-05,Vegetable,Kakroll,Kilogram,35.0,40.0,37.5,Quintal,3463.0,3463.0,3463.0
2013-06-06,Vegetable,Kakroll,Kilogram,33.0,38.0,35.5,Quintal,2950.0,2950.0,2950.0
2013-06-07,Vegetable,Kakroll,Kilogram,,,,Quintal,,,
2013-06-08,Vegetable,Kakroll,Kilogram,,,,Quintal,,,
2013-06-09,Vegetable,Kakroll,Kilogram,32.0,36.0,34.0,Quintal,3000.0,3000.0,3000.0
2013-06-10,Vegetable,Kakroll,Kilogram,29.0,32.0,30.5,Quintal,2800.0,2800.0,2800.0
2013-06-11,Vegetable,Kakroll,Kilogram,33.0,37.0,35.0,Quintal,3140.0,3140.0,3140.0
2013-06-12,Vegetable,Kakroll,Kilogram,31.0,35.0,33.0,Quintal,2797.0,2797.0,2797.0
2013-06-13,Vegetable,Kakroll,Kilogram,31.0,35.0,33.0,Quintal,3160.0,3160.0,3160.0
2013-06-14,Vegetable,Kakroll,Kilogram,,,,Quintal,,,
2013-06-15,Vegetable,Kakroll,Kilogram,,,,Quintal,,,
2013-06-16,Vegetable,Kakroll,Kilogram,32.0,35.0,33.5,Quintal,3133.0,3133.0,3133.0
2013-06-17,Vegetable,Kakroll,Kilogram,32.0,35.0,33.5,Quintal,3220.0,3220.0,3220.0
2013-06-18,Vegetable,Kakroll,Kilogram,32.0,35.0,33.5,Quintal,3220.0,3220.0,3220.0
2013-06-19,Vegetable,Kakroll,Kilogram,30.0,33.0,31.5,Quintal,2585.0,2585.0,2585.0
2013-06-20,Vegetable,Kakroll,Kilogram,31.0,34.0,32.5,Quintal,9650.0,9650.0,9650.0
2013-06-21,Vegetable,Kakroll,Kilogram,,,,Quintal,,,
2013-06-22,Vegetable,Kakroll,Kilogram,,,,Quintal,,,
