,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Vegetable,Karalla (Bitter Gourd),Kilogram,45.0,60.0,52.5,Quintal,5000.0,5000.0,5000.0
2013-01-02,Vegetable,Karalla (Bitter Gourd),Kilogram,48.0,54.0,51.0,Quintal,4600.0,4600.0,4600.0
2013-01-03,Vegetable,Karalla (Bitter Gourd),Kilogram,45.0,60.0,52.5,Quintal,4800.0,4800.0,4800.0
2013-01-04,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-01-05,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-01-06,Vegetable,Karalla (Bitter Gourd),Kilogram,40.0,60.0,50.0,Quintal,4800.0,4800.0,4800.0
2013-01-07,Vegetable,Karalla (Bitter Gourd),Kilogram,50.0,60.0,55.0,Quintal,5200.0,5200.0,5200.0
2013-01-08,Vegetable,Karalla (Bitter Gourd),Kilogram,50.0,70.0,60.0,Quintal,5200.0,5200.0,5200.0
2013-01-09,Vegetable,Karalla (Bitter Gourd),Kilogram,51.0,56.0,53.5,Quintal,5360.0,5360.0,5360.0
2013-01-10,Vegetable,Karalla (Bitter Gourd),Kilogram,55.0,70.0,62.5,Quintal,5000.0,5000.0,5000.0
2013-01-11,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-01-12,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-01-13,Vegetable,Karalla (Bitter Gourd),Kilogram,60.0,70.0,65.0,Quintal,5000.0,5000.0,5000.0
2013-01-14,Vegetable,Karalla (Bitter Gourd),Kilogram,55.0,80.0,67.5,Quintal,5500.0,5500.0,5500.0
2013-01-15,Vegetable,Karalla (Bitter Gourd),Kilogram,60.0,80.0,70.0,Quintal,6000.0,6000.0,6000.0
2013-01-16,Vegetable,Karalla (Bitter Gourd),Kilogram,56.0,63.0,59.5,Quintal,5667.0,5667.0,5667.0
2013-01-17,Vegetable,Karalla (Bitter Gourd),Kilogram,60.0,80.0,70.0,Quintal,5000.0,5000.0,5000.0
2013-01-18,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-01-19,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-01-20,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-01-21,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-01-22,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-01-23,Vegetable,Karalla (Bitter Gourd),Kilogram,65.0,67.0,66.0,Quintal,6033.0,6033.0,6033.0
2013-01-24,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-01-25,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-01-26,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-01-27,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-01-28,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-01-29,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-01-30,Vegetable,Karalla (Bitter Gourd),Kilogram,66.0,71.0,68.5,Quintal,6133.0,6133.0,6133.0
2013-01-31,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-02-01,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-02-02,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-02-03,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-02-04,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-02-05,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-02-06,Vegetable,Karalla (Bitter Gourd),Kilogram,77.0,86.0,81.5,Quintal,7200.0,7200.0,7200.0
2013-02-07,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-02-08,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-02-09,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-02-10,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-02-11,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-02-12,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-02-13,Vegetable,Karalla (Bitter Gourd),Kilogram,83.0,91.0,87.0,Quintal,8000.0,8000.0,8000.0
2013-02-14,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-02-15,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-02-16,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-02-17,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-02-18,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-02-19,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-02-20,Vegetable,Karalla (Bitter Gourd),Kilogram,109.0,121.0,115.0,Quintal,16000.0,16000.0,16000.0
2013-02-21,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-02-22,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-02-23,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-02-24,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-02-25,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-02-26,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-02-27,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-02-28,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-03-01,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-03-02,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-03-03,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-03-04,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-03-05,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-03-06,Vegetable,Karalla (Bitter Gourd),Kilogram,99.0,108.0,103.5,Quintal,11000.0,11000.0,11000.0
2013-03-07,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-03-08,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-03-09,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-03-10,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-03-11,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-03-12,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-03-13,Vegetable,Karalla (Bitter Gourd),Kilogram,70.0,78.0,74.0,Quintal,6733.0,6733.0,6733.0
2013-03-14,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-03-15,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-03-16,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-03-17,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-03-18,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-03-19,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-03-20,Vegetable,Karalla (Bitter Gourd),Kilogram,48.0,54.0,51.0,Quintal,4800.0,4800.0,4800.0
2013-03-21,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-03-22,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-03-23,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-03-24,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-03-25,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
2013-03-26,Vegetable,Karalla (Bitter Gourd),Kilogram,,,,Quintal,,,
