,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Vegetable,Khirai (Small Cucumber),Kilogram,29.0,32.0,30.5,Quintal,2275.0,2275.0,2275.0
2013-01-03,Vegetable,Khirai (Small Cucumber),Kilogram,,,,Quintal,,,
2013-01-04,Vegetable,Khirai (Small Cucumber),Kilogram,,,,Quintal,,,
2013-01-05,Vegetable,Khirai (Small Cucumber),Kilogram,,,,Quintal,,,
2013-01-06,Vegetable,Khirai (Small Cucumber),Kilogram,,,,Quintal,,,
2013-01-07,Vegetable,Khirai (Small Cucumber),Kilogram,,,,Quintal,,,
2013-01-08,Vegetable,Khirai (Small Cucumber),Kilogram,,,,Quintal,,,
2013-01-09,Vegetable,Khirai (Small Cucumber),Kilogram,26.0,30.0,28.0,Quintal,2175.0,2175.0,2175.0
2013-01-10,Vegetable,Khirai (Small Cucumber),Kilogram,,,,Quintal,,,
2013-01-11,Vegetable,Khirai (Small Cucumber),Kilogram,,,,Quintal,,,
2013-01-12,Vegetable,Khirai (Small Cucumber),Kilogram,,,,Quintal,,,
2013-01-13,Vegetable,Khirai (Small Cucumber),Kilogram,,,,Quintal,,,
2013-01-14,Vegetable,Khirai (Small Cucumber),Kilogram,30.0,40.0,35.0,Quintal,2800.0,2800.0,2800.0
2013-01-15,Vegetable,Khirai (Small Cucumber),Kilogram,30.0,40.0,35.0,Quintal,2800.0,2800.0,2800.0
2013-01-16,Vegetable,Khirai (Small Cucumber),Kilogram,28.0,32.0,30.0,Quintal,2467.0,2467.0,2467.0
2013-01-17,Vegetable,Khirai (Small Cucumber),Kilogram,35.0,45.0,40.0,Quintal,3200.0,3200.0,3200.0
2013-01-18,Vegetable,Khirai (Small Cucumber),Kilogram,,,,Quintal,,,
2013-01-19,Vegetable,Khirai (Small Cucumber),Kilogram,,,,Quintal,,,
2013-01-20,Vegetable,Khirai (Small Cucumber),Kilogram,35.0,45.0,40.0,Quintal,3200.0,3200.0,3200.0
2013-01-21,Vegetable,Khirai (Small Cucumber),Kilogram,35.0,45.0,40.0,Quintal,3200.0,3200.0,3200.0
2013-01-22,Vegetable,Khirai (Small Cucumber),Kilogram,35.0,50.0,42.5,Quintal,3500.0,3500.0,3500.0
2013-01-23,Vegetable,Khirai (Small Cucumber),Kilogram,28.0,32.0,30.0,Quintal,2520.0,2520.0,2520.0
2013-01-24,Vegetable,Khirai (Small Cucumber),Kilogram,30.0,40.0,35.0,Quintal,3000.0,3000.0,3000.0
2013-01-25,Vegetable,Khirai (Small Cucumber),Kilogram,,,,Quintal,,,
2013-01-26,Vegetable,Khirai (Small Cucumber),Kilogram,,,,Quintal,,,
2013-01-27,Vegetable,Khirai (Small Cucumber),Kilogram,30.0,40.0,35.0,Quintal,3000.0,3000.0,3000.0
2013-01-28,Vegetable,Khirai (Small Cucumber),Kilogram,30.0,40.0,35.0,Quintal,3000.0,3000.0,3000.0
2013-01-29,Vegetable,Khirai (Small Cucumber),Kilogram,30.0,50.0,40.0,Quintal,3000.0,3000.0,3000.0
2013-01-30,Vegetable,Khirai (Small Cucumber),Kilogram,28.0,33.0,30.5,Quintal,2433.0,2433.0,2433.0
2013-01-31,Vegetable,Khirai (Small Cucumber),Kilogram,30.0,45.0,37.5,Quintal,2800.0,2800.0,2800.0
2013-02-01,Vegetable,Khirai (Small Cucumber),Kilogram,,,,Quintal,,,
2013-02-02,Vegetable,Khirai (Small Cucumber),Kilogram,,,,Quintal,,,
2013-02-03,Vegetable,Khirai (Small Cucumber),Kilogram,,,,Quintal,,,
2013-02-04,Vegetable,Khirai (Small Cucumber),Kilogram,35.0,45.0,40.0,Quintal,3400.0,3400.0,3400.0
2013-02-05,Vegetable,Khirai (Small Cucumber),Kilogram,40.0,60.0,50.0,Quintal,3200.0,3200.0,3200.0
2013-02-06,Vegetable,Khirai (Small Cucumber),Kilogram,30.0,36.0,33.0,Quintal,2630.0,2630.0,2630.0
2013-02-07,Vegetable,Khirai (Small Cucumber),Kilogram,35.0,50.0,42.5,Quintal,4000.0,4000.0,4000.0
2013-02-08,Vegetable,Khirai (Small Cucumber),Kilogram,,,,Quintal,,,
2013-02-09,Vegetable,Khirai (Small Cucumber),Kilogram,,,,Quintal,,,
2013-02-10,Vegetable,Khirai (Small Cucumber),Kilogram,30.0,50.0,40.0,Quintal,3000.0,3000.0,3000.0
2013-02-11,Vegetable,Khirai (Small Cucumber),Kilogram,30.0,45.0,37.5,Quintal,2200.0,2200.0,2200.0
2013-02-12,Vegetable,Khirai (Small Cucumber),Kilogram,,,,Quintal,,,
2013-02-13,Vegetable,Khirai (Small Cucumber),Kilogram,29.0,34.0,31.5,Quintal,2563.0,2563.0,2563.0
2013-02-14,Vegetable,Khirai (Small Cucumber),Kilogram,30.0,45.0,37.5,Quintal,2400.0,2400.0,2400.0
2013-02-15,Vegetable,Khirai (Small Cucumber),Kilogram,,,,Quintal,,,
2013-02-16,Vegetable,Khirai (Small Cucumber),Kilogram,,,,Quintal,,,
2013-02-17,Vegetable,Khirai (Small Cucumber),Kilogram,,,,Quintal,,,
2013-02-18,Vegetable,Khirai (Small Cucumber),Kilogram,30.0,45.0,37.5,Quintal,2000.0,2000.0,2000.0
2013-02-19,Vegetable,Khirai (Small Cucumber),Kilogram,30.0,60.0,45.0,Quintal,2000.0,2000.0,2000.0
2013-02-20,Vegetable,Khirai (Small Cucumber),Kilogram,28.0,35.0,31.5,Quintal,2544.0,2544.0,2544.0
2013-02-21,Vegetable,Khirai (Small Cucumber),Kilogram,,,,Quintal,,,
2013-02-22,Vegetable,Khirai (Small Cucumber),Kilogram,,,,Quintal,,,
2013-02-23,Vegetable,Khirai (Small Cucumber),Kilogram,,,,Quintal,,,
2013-02-24,Vegetable,Khirai (Small Cucumber),Kilogram,20.0,40.0,30.0,Quintal,2000.0,2000.0,2000.0
2013-02-25,Vegetable,Khirai (Small Cucumber),Kilogram,,,,Quintal,,,
2013-02-26,Vegetable,Khirai (Small Cucumber),Kilogram,20.0,40.0,30.0,Quintal,2000.0,2000.0,2000.0
2013-02-27,Vegetable,Khirai (Small Cucumber),Kilogram,21.0,28.0,24.5,Quintal,1856.0,1856.0,1856.0
2013-02-28,Vegetable,Khirai (Small Cucumber),Kilogram,14.0,20.0,17.0,Quintal,1200.0,1200.0,1200.0
2013-03-01,Vegetable,Khirai (Small Cucumber),Kilogram,,,,Quintal,,,
2013-03-02,Vegetable,Khirai (Small Cucumber),Kilogram,,,,Quintal,,,
2013-03-03,Vegetable,Khirai (Small Cucumber),Kilogram,16.0,25.0,20.5,Quintal,1200.0,1200.0,1200.0
2013-03-04,Vegetable,Khirai (Small Cucumber),Kilogram,14.0,25.0,19.5,Quintal,1400.0,1400.0,1400.0
2013-03-05,Vegetable,Khirai (Small Cucumber),Kilogram,,,,Quintal,,,
2013-03-06,Vegetable,Khirai (Small Cucumber),Kilogram,18.0,22.0,20.0,Quintal,1703.0,1703.0,1703.0
2013-03-07,Vegetable,Khirai (Small Cucumber),Kilogram,16.0,25.0,20.5,Quintal,1400.0,1400.0,1400.0
2013-03-08,Vegetable,Khirai (Small Cucumber),Kilogram,,,,Quintal,,,
2013-03-09,Vegetable,Khirai (Small Cucumber),Kilogram,,,,Quintal,,,
2013-03-10,Vegetable,Khirai (Small Cucumber),Kilogram,,,,Quintal,,,
2013-03-11,Vegetable,Khirai (Small Cucumber),Kilogram,,,,Quintal,,,
2013-03-12,Vegetable,Khirai (Small Cucumber),Kilogram,16.0,25.0,20.5,Quintal,800.0,800.0,800.0
2013-03-13,Vegetable,Khirai (Small Cucumber),Kilogram,13.0,15.0,14.0,Quintal,1065.0,1065.0,1065.0
