,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Vegetable,Kochur Loti (Aroid succer),Kilogram,30.0,32.0,31.0,Quintal,2600.0,2600.0,2600.0
2013-01-03,Vegetable,Kochur Loti (Aroid succer),Kilogram,,,,Quintal,,,
2013-01-04,Vegetable,Kochur Loti (Aroid succer),Kilogram,,,,Quintal,,,
2013-01-05,Vegetable,Kochur Loti (Aroid succer),Kilogram,,,,Quintal,,,
2013-01-06,Vegetable,Kochur Loti (Aroid succer),Kilogram,,,,Quintal,,,
2013-01-07,Vegetable,Kochur Loti (Aroid succer),Kilogram,,,,Quintal,,,
2013-01-08,Vegetable,Kochur Loti (Aroid succer),Kilogram,,,,Quintal,,,
2013-01-09,Vegetable,Kochur Loti (Aroid succer),Kilogram,30.0,32.0,31.0,Quintal,2600.0,2600.0,2600.0
2013-01-10,Vegetable,Kochur Loti (Aroid succer),Kilogram,,,,Quintal,,,
2013-01-11,Vegetable,Kochur Loti (Aroid succer),Kilogram,,,,Quintal,,,
2013-01-12,Vegetable,Kochur Loti (Aroid succer),Kilogram,,,,Quintal,,,
2013-01-13,Vegetable,Kochur Loti (Aroid succer),Kilogram,,,,Quintal,,,
2013-01-14,Vegetable,Kochur Loti (Aroid succer),Kilogram,,,,Quintal,,,
2013-01-15,Vegetable,Kochur Loti (Aroid succer),Kilogram,,,,Quintal,,,
2013-01-16,Vegetable,Kochur Loti (Aroid succer),Kilogram,,,,Quintal,,,
2013-01-17,Vegetable,Kochur Loti (Aroid succer),Kilogram,,,,Quintal,,,
2013-01-18,Vegetable,Kochur Loti (Aroid succer),Kilogram,,,,Quintal,,,
2013-01-19,Vegetable,Kochur Loti (Aroid succer),Kilogram,,,,Quintal,,,
2013-01-20,Vegetable,Kochur Loti (Aroid succer),Kilogram,,,,Quintal,,,
2013-01-21,Vegetable,Kochur Loti (Aroid succer),Kilogram,,,,Quintal,,,
2013-01-22,Vegetable,Kochur Loti (Aroid succer),Kilogram,,,,Quintal,,,
2013-01-23,Vegetable,Kochur Loti (Aroid succer),Kilogram,,,,Quintal,,,
2013-01-24,Vegetable,Kochur Loti (Aroid succer),Kilogram,,,,Quintal,,,
2013-01-25,Vegetable,Kochur Loti (Aroid succer),Kilogram,,,,Quintal,,,
2013-01-26,Vegetable,Kochur Loti (Aroid succer),Kilogram,,,,Quintal,,,
2013-01-27,Vegetable,Kochur Loti (Aroid succer),Kilogram,,,,Quintal,,,
2013-01-28,Vegetable,Kochur Loti (Aroid succer),Kilogram,,,,Quintal,,,
2013-01-29,Vegetable,Kochur Loti (Aroid succer),Kilogram,,,,Quintal,,,
2013-01-30,Vegetable,Kochur Loti (Aroid succer),Kilogram,,,,Quintal,,,
2013-01-31,Vegetable,Kochur Loti (Aroid succer),Kilogram,,,,Quintal,,,
2013-02-01,Vegetable,Kochur Loti (Aroid succer),Kilogram,,,,Quintal,,,
2013-02-02,Vegetable,Kochur Loti (Aroid succer),Kilogram,,,,Quintal,,,
2013-02-03,Vegetable,Kochur Loti (Aroid succer),Kilogram,,,,Quintal,,,
2013-02-04,Vegetable,Kochur Loti (Aroid succer),Kilogram,,,,Quintal,,,
2013-02-05,Vegetable,Kochur Loti (Aroid succer),Kilogram,,,,Quintal,,,
2013-02-06,Vegetable,Kochur Loti (Aroid succer),Kilogram,,,,Quintal,,,
2013-02-07,Vegetable,Kochur Loti (Aroid succer),Kilogram,,,,Quintal,,,
2013-02-08,Vegetable,Kochur Loti (Aroid succer),Kilogram,,,,Quintal,,,
2013-02-09,Vegetable,Kochur Loti (Aroid succer),Kilogram,,,,Quintal,,,
2013-02-10,Vegetable,Kochur Loti (Aroid succer),Kilogram,,,,Quintal,,,
2013-02-11,Vegetable,Kochur Loti (Aroid succer),Kilogram,,,,Quintal,,,
2013-02-12,Vegetable,Kochur Loti (Aroid succer),Kilogram,,,,Quintal,,,
2013-02-13,Vegetable,Kochur Loti (Aroid succer),Kilogram,,,,Quintal,,,
2013-02-14,Vegetable,Kochur Loti (Aroid succer),Kilogram,,,,Quintal,,,
2013-02-15,Vegetable,Kochur Loti (Aroid succer),Kilogram,,,,Quintal,,,
2013-02-16,Vegetable,Kochur Loti (Aroid succer),Kilogram,,,,Quintal,,,
2013-02-17,Vegetable,Kochur Loti (Aroid succer),Kilogram,,,,Quintal,,,
