,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Vegetable,Motorshooti (peas),Kilogram,80.0,92.0,86.0,Quintal,,,
2013-01-03,Vegetable,Motorshooti (peas),Kilogram,,,,Quintal,,,
2013-01-04,Vegetable,Motorshooti (peas),Kilogram,,,,Quintal,,,
2013-01-05,Vegetable,Motorshooti (peas),Kilogram,,,,Quintal,,,
2013-01-06,Vegetable,Motorshooti (peas),Kilogram,,,,Quintal,,,
2013-01-07,Vegetable,Motorshooti (peas),Kilogram,,,,Quintal,,,
2013-01-08,Vegetable,Motorshooti (peas),Kilogram,,,,Quintal,,,
2013-01-09,Vegetable,Motorshooti (peas),Kilogram,85.0,100.0,92.5,Quintal,6000.0,6000.0,6000.0
2013-01-10,Vegetable,Motorshooti (peas),Kilogram,,,,Quintal,,,
2013-01-11,Vegetable,Motorshooti (peas),Kilogram,,,,Quintal,,,
2013-01-12,Vegetable,Motorshooti (peas),Kilogram,,,,Quintal,,,
2013-01-13,Vegetable,Motorshooti (peas),Kilogram,,,,Quintal,,,
2013-01-14,Vegetable,Motorshooti (peas),Kilogram,,,,Quintal,,,
2013-01-15,Vegetable,Motorshooti (peas),Kilogram,,,,Quintal,,,
2013-01-16,Vegetable,Motorshooti (peas),Kilogram,73.0,84.0,78.5,Quintal,6575.0,6575.0,6575.0
2013-01-17,Vegetable,Motorshooti (peas),Kilogram,,,,Quintal,,,
2013-01-18,Vegetable,Motorshooti (peas),Kilogram,,,,Quintal,,,
2013-01-19,Vegetable,Motorshooti (peas),Kilogram,,,,Quintal,,,
2013-01-20,Vegetable,Motorshooti (peas),Kilogram,60.0,70.0,65.0,Quintal,4800.0,4800.0,4800.0
2013-01-21,Vegetable,Motorshooti (peas),Kilogram,50.0,65.0,57.5,Quintal,4800.0,4800.0,4800.0
2013-01-22,Vegetable,Motorshooti (peas),Kilogram,50.0,65.0,57.5,Quintal,4800.0,4800.0,4800.0
2013-01-23,Vegetable,Motorshooti (peas),Kilogram,54.0,63.0,58.5,Quintal,5220.0,5220.0,5220.0
2013-01-24,Vegetable,Motorshooti (peas),Kilogram,50.0,65.0,57.5,Quintal,4000.0,4000.0,4000.0
2013-01-25,Vegetable,Motorshooti (peas),Kilogram,,,,Quintal,,,
2013-01-26,Vegetable,Motorshooti (peas),Kilogram,,,,Quintal,,,
2013-01-27,Vegetable,Motorshooti (peas),Kilogram,50.0,65.0,57.5,Quintal,4000.0,4000.0,4000.0
2013-01-28,Vegetable,Motorshooti (peas),Kilogram,40.0,60.0,50.0,Quintal,3600.0,3600.0,3600.0
2013-01-29,Vegetable,Motorshooti (peas),Kilogram,40.0,55.0,47.5,Quintal,3600.0,3600.0,3600.0
