,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-05-15,Vegetable,Mukhi Cachue (aroid),Kilogram,,,,Quintal,3200.0,3200.0,3200.0
2013-05-16,Vegetable,Mukhi Cachue (aroid),Kilogram,,,,Quintal,,,
2013-05-17,Vegetable,Mukhi Cachue (aroid),Kilogram,,,,Quintal,,,
2013-05-18,Vegetable,Mukhi Cachue (aroid),Kilogram,,,,Quintal,,,
2013-05-19,Vegetable,Mukhi Cachue (aroid),Kilogram,,,,Quintal,,,
2013-05-20,Vegetable,Mukhi Cachue (aroid),Kilogram,,,,Quintal,,,
2013-05-21,Vegetable,Mukhi Cachue (aroid),Kilogram,,,,Quintal,,,
2013-05-22,Vegetable,Mukhi Cachue (aroid),Kilogram,,,,Quintal,3200.0,3200.0,3200.0
2013-05-23,Vegetable,Mukhi Cachue (aroid),Kilogram,,,,Quintal,,,
2013-05-24,Vegetable,Mukhi Cachue (aroid),Kilogram,,,,Quintal,,,
2013-05-25,Vegetable,Mukhi Cachue (aroid),Kilogram,,,,Quintal,,,
2013-05-26,Vegetable,Mukhi Cachue (aroid),Kilogram,,,,Quintal,,,
2013-05-27,Vegetable,Mukhi Cachue (aroid),Kilogram,,,,Quintal,,,
2013-05-28,Vegetable,Mukhi Cachue (aroid),Kilogram,,,,Quintal,,,
2013-05-29,Vegetable,Mukhi Cachue (aroid),Kilogram,45.0,50.0,47.5,Quintal,4500.0,4500.0,4500.0
2013-05-30,Vegetable,Mukhi Cachue (aroid),Kilogram,,,,Quintal,,,
2013-05-31,Vegetable,Mukhi Cachue (aroid),Kilogram,,,,Quintal,,,
2013-06-01,Vegetable,Mukhi Cachue (aroid),Kilogram,,,,Quintal,,,
2013-06-02,Vegetable,Mukhi Cachue (aroid),Kilogram,,,,Quintal,,,
2013-06-03,Vegetable,Mukhi Cachue (aroid),Kilogram,,,,Quintal,,,
2013-06-04,Vegetable,Mukhi Cachue (aroid),Kilogram,,,,Quintal,,,
2013-06-05,Vegetable,Mukhi Cachue (aroid),Kilogram,39.0,42.0,40.5,Quintal,3575.0,3575.0,3575.0
2013-06-06,Vegetable,Mukhi Cachue (aroid),Kilogram,45.0,46.0,45.5,Quintal,4200.0,4200.0,4200.0
2013-06-07,Vegetable,Mukhi Cachue (aroid),Kilogram,,,,Quintal,,,
2013-06-08,Vegetable,Mukhi Cachue (aroid),Kilogram,,,,Quintal,,,
2013-06-09,Vegetable,Mukhi Cachue (aroid),Kilogram,41.0,45.0,43.0,Quintal,3633.0,3633.0,3633.0
2013-06-10,Vegetable,Mukhi Cachue (aroid),Kilogram,38.0,41.0,39.5,Quintal,3400.0,3400.0,3400.0
2013-06-11,Vegetable,Mukhi Cachue (aroid),Kilogram,39.0,44.0,41.5,Quintal,3350.0,3350.0,3350.0
2013-06-12,Vegetable,Mukhi Cachue (aroid),Kilogram,36.0,40.0,38.0,Quintal,3263.0,3263.0,3263.0
2013-06-13,Vegetable,Mukhi Cachue (aroid),Kilogram,37.0,41.0,39.0,Quintal,3325.0,3325.0,3325.0
