,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Vegetable,Patal (Pointed Gourd),Kilogram,32.0,40.0,36.0,Quintal,1600.0,1600.0,1600.0
2013-01-03,Vegetable,Patal (Pointed Gourd),Kilogram,,,,Quintal,,,
2013-01-04,Vegetable,Patal (Pointed Gourd),Kilogram,,,,Quintal,,,
2013-01-05,Vegetable,Patal (Pointed Gourd),Kilogram,,,,Quintal,,,
2013-01-06,Vegetable,Patal (Pointed Gourd),Kilogram,,,,Quintal,,,
2013-01-07,Vegetable,Patal (Pointed Gourd),Kilogram,,,,Quintal,,,
2013-01-08,Vegetable,Patal (Pointed Gourd),Kilogram,,,,Quintal,,,
2013-01-09,Vegetable,Patal (Pointed Gourd),Kilogram,32.0,40.0,36.0,Quintal,3200.0,3200.0,3200.0
2013-01-10,Vegetable,Patal (Pointed Gourd),Kilogram,,,,Quintal,,,
2013-01-11,Vegetable,Patal (Pointed Gourd),Kilogram,,,,Quintal,,,
2013-01-12,Vegetable,Patal (Pointed Gourd),Kilogram,,,,Quintal,,,
2013-01-13,Vegetable,Patal (Pointed Gourd),Kilogram,,,,Quintal,,,
2013-01-14,Vegetable,Patal (Pointed Gourd),Kilogram,,,,Quintal,,,
2013-01-15,Vegetable,Patal (Pointed Gourd),Kilogram,,,,Quintal,,,
2013-01-16,Vegetable,Patal (Pointed Gourd),Kilogram,32.0,40.0,36.0,Quintal,3400.0,3400.0,3400.0
2013-01-17,Vegetable,Patal (Pointed Gourd),Kilogram,,,,Quintal,,,
2013-01-18,Vegetable,Patal (Pointed Gourd),Kilogram,,,,Quintal,,,
2013-01-19,Vegetable,Patal (Pointed Gourd),Kilogram,,,,Quintal,,,
2013-01-20,Vegetable,Patal (Pointed Gourd),Kilogram,,,,Quintal,,,
2013-01-21,Vegetable,Patal (Pointed Gourd),Kilogram,,,,Quintal,,,
2013-01-22,Vegetable,Patal (Pointed Gourd),Kilogram,,,,Quintal,,,
2013-01-23,Vegetable,Patal (Pointed Gourd),Kilogram,,,,Quintal,,,
2013-01-24,Vegetable,Patal (Pointed Gourd),Kilogram,,,,Quintal,,,
2013-01-25,Vegetable,Patal (Pointed Gourd),Kilogram,,,,Quintal,,,
2013-01-26,Vegetable,Patal (Pointed Gourd),Kilogram,,,,Quintal,,,
2013-01-27,Vegetable,Patal (Pointed Gourd),Kilogram,,,,Quintal,,,
2013-01-28,Vegetable,Patal (Pointed Gourd),Kilogram,,,,Quintal,,,
2013-01-29,Vegetable,Patal (Pointed Gourd),Kilogram,,,,Quintal,,,
2013-01-30,Vegetable,Patal (Pointed Gourd),Kilogram,,,,Quintal,,,
2013-01-31,Vegetable,Patal (Pointed Gourd),Kilogram,,,,Quintal,,,
2013-02-01,Vegetable,Patal (Pointed Gourd),Kilogram,,,,Quintal,,,
2013-02-02,Vegetable,Patal (Pointed Gourd),Kilogram,,,,Quintal,,,
2013-02-03,Vegetable,Patal (Pointed Gourd),Kilogram,,,,Quintal,,,
