,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Vegetable,Potato (Holland) - Red (New),Kilogram,28.0,30.0,29.0,Quintal,2583.0,2583.0,2583.0
2013-01-03,Vegetable,Potato (Holland) - Red (New),Kilogram,,,,Quintal,,,
2013-01-04,Vegetable,Potato (Holland) - Red (New),Kilogram,,,,Quintal,,,
2013-01-05,Vegetable,Potato (Holland) - Red (New),Kilogram,,,,Quintal,,,
2013-01-06,Vegetable,Potato (Holland) - Red (New),Kilogram,,,,Quintal,,,
2013-01-07,Vegetable,Potato (Holland) - Red (New),Kilogram,,,,Quintal,,,
2013-01-08,Vegetable,Potato (Holland) - Red (New),Kilogram,,,,Quintal,,,
2013-01-09,Vegetable,Potato (Holland) - Red (New),Kilogram,29.0,30.0,29.5,Quintal,2678.0,2678.0,2678.0
2013-01-10,Vegetable,Potato (Holland) - Red (New),Kilogram,,,,Quintal,,,
2013-01-11,Vegetable,Potato (Holland) - Red (New),Kilogram,,,,Quintal,,,
2013-01-12,Vegetable,Potato (Holland) - Red (New),Kilogram,,,,Quintal,,,
2013-01-13,Vegetable,Potato (Holland) - Red (New),Kilogram,,,,Quintal,,,
2013-01-14,Vegetable,Potato (Holland) - Red (New),Kilogram,,,,Quintal,,,
2013-01-15,Vegetable,Potato (Holland) - Red (New),Kilogram,,,,Quintal,,,
2013-01-16,Vegetable,Potato (Holland) - Red (New),Kilogram,28.0,30.0,29.0,Quintal,2727.0,2727.0,2727.0
2013-01-17,Vegetable,Potato (Holland) - Red (New),Kilogram,,,,Quintal,,,
2013-01-18,Vegetable,Potato (Holland) - Red (New),Kilogram,,,,Quintal,,,
2013-01-19,Vegetable,Potato (Holland) - Red (New),Kilogram,,,,Quintal,,,
2013-01-20,Vegetable,Potato (Holland) - Red (New),Kilogram,,,,Quintal,,,
2013-01-21,Vegetable,Potato (Holland) - Red (New),Kilogram,,,,Quintal,,,
2013-01-22,Vegetable,Potato (Holland) - Red (New),Kilogram,,,,Quintal,,,
2013-01-23,Vegetable,Potato (Holland) - Red (New),Kilogram,20.0,22.0,21.0,Quintal,1850.0,1850.0,1850.0
2013-01-24,Vegetable,Potato (Holland) - Red (New),Kilogram,,,,Quintal,,,
2013-01-25,Vegetable,Potato (Holland) - Red (New),Kilogram,,,,Quintal,,,
2013-01-26,Vegetable,Potato (Holland) - Red (New),Kilogram,,,,Quintal,,,
2013-01-27,Vegetable,Potato (Holland) - Red (New),Kilogram,,,,Quintal,,,
2013-01-28,Vegetable,Potato (Holland) - Red (New),Kilogram,,,,Quintal,,,
2013-01-29,Vegetable,Potato (Holland) - Red (New),Kilogram,,,,Quintal,,,
2013-01-30,Vegetable,Potato (Holland) - Red (New),Kilogram,18.0,19.0,18.5,Quintal,1636.0,1636.0,1636.0
2013-01-31,Vegetable,Potato (Holland) - Red (New),Kilogram,,,,Quintal,,,
2013-02-01,Vegetable,Potato (Holland) - Red (New),Kilogram,,,,Quintal,,,
2013-02-02,Vegetable,Potato (Holland) - Red (New),Kilogram,,,,Quintal,,,
2013-02-03,Vegetable,Potato (Holland) - Red (New),Kilogram,,,,Quintal,,,
2013-02-04,Vegetable,Potato (Holland) - Red (New),Kilogram,,,,Quintal,,,
2013-02-05,Vegetable,Potato (Holland) - Red (New),Kilogram,,,,Quintal,,,
2013-02-06,Vegetable,Potato (Holland) - Red (New),Kilogram,16.0,18.0,17.0,Quintal,1536.0,1536.0,1536.0
2013-02-07,Vegetable,Potato (Holland) - Red (New),Kilogram,,,,Quintal,,,
2013-02-08,Vegetable,Potato (Holland) - Red (New),Kilogram,,,,Quintal,,,
2013-02-09,Vegetable,Potato (Holland) - Red (New),Kilogram,,,,Quintal,,,
2013-02-10,Vegetable,Potato (Holland) - Red (New),Kilogram,,,,Quintal,,,
2013-02-11,Vegetable,Potato (Holland) - Red (New),Kilogram,,,,Quintal,,,
2013-02-12,Vegetable,Potato (Holland) - Red (New),Kilogram,,,,Quintal,,,
2013-02-13,Vegetable,Potato (Holland) - Red (New),Kilogram,14.0,15.0,14.5,Quintal,1229.0,1229.0,1229.0
2013-02-14,Vegetable,Potato (Holland) - Red (New),Kilogram,,,,Quintal,,,
2013-02-15,Vegetable,Potato (Holland) - Red (New),Kilogram,,,,Quintal,,,
2013-02-16,Vegetable,Potato (Holland) - Red (New),Kilogram,,,,Quintal,,,
2013-02-17,Vegetable,Potato (Holland) - Red (New),Kilogram,,,,Quintal,,,
2013-02-18,Vegetable,Potato (Holland) - Red (New),Kilogram,,,,Quintal,,,
2013-02-19,Vegetable,Potato (Holland) - Red (New),Kilogram,,,,Quintal,,,
2013-02-20,Vegetable,Potato (Holland) - Red (New),Kilogram,13.0,15.0,14.0,Quintal,1180.0,1180.0,1180.0
2013-02-21,Vegetable,Potato (Holland) - Red (New),Kilogram,,,,Quintal,,,
2013-02-22,Vegetable,Potato (Holland) - Red (New),Kilogram,,,,Quintal,,,
2013-02-23,Vegetable,Potato (Holland) - Red (New),Kilogram,,,,Quintal,,,
2013-02-24,Vegetable,Potato (Holland) - Red (New),Kilogram,,,,Quintal,,,
2013-02-25,Vegetable,Potato (Holland) - Red (New),Kilogram,,,,Quintal,,,
2013-02-26,Vegetable,Potato (Holland) - Red (New),Kilogram,,,,Quintal,,,
2013-02-27,Vegetable,Potato (Holland) - Red (New),Kilogram,12.0,13.0,12.5,Quintal,1058.0,1058.0,1058.0
2013-02-28,Vegetable,Potato (Holland) - Red (New),Kilogram,11.0,12.0,11.5,Quintal,950.0,950.0,950.0
2013-03-01,Vegetable,Potato (Holland) - Red (New),Kilogram,,,,Quintal,,,
2013-03-02,Vegetable,Potato (Holland) - Red (New),Kilogram,,,,Quintal,,,
