,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Vegetable,Potato (Holland) - White (New),Kilogram,24.0,30.0,27.0,Quintal,2100.0,2100.0,2100.0
2013-01-02,Vegetable,Potato (Holland) - White (New),Kilogram,23.0,25.0,24.0,Quintal,2197.0,2197.0,2197.0
2013-01-03,Vegetable,Potato (Holland) - White (New),Kilogram,22.0,30.0,26.0,Quintal,1900.0,1900.0,1900.0
2013-01-04,Vegetable,Potato (Holland) - White (New),Kilogram,,,,Quintal,,,
2013-01-05,Vegetable,Potato (Holland) - White (New),Kilogram,,,,Quintal,,,
2013-01-06,Vegetable,Potato (Holland) - White (New),Kilogram,24.0,28.0,26.0,Quintal,2000.0,2000.0,2000.0
2013-01-07,Vegetable,Potato (Holland) - White (New),Kilogram,26.0,30.0,28.0,Quintal,2400.0,2400.0,2400.0
2013-01-08,Vegetable,Potato (Holland) - White (New),Kilogram,26.0,30.0,28.0,Quintal,2550.0,2550.0,2550.0
2013-01-09,Vegetable,Potato (Holland) - White (New),Kilogram,26.0,28.0,27.0,Quintal,2457.0,2457.0,2457.0
2013-01-10,Vegetable,Potato (Holland) - White (New),Kilogram,28.0,33.0,30.5,Quintal,2550.0,2550.0,2550.0
2013-01-11,Vegetable,Potato (Holland) - White (New),Kilogram,,,,Quintal,,,
2013-01-12,Vegetable,Potato (Holland) - White (New),Kilogram,,,,Quintal,,,
2013-01-13,Vegetable,Potato (Holland) - White (New),Kilogram,28.0,33.0,30.5,Quintal,2550.0,2550.0,2550.0
2013-01-14,Vegetable,Potato (Holland) - White (New),Kilogram,28.0,35.0,31.5,Quintal,2550.0,2550.0,2550.0
2013-01-15,Vegetable,Potato (Holland) - White (New),Kilogram,28.0,35.0,31.5,Quintal,2600.0,2600.0,2600.0
2013-01-16,Vegetable,Potato (Holland) - White (New),Kilogram,26.0,28.0,27.0,Quintal,2447.0,2447.0,2447.0
2013-01-17,Vegetable,Potato (Holland) - White (New),Kilogram,28.0,35.0,31.5,Quintal,2550.0,2550.0,2550.0
2013-01-18,Vegetable,Potato (Holland) - White (New),Kilogram,,,,Quintal,,,
2013-01-19,Vegetable,Potato (Holland) - White (New),Kilogram,,,,Quintal,,,
