,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Vegetable,Pumpkin (Sweet Gourd),Kilogram,20.0,25.0,22.5,Quintal,1600.0,1600.0,1600.0
2013-01-02,Vegetable,Pumpkin (Sweet Gourd),Kilogram,23.0,26.0,24.5,Quintal,1946.0,1946.0,1946.0
2013-01-03,Vegetable,Pumpkin (Sweet Gourd),Kilogram,20.0,25.0,22.5,Quintal,1600.0,1600.0,1600.0
2013-01-04,Vegetable,Pumpkin (Sweet Gourd),Kilogram,,,,Quintal,,,
2013-01-05,Vegetable,Pumpkin (Sweet Gourd),Kilogram,,,,Quintal,,,
2013-01-06,Vegetable,Pumpkin (Sweet Gourd),Kilogram,20.0,25.0,22.5,Quintal,1600.0,1600.0,1600.0
2013-01-07,Vegetable,Pumpkin (Sweet Gourd),Kilogram,20.0,25.0,22.5,Quintal,1600.0,1600.0,1600.0
2013-01-08,Vegetable,Pumpkin (Sweet Gourd),Kilogram,20.0,30.0,25.0,Quintal,1800.0,1800.0,1800.0
2013-01-09,Vegetable,Pumpkin (Sweet Gourd),Kilogram,22.0,26.0,24.0,Quintal,1933.0,1933.0,1933.0
2013-01-10,Vegetable,Pumpkin (Sweet Gourd),Kilogram,18.0,30.0,24.0,Quintal,1800.0,1800.0,1800.0
2013-01-11,Vegetable,Pumpkin (Sweet Gourd),Kilogram,,,,Quintal,,,
2013-01-12,Vegetable,Pumpkin (Sweet Gourd),Kilogram,,,,Quintal,,,
2013-01-13,Vegetable,Pumpkin (Sweet Gourd),Kilogram,20.0,30.0,25.0,Quintal,2000.0,2000.0,2000.0
2013-01-14,Vegetable,Pumpkin (Sweet Gourd),Kilogram,20.0,32.0,26.0,Quintal,2000.0,2000.0,2000.0
2013-01-15,Vegetable,Pumpkin (Sweet Gourd),Kilogram,20.0,32.0,26.0,Quintal,2500.0,2500.0,2500.0
2013-01-16,Vegetable,Pumpkin (Sweet Gourd),Kilogram,22.0,26.0,24.0,Quintal,2050.0,2050.0,2050.0
2013-01-17,Vegetable,Pumpkin (Sweet Gourd),Kilogram,24.0,30.0,27.0,Quintal,2000.0,2000.0,2000.0
2013-01-18,Vegetable,Pumpkin (Sweet Gourd),Kilogram,,,,Quintal,,,
2013-01-19,Vegetable,Pumpkin (Sweet Gourd),Kilogram,,,,Quintal,,,
2013-01-20,Vegetable,Pumpkin (Sweet Gourd),Kilogram,20.0,30.0,25.0,Quintal,2000.0,2000.0,2000.0
2013-01-21,Vegetable,Pumpkin (Sweet Gourd),Kilogram,20.0,30.0,25.0,Quintal,2000.0,2000.0,2000.0
2013-01-22,Vegetable,Pumpkin (Sweet Gourd),Kilogram,20.0,30.0,25.0,Quintal,2000.0,2000.0,2000.0
2013-01-23,Vegetable,Pumpkin (Sweet Gourd),Kilogram,22.0,25.0,23.5,Quintal,1909.0,1909.0,1909.0
2013-01-24,Vegetable,Pumpkin (Sweet Gourd),Kilogram,20.0,30.0,25.0,Quintal,2000.0,2000.0,2000.0
2013-01-25,Vegetable,Pumpkin (Sweet Gourd),Kilogram,,,,Quintal,,,
2013-01-26,Vegetable,Pumpkin (Sweet Gourd),Kilogram,,,,Quintal,,,
2013-01-27,Vegetable,Pumpkin (Sweet Gourd),Kilogram,20.0,30.0,25.0,Quintal,2000.0,2000.0,2000.0
2013-01-28,Vegetable,Pumpkin (Sweet Gourd),Kilogram,20.0,30.0,25.0,Quintal,2000.0,2000.0,2000.0
2013-01-29,Vegetable,Pumpkin (Sweet Gourd),Kilogram,20.0,30.0,25.0,Quintal,2000.0,2000.0,2000.0
2013-01-30,Vegetable,Pumpkin (Sweet Gourd),Kilogram,21.0,25.0,23.0,Quintal,1946.0,1946.0,1946.0
2013-01-31,Vegetable,Pumpkin (Sweet Gourd),Kilogram,25.0,30.0,27.5,Quintal,1800.0,1800.0,1800.0
2013-02-01,Vegetable,Pumpkin (Sweet Gourd),Kilogram,,,,Quintal,,,
