,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Vegetable,Radish (China),Kilogram,13.0,15.0,14.0,Quintal,1082.0,1082.0,1082.0
2013-01-03,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-01-04,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-01-05,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-01-06,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-01-07,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-01-08,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-01-09,Vegetable,Radish (China),Kilogram,12.0,15.0,13.5,Quintal,1133.0,1133.0,1133.0
2013-01-10,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-01-11,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-01-12,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-01-13,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-01-14,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-01-15,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-01-16,Vegetable,Radish (China),Kilogram,14.0,16.0,15.0,Quintal,1180.0,1180.0,1180.0
2013-01-17,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-01-18,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-01-19,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-01-20,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-01-21,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-01-22,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-01-23,Vegetable,Radish (China),Kilogram,12.0,14.0,13.0,Quintal,1000.0,1000.0,1000.0
2013-01-24,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-01-25,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-01-26,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-01-27,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-01-28,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-01-29,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-01-30,Vegetable,Radish (China),Kilogram,10.0,12.0,11.0,Quintal,867.0,867.0,867.0
2013-01-31,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-02-01,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-02-02,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-02-03,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-02-04,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-02-05,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-02-06,Vegetable,Radish (China),Kilogram,10.0,12.0,11.0,Quintal,900.0,900.0,900.0
2013-02-07,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-02-08,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-02-09,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-02-10,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-02-11,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-02-12,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-02-13,Vegetable,Radish (China),Kilogram,9.0,11.0,10.0,Quintal,828.0,828.0,828.0
2013-02-14,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-02-15,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-02-16,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-02-17,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-02-18,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-02-19,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-02-20,Vegetable,Radish (China),Kilogram,9.0,11.0,10.0,Quintal,717.0,717.0,717.0
2013-02-21,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-02-22,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-02-23,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-02-24,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-02-25,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-02-26,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-02-27,Vegetable,Radish (China),Kilogram,10.0,12.0,11.0,Quintal,700.0,700.0,700.0
2013-02-28,Vegetable,Radish (China),Kilogram,6.0,8.0,7.0,Quintal,,,
2013-03-01,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-03-02,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-03-03,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-03-04,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-03-05,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-03-06,Vegetable,Radish (China),Kilogram,9.0,11.0,10.0,Quintal,667.0,667.0,667.0
2013-03-07,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-03-08,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-03-09,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-03-10,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-03-11,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-03-12,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-03-13,Vegetable,Radish (China),Kilogram,7.0,9.0,8.0,Quintal,700.0,700.0,700.0
2013-03-14,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-03-15,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-03-16,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-03-17,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-03-18,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-03-19,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-03-20,Vegetable,Radish (China),Kilogram,7.0,9.0,8.0,Quintal,700.0,700.0,700.0
2013-03-21,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-03-22,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-03-23,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-03-24,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-03-25,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-03-26,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-03-27,Vegetable,Radish (China),Kilogram,7.0,9.0,8.0,Quintal,800.0,800.0,800.0
2013-03-28,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-03-29,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-03-30,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-03-31,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-04-01,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-04-02,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-04-03,Vegetable,Radish (China),Kilogram,10.0,12.0,11.0,Quintal,,,
2013-04-04,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-04-05,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-04-06,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-04-07,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-04-08,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-04-09,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-04-10,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-04-11,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-04-12,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-04-13,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-04-14,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
2013-04-15,Vegetable,Radish (China),Kilogram,,,,Quintal,,,
