,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Vegetable,Red Spinach,Kilogram,24.0,30.0,27.0,Quintal,2000.0,2000.0,2000.0
2013-01-02,Vegetable,Red Spinach,Kilogram,19.0,22.0,20.5,Quintal,1714.0,1714.0,1714.0
2013-01-03,Vegetable,Red Spinach,Kilogram,24.0,30.0,27.0,Quintal,2000.0,2000.0,2000.0
2013-01-04,Vegetable,Red Spinach,Kilogram,,,,Quintal,,,
2013-01-05,Vegetable,Red Spinach,Kilogram,,,,Quintal,,,
2013-01-06,Vegetable,Red Spinach,Kilogram,24.0,30.0,27.0,Quintal,2000.0,2000.0,2000.0
2013-01-07,Vegetable,Red Spinach,Kilogram,24.0,30.0,27.0,Quintal,1600.0,1600.0,1600.0
2013-01-08,Vegetable,Red Spinach,Kilogram,24.0,30.0,27.0,Quintal,1800.0,1800.0,1800.0
2013-01-09,Vegetable,Red Spinach,Kilogram,18.0,22.0,20.0,Quintal,1631.0,1631.0,1631.0
2013-01-10,Vegetable,Red Spinach,Kilogram,20.0,30.0,25.0,Quintal,1600.0,1600.0,1600.0
2013-01-11,Vegetable,Red Spinach,Kilogram,,,,Quintal,,,
2013-01-12,Vegetable,Red Spinach,Kilogram,,,,Quintal,,,
2013-01-13,Vegetable,Red Spinach,Kilogram,25.0,30.0,27.5,Quintal,1800.0,1800.0,1800.0
2013-01-14,Vegetable,Red Spinach,Kilogram,24.0,30.0,27.0,Quintal,1800.0,1800.0,1800.0
2013-01-15,Vegetable,Red Spinach,Kilogram,24.0,30.0,27.0,Quintal,1800.0,1800.0,1800.0
2013-01-16,Vegetable,Red Spinach,Kilogram,19.0,22.0,20.5,Quintal,1682.0,1682.0,1682.0
2013-01-17,Vegetable,Red Spinach,Kilogram,24.0,30.0,27.0,Quintal,2000.0,2000.0,2000.0
2013-01-18,Vegetable,Red Spinach,Kilogram,,,,Quintal,,,
2013-01-19,Vegetable,Red Spinach,Kilogram,,,,Quintal,,,
2013-01-20,Vegetable,Red Spinach,Kilogram,20.0,30.0,25.0,Quintal,2000.0,2000.0,2000.0
2013-01-21,Vegetable,Red Spinach,Kilogram,18.0,30.0,24.0,Quintal,1500.0,1500.0,1500.0
2013-01-22,Vegetable,Red Spinach,Kilogram,18.0,30.0,24.0,Quintal,1500.0,1500.0,1500.0
2013-01-23,Vegetable,Red Spinach,Kilogram,18.0,22.0,20.0,Quintal,1619.0,1619.0,1619.0
2013-01-24,Vegetable,Red Spinach,Kilogram,18.0,30.0,24.0,Quintal,1500.0,1500.0,1500.0
2013-01-25,Vegetable,Red Spinach,Kilogram,,,,Quintal,,,
2013-01-26,Vegetable,Red Spinach,Kilogram,,,,Quintal,,,
2013-01-27,Vegetable,Red Spinach,Kilogram,15.0,30.0,22.5,Quintal,1600.0,1600.0,1600.0
2013-01-28,Vegetable,Red Spinach,Kilogram,15.0,30.0,22.5,Quintal,1400.0,1400.0,1400.0
2013-01-29,Vegetable,Red Spinach,Kilogram,15.0,25.0,20.0,Quintal,1400.0,1400.0,1400.0
2013-01-30,Vegetable,Red Spinach,Kilogram,17.0,21.0,19.0,Quintal,1491.0,1491.0,1491.0
