,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Vegetable,Spinach (Palongsak),Kilogram,20.0,25.0,22.5,Quintal,1400.0,1400.0,1400.0
2013-01-02,Vegetable,Spinach (Palongsak),Kilogram,15.0,18.0,16.5,Quintal,1332.0,1332.0,1332.0
2013-01-03,Vegetable,Spinach (Palongsak),Kilogram,20.0,25.0,22.5,Quintal,1400.0,1400.0,1400.0
2013-01-04,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-01-05,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-01-06,Vegetable,Spinach (Palongsak),Kilogram,20.0,25.0,22.5,Quintal,1400.0,1400.0,1400.0
2013-01-07,Vegetable,Spinach (Palongsak),Kilogram,20.0,25.0,22.5,Quintal,1400.0,1400.0,1400.0
2013-01-08,Vegetable,Spinach (Palongsak),Kilogram,20.0,25.0,22.5,Quintal,1600.0,1600.0,1600.0
2013-01-09,Vegetable,Spinach (Palongsak),Kilogram,15.0,18.0,16.5,Quintal,1277.0,1277.0,1277.0
2013-01-10,Vegetable,Spinach (Palongsak),Kilogram,18.0,30.0,24.0,Quintal,1400.0,1400.0,1400.0
2013-01-11,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-01-12,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-01-13,Vegetable,Spinach (Palongsak),Kilogram,20.0,30.0,25.0,Quintal,1600.0,1600.0,1600.0
2013-01-14,Vegetable,Spinach (Palongsak),Kilogram,18.0,30.0,24.0,Quintal,1600.0,1600.0,1600.0
2013-01-15,Vegetable,Spinach (Palongsak),Kilogram,18.0,30.0,24.0,Quintal,1600.0,1600.0,1600.0
2013-01-16,Vegetable,Spinach (Palongsak),Kilogram,15.0,18.0,16.5,Quintal,1293.0,1293.0,1293.0
2013-01-17,Vegetable,Spinach (Palongsak),Kilogram,20.0,30.0,25.0,Quintal,1400.0,1400.0,1400.0
2013-01-18,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-01-19,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-01-20,Vegetable,Spinach (Palongsak),Kilogram,18.0,30.0,24.0,Quintal,1200.0,1200.0,1200.0
2013-01-21,Vegetable,Spinach (Palongsak),Kilogram,16.0,30.0,23.0,Quintal,1200.0,1200.0,1200.0
2013-01-22,Vegetable,Spinach (Palongsak),Kilogram,16.0,30.0,23.0,Quintal,1200.0,1200.0,1200.0
2013-01-23,Vegetable,Spinach (Palongsak),Kilogram,13.0,16.0,14.5,Quintal,1141.0,1141.0,1141.0
2013-01-24,Vegetable,Spinach (Palongsak),Kilogram,16.0,30.0,23.0,Quintal,1200.0,1200.0,1200.0
2013-01-25,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-01-26,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-01-27,Vegetable,Spinach (Palongsak),Kilogram,15.0,30.0,22.5,Quintal,1400.0,1400.0,1400.0
2013-01-28,Vegetable,Spinach (Palongsak),Kilogram,15.0,30.0,22.5,Quintal,1200.0,1200.0,1200.0
2013-01-29,Vegetable,Spinach (Palongsak),Kilogram,15.0,25.0,20.0,Quintal,1200.0,1200.0,1200.0
2013-01-30,Vegetable,Spinach (Palongsak),Kilogram,12.0,14.0,13.0,Quintal,988.0,988.0,988.0
2013-01-31,Vegetable,Spinach (Palongsak),Kilogram,15.0,25.0,20.0,Quintal,1200.0,1200.0,1200.0
2013-02-01,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-02-02,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-02-03,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-02-04,Vegetable,Spinach (Palongsak),Kilogram,15.0,25.0,20.0,Quintal,800.0,800.0,800.0
2013-02-05,Vegetable,Spinach (Palongsak),Kilogram,15.0,28.0,21.5,Quintal,800.0,800.0,800.0
2013-02-06,Vegetable,Spinach (Palongsak),Kilogram,12.0,14.0,13.0,Quintal,971.0,971.0,971.0
2013-02-07,Vegetable,Spinach (Palongsak),Kilogram,15.0,25.0,20.0,Quintal,1200.0,1200.0,1200.0
2013-02-08,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-02-09,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-02-10,Vegetable,Spinach (Palongsak),Kilogram,15.0,25.0,20.0,Quintal,1000.0,1000.0,1000.0
2013-02-11,Vegetable,Spinach (Palongsak),Kilogram,15.0,25.0,20.0,Quintal,1200.0,1200.0,1200.0
2013-02-12,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-02-13,Vegetable,Spinach (Palongsak),Kilogram,10.0,12.0,11.0,Quintal,910.0,910.0,910.0
2013-02-14,Vegetable,Spinach (Palongsak),Kilogram,15.0,25.0,20.0,Quintal,1200.0,1200.0,1200.0
2013-02-15,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-02-16,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-02-17,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-02-18,Vegetable,Spinach (Palongsak),Kilogram,18.0,25.0,21.5,Quintal,1600.0,1600.0,1600.0
2013-02-19,Vegetable,Spinach (Palongsak),Kilogram,20.0,25.0,22.5,Quintal,1600.0,1600.0,1600.0
2013-02-20,Vegetable,Spinach (Palongsak),Kilogram,10.0,12.0,11.0,Quintal,850.0,850.0,850.0
2013-02-21,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-02-22,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-02-23,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-02-24,Vegetable,Spinach (Palongsak),Kilogram,20.0,25.0,22.5,Quintal,1400.0,1400.0,1400.0
2013-02-25,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-02-26,Vegetable,Spinach (Palongsak),Kilogram,20.0,25.0,22.5,Quintal,1400.0,1400.0,1400.0
2013-02-27,Vegetable,Spinach (Palongsak),Kilogram,9.0,11.0,10.0,Quintal,790.0,790.0,790.0
2013-02-28,Vegetable,Spinach (Palongsak),Kilogram,20.0,25.0,22.5,Quintal,1200.0,1200.0,1200.0
2013-03-01,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-03-02,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-03-03,Vegetable,Spinach (Palongsak),Kilogram,20.0,25.0,22.5,Quintal,1400.0,1400.0,1400.0
2013-03-04,Vegetable,Spinach (Palongsak),Kilogram,20.0,25.0,22.5,Quintal,1600.0,1600.0,1600.0
2013-03-05,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-03-06,Vegetable,Spinach (Palongsak),Kilogram,10.0,12.0,11.0,Quintal,864.0,864.0,864.0
2013-03-07,Vegetable,Spinach (Palongsak),Kilogram,20.0,25.0,22.5,Quintal,1200.0,1200.0,1200.0
2013-03-08,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-03-09,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-03-10,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-03-11,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-03-12,Vegetable,Spinach (Palongsak),Kilogram,20.0,25.0,22.5,Quintal,1200.0,1200.0,1200.0
2013-03-13,Vegetable,Spinach (Palongsak),Kilogram,9.0,12.0,10.5,Quintal,818.0,818.0,818.0
2013-03-14,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-03-15,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-03-16,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-03-17,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-03-18,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-03-19,Vegetable,Spinach (Palongsak),Kilogram,16.0,25.0,20.5,Quintal,1200.0,1200.0,1200.0
2013-03-20,Vegetable,Spinach (Palongsak),Kilogram,9.0,12.0,10.5,Quintal,725.0,725.0,725.0
2013-03-21,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-03-22,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-03-23,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-03-24,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-03-25,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-03-26,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-03-27,Vegetable,Spinach (Palongsak),Kilogram,8.0,10.0,9.0,Quintal,750.0,750.0,750.0
2013-03-28,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-03-29,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-03-30,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-03-31,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-04-01,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-04-02,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-04-03,Vegetable,Spinach (Palongsak),Kilogram,12.0,14.0,13.0,Quintal,,,
2013-04-04,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-04-05,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-04-06,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-04-07,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-04-08,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-04-09,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-04-10,Vegetable,Spinach (Palongsak),Kilogram,11.0,13.0,12.0,Quintal,,,
2013-04-11,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-04-12,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-04-13,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-04-14,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-04-15,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-04-16,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-04-17,Vegetable,Spinach (Palongsak),Kilogram,10.0,12.0,11.0,Quintal,,,
2013-04-18,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-04-19,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-04-20,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-04-21,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-04-22,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-04-23,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-04-24,Vegetable,Spinach (Palongsak),Kilogram,10.0,12.0,11.0,Quintal,,,
2013-04-25,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-04-26,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-04-27,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-04-28,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-04-29,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-04-30,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-05-01,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-05-02,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-05-03,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-05-04,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-05-05,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-05-06,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-05-07,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-05-08,Vegetable,Spinach (Palongsak),Kilogram,6.0,8.0,7.0,Quintal,,,
2013-05-09,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-05-10,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-05-11,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-05-12,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-05-13,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-05-14,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-05-15,Vegetable,Spinach (Palongsak),Kilogram,6.0,8.0,7.0,Quintal,,,
2013-05-16,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-05-17,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-05-18,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-05-19,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-05-20,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-05-21,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-05-22,Vegetable,Spinach (Palongsak),Kilogram,6.0,8.0,7.0,Quintal,,,
2013-05-23,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-05-24,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-05-25,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-05-26,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-05-27,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-05-28,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-05-29,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-05-30,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-05-31,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-06-01,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
2013-06-02,Vegetable,Spinach (Palongsak),Kilogram,,,,Quintal,,,
