,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2015-07-05,Vegetable,Tomato (Imported),Kilogram,55.0,60.0,57.5,Quintal,,,
2015-07-06,Vegetable,Tomato (Imported),Kilogram,,,,Quintal,,,
2015-07-07,Vegetable,Tomato (Imported),Kilogram,,,,Quintal,,,
2015-07-08,Vegetable,Tomato (Imported),Kilogram,,,,Quintal,,,
2015-07-09,Vegetable,Tomato (Imported),Kilogram,55.0,60.0,57.5,Quintal,,,
2015-07-10,Vegetable,Tomato (Imported),Kilogram,,,,Quintal,,,
2015-07-11,Vegetable,Tomato (Imported),Kilogram,,,,Quintal,,,
2015-07-12,Vegetable,Tomato (Imported),Kilogram,,,,Quintal,,,
2015-07-13,Vegetable,Tomato (Imported),Kilogram,,,,Quintal,,,
2015-07-14,Vegetable,Tomato (Imported),Kilogram,,,,Quintal,,,
2015-07-15,Vegetable,Tomato (Imported),Kilogram,,,,Quintal,,,
2015-07-16,Vegetable,Tomato (Imported),Kilogram,,,,Quintal,,,
2015-07-17,Vegetable,Tomato (Imported),Kilogram,,,,Quintal,,,
2015-07-18,Vegetable,Tomato (Imported),Kilogram,,,,Quintal,,,
2015-07-19,Vegetable,Tomato (Imported),Kilogram,,,,Quintal,,,
2015-07-20,Vegetable,Tomato (Imported),Kilogram,,,,Quintal,,,
2015-07-21,Vegetable,Tomato (Imported),Kilogram,,,,Quintal,,,
2015-07-22,Vegetable,Tomato (Imported),Kilogram,,,,Quintal,,,
2015-07-23,Vegetable,Tomato (Imported),Kilogram,,,,Quintal,,,
2015-07-24,Vegetable,Tomato (Imported),Kilogram,,,,Quintal,,,
2015-07-25,Vegetable,Tomato (Imported),Kilogram,,,,Quintal,,,
2015-07-26,Vegetable,Tomato (Imported),Kilogram,,,,Quintal,,,
2015-07-27,Vegetable,Tomato (Imported),Kilogram,,,,Quintal,,,
2015-07-28,Vegetable,Tomato (Imported),Kilogram,80.0,90.0,85.0,Quintal,,,
2015-07-29,Vegetable,Tomato (Imported),Kilogram,,,,Quintal,,,
2015-07-30,Vegetable,Tomato (Imported),Kilogram,90.0,90.0,90.0,Quintal,,,
2015-07-31,Vegetable,Tomato (Imported),Kilogram,,,,Quintal,,,
2015-08-01,Vegetable,Tomato (Imported),Kilogram,,,,Quintal,,,
2015-08-02,Vegetable,Tomato (Imported),Kilogram,,,,Quintal,,,
2015-08-03,Vegetable,Tomato (Imported),Kilogram,,,,Quintal,,,
2015-08-04,Vegetable,Tomato (Imported),Kilogram,,,,Quintal,,,
2015-08-05,Vegetable,Tomato (Imported),Kilogram,,,,Quintal,,,
2015-08-06,Vegetable,Tomato (Imported),Kilogram,,,,Quintal,,,
2015-08-07,Vegetable,Tomato (Imported),Kilogram,,,,Quintal,,,
2015-08-08,Vegetable,Tomato (Imported),Kilogram,,,,Quintal,,,
2015-08-09,Vegetable,Tomato (Imported),Kilogram,,,,Quintal,,,
2015-08-10,Vegetable,Tomato (Imported),Kilogram,,,,Quintal,,,
2015-08-11,Vegetable,Tomato (Imported),Kilogram,,,,Quintal,,,
2015-08-12,Vegetable,Tomato (Imported),Kilogram,,,,Quintal,,,
2015-08-13,Vegetable,Tomato (Imported),Kilogram,,,,Quintal,,,
2015-08-14,Vegetable,Tomato (Imported),Kilogram,,,,Quintal,,,
2015-08-15,Vegetable,Tomato (Imported),Kilogram,,,,Quintal,,,
2015-08-16,Vegetable,Tomato (Imported),Kilogram,,,,Quintal,,,
2015-08-17,Vegetable,Tomato (Imported),Kilogram,,,,Quintal,,,
2015-08-18,Vegetable,Tomato (Imported),Kilogram,,,,Quintal,,,
2015-08-19,Vegetable,Tomato (Imported),Kilogram,,,,Quintal,,,
2015-08-20,Vegetable,Tomato (Imported),Kilogram,,,,Quintal,,,
2015-08-21,Vegetable,Tomato (Imported),Kilogram,,,,Quintal,,,
2015-08-22,Vegetable,Tomato (Imported),Kilogram,,,,Quintal,,,
2015-08-23,Vegetable,Tomato (Imported),Kilogram,,,,Quintal,,,
2015-08-24,Vegetable,Tomato (Imported),Kilogram,,,,Quintal,,,
2015-08-25,Vegetable,Tomato (Imported),Kilogram,,,,Quintal,,,
2015-08-26,Vegetable,Tomato (Imported),Kilogram,,,,Quintal,,,
2015-08-27,Vegetable,Tomato (Imported),Kilogram,,,,Quintal,,,
2015-08-28,Vegetable,Tomato (Imported),Kilogram,,,,Quintal,,,
