,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Vegetable,Tomato Green,Kilogram,24.0,27.0,25.5,Quintal,2133.0,2133.0,2133.0
2013-01-03,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-01-04,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-01-05,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-01-06,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-01-07,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-01-08,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-01-09,Vegetable,Tomato Green,Kilogram,25.0,29.0,27.0,Quintal,2210.0,2210.0,2210.0
2013-01-10,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-01-11,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-01-12,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-01-13,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-01-14,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-01-15,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-01-16,Vegetable,Tomato Green,Kilogram,24.0,28.0,26.0,Quintal,2082.0,2082.0,2082.0
2013-01-17,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-01-18,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-01-19,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-01-20,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-01-21,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-01-22,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-01-23,Vegetable,Tomato Green,Kilogram,23.0,26.0,24.5,Quintal,1970.0,1970.0,1970.0
2013-01-24,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-01-25,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-01-26,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-01-27,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-01-28,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-01-29,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-01-30,Vegetable,Tomato Green,Kilogram,17.0,21.0,19.0,Quintal,1630.0,1630.0,1630.0
2013-01-31,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-02-01,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-02-02,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-02-03,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-02-04,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-02-05,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-02-06,Vegetable,Tomato Green,Kilogram,17.0,20.0,18.5,Quintal,1590.0,1590.0,1590.0
2013-02-07,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-02-08,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-02-09,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-02-10,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-02-11,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-02-12,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-02-13,Vegetable,Tomato Green,Kilogram,16.0,18.0,17.0,Quintal,1280.0,1280.0,1280.0
2013-02-14,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-02-15,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-02-16,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-02-17,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-02-18,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-02-19,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-02-20,Vegetable,Tomato Green,Kilogram,12.0,14.0,13.0,Quintal,1088.0,1088.0,1088.0
2013-02-21,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-02-22,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-02-23,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-02-24,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-02-25,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-02-26,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-02-27,Vegetable,Tomato Green,Kilogram,12.0,14.0,13.0,Quintal,1100.0,1100.0,1100.0
2013-02-28,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-03-01,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-03-02,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-03-03,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-03-04,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-03-05,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-03-06,Vegetable,Tomato Green,Kilogram,10.0,12.0,11.0,Quintal,1017.0,1017.0,1017.0
2013-03-07,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
2013-03-08,Vegetable,Tomato Green,Kilogram,,,,Quintal,,,
