,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-01,Vegetable,Tomato,Kilogram,50.0,70.0,60.0,Quintal,5500.0,5500.0,5500.0
2013-01-02,Vegetable,Tomato,Kilogram,45.0,51.0,48.0,Quintal,3964.0,3964.0,3964.0
2013-01-03,Vegetable,Tomato,Kilogram,50.0,70.0,60.0,Quintal,5200.0,5200.0,5200.0
2013-01-04,Vegetable,Tomato,Kilogram,,,,Quintal,,,
2013-01-05,Vegetable,Tomato,Kilogram,,,,Quintal,,,
2013-01-06,Vegetable,Tomato,Kilogram,50.0,70.0,60.0,Quintal,5500.0,5500.0,5500.0
2013-01-07,Vegetable,Tomato,Kilogram,50.0,70.0,60.0,Quintal,5000.0,5000.0,5000.0
2013-01-08,Vegetable,Tomato,Kilogram,50.0,70.0,60.0,Quintal,5500.0,5500.0,5500.0
2013-01-09,Vegetable,Tomato,Kilogram,42.0,49.0,45.5,Quintal,3980.0,3980.0,3980.0
2013-01-10,Vegetable,Tomato,Kilogram,45.0,70.0,57.5,Quintal,5200.0,5200.0,5200.0
2013-01-11,Vegetable,Tomato,Kilogram,,,,Quintal,,,
2013-01-12,Vegetable,Tomato,Kilogram,,,,Quintal,,,
2013-01-13,Vegetable,Tomato,Kilogram,50.0,70.0,60.0,Quintal,5000.0,5000.0,5000.0
2013-01-14,Vegetable,Tomato,Kilogram,40.0,60.0,50.0,Quintal,4800.0,4800.0,4800.0
2013-01-15,Vegetable,Tomato,Kilogram,45.0,60.0,52.5,Quintal,4500.0,4500.0,4500.0
2013-01-16,Vegetable,Tomato,Kilogram,40.0,46.0,43.0,Quintal,3820.0,3820.0,3820.0
2013-01-17,Vegetable,Tomato,Kilogram,40.0,60.0,50.0,Quintal,4500.0,4500.0,4500.0
2013-01-18,Vegetable,Tomato,Kilogram,,,,Quintal,,,
2013-01-19,Vegetable,Tomato,Kilogram,,,,Quintal,,,
2013-01-20,Vegetable,Tomato,Kilogram,40.0,60.0,50.0,Quintal,4000.0,4000.0,4000.0
2013-01-21,Vegetable,Tomato,Kilogram,40.0,60.0,50.0,Quintal,4000.0,4000.0,4000.0
2013-01-22,Vegetable,Tomato,Kilogram,40.0,60.0,50.0,Quintal,4000.0,4000.0,4000.0
2013-01-23,Vegetable,Tomato,Kilogram,34.0,40.0,37.0,Quintal,3207.0,3207.0,3207.0
2013-01-24,Vegetable,Tomato,Kilogram,40.0,60.0,50.0,Quintal,3600.0,3600.0,3600.0
2013-01-25,Vegetable,Tomato,Kilogram,,,,Quintal,,,
2013-01-26,Vegetable,Tomato,Kilogram,,,,Quintal,,,
2013-01-27,Vegetable,Tomato,Kilogram,30.0,55.0,42.5,Quintal,3000.0,3000.0,3000.0
2013-01-28,Vegetable,Tomato,Kilogram,30.0,50.0,40.0,Quintal,2400.0,2400.0,2400.0
2013-01-29,Vegetable,Tomato,Kilogram,30.0,50.0,40.0,Quintal,2200.0,2200.0,2200.0
