,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2013-01-02,Vegetable,Uchehhe (Bitter Gourd),1 KG,57.0,60.0,58.5,Quintal,5200.0,5200.0,5200.0
2013-01-03,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-01-04,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-01-05,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-01-06,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-01-07,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-01-08,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-01-09,Vegetable,Uchehhe (Bitter Gourd),1 KG,61.0,65.0,63.0,Quintal,5633.0,5633.0,5633.0
2013-01-10,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-01-11,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-01-12,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-01-13,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-01-14,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-01-15,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-01-16,Vegetable,Uchehhe (Bitter Gourd),1 KG,73.0,78.0,75.5,Quintal,6800.0,6800.0,6800.0
2013-01-17,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-01-18,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-01-19,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-01-20,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-01-21,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-01-22,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-01-23,Vegetable,Uchehhe (Bitter Gourd),1 KG,70.0,76.0,73.0,Quintal,6600.0,6600.0,6600.0
2013-01-24,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-01-25,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-01-26,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-01-27,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-01-28,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-01-29,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-01-30,Vegetable,Uchehhe (Bitter Gourd),1 KG,62.0,66.0,64.0,Quintal,5400.0,5400.0,5400.0
2013-01-31,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-02-01,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-02-02,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-02-03,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-02-04,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-02-05,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-02-06,Vegetable,Uchehhe (Bitter Gourd),1 KG,64.0,68.0,66.0,Quintal,5700.0,5700.0,5700.0
2013-02-07,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-02-08,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-02-09,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-02-10,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-02-11,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-02-12,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-02-13,Vegetable,Uchehhe (Bitter Gourd),1 KG,65.0,68.0,66.5,Quintal,5850.0,5850.0,5850.0
2013-02-14,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-02-15,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-02-16,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-02-17,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-02-18,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-02-19,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-02-20,Vegetable,Uchehhe (Bitter Gourd),1 KG,56.0,60.0,58.0,Quintal,5400.0,5400.0,5400.0
2013-02-21,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-02-22,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-02-23,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-02-24,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-02-25,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-02-26,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-02-27,Vegetable,Uchehhe (Bitter Gourd),1 KG,56.0,60.0,58.0,Quintal,5400.0,5400.0,5400.0
2013-02-28,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-03-01,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-03-02,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-03-03,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-03-04,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-03-05,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-03-06,Vegetable,Uchehhe (Bitter Gourd),1 KG,86.0,100.0,93.0,Quintal,9000.0,9000.0,9000.0
2013-03-07,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-03-08,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-03-09,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-03-10,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-03-11,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-03-12,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-03-13,Vegetable,Uchehhe (Bitter Gourd),1 KG,68.0,73.0,70.5,Quintal,5600.0,5600.0,5600.0
2013-03-14,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-03-15,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-03-16,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-03-17,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-03-18,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-03-19,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-03-20,Vegetable,Uchehhe (Bitter Gourd),1 KG,43.0,47.0,45.0,Quintal,3767.0,3767.0,3767.0
2013-03-21,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-03-22,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-03-23,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-03-24,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-03-25,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-03-26,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-03-27,Vegetable,Uchehhe (Bitter Gourd),1 KG,34.0,38.0,36.0,Quintal,2775.0,2775.0,2775.0
2013-03-28,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-03-29,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-03-30,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-03-31,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-04-01,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-04-02,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-04-03,Vegetable,Uchehhe (Bitter Gourd),1 KG,31.0,35.0,33.0,Quintal,2550.0,2550.0,2550.0
2013-04-04,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
2013-04-05,Vegetable,Uchehhe (Bitter Gourd),1 KG,,,,Quintal,,,
