,product_group,product_name_desc,unit_retail,min_retail_price,max_retail_price,avg_retail_price,unit_wholesale,min_wholesale_price,max_wholesale_price,avg_wholesale_price
2024-04-21,Vegetable,water pumpkin,Kilogram,30.0,35.0,32.5,Quintal,2800.0,2800.0,2800.0
2024-04-22,Vegetable,water pumpkin,Kilogram,30.0,35.0,32.5,Quintal,2800.0,2800.0,2800.0
2024-04-23,Vegetable,water pumpkin,Kilogram,30.0,35.0,32.5,Quintal,2800.0,2800.0,2800.0
2024-04-24,Vegetable,water pumpkin,Kilogram,30.0,35.0,32.5,Quintal,2800.0,2800.0,2800.0
2024-04-25,Vegetable,water pumpkin,Kilogram,30.0,35.0,32.5,Quintal,2800.0,2800.0,2800.0
2024-04-26,Vegetable,water pumpkin,Kilogram,,,,Quintal,,,
2024-04-27,Vegetable,water pumpkin,Kilogram,,,,Quintal,,,
2024-04-28,Vegetable,water pumpkin,Kilogram,30.0,35.0,32.5,Quintal,2800.0,2800.0,2800.0
2024-04-29,Vegetable,water pumpkin,Kilogram,30.0,35.0,32.5,Quintal,2800.0,2800.0,2800.0
2024-04-30,Vegetable,water pumpkin,Kilogram,30.0,35.0,32.5,Quintal,2800.0,2800.0,2800.0
2024-05-01,Vegetable,water pumpkin,Kilogram,,,,Quintal,,,
2024-05-02,Vegetable,water pumpkin,Kilogram,30.0,35.0,32.5,Quintal,2800.0,2800.0,2800.0
2024-05-03,Vegetable,water pumpkin,Kilogram,,,,Quintal,,,
2024-05-04,Vegetable,water pumpkin,Kilogram,,,,Quintal,,,
2024-05-05,Vegetable,water pumpkin,Kilogram,30.0,35.0,32.5,Quintal,2800.0,2800.0,2800.0
2024-05-06,Vegetable,water pumpkin,Kilogram,30.0,35.0,32.5,Quintal,2800.0,2800.0,2800.0
2024-05-07,Vegetable,water pumpkin,Kilogram,30.0,35.0,32.5,Quintal,2800.0,2800.0,2800.0
2024-05-08,Vegetable,water pumpkin,Kilogram,30.0,35.0,32.5,Quintal,2800.0,2800.0,2800.0
2024-05-09,Vegetable,water pumpkin,Kilogram,30.0,35.0,32.5,Quintal,2800.0,2800.0,2800.0
2024-05-10,Vegetable,water pumpkin,Kilogram,,,,Quintal,,,
2024-05-11,Vegetable,water pumpkin,Kilogram,,,,Quintal,,,
2024-05-12,Vegetable,water pumpkin,Kilogram,,,,Quintal,,,
2024-05-13,Vegetable,water pumpkin,Kilogram,30.0,35.0,32.5,Quintal,2800.0,2800.0,2800.0
2024-05-14,Vegetable,water pumpkin,Kilogram,30.0,35.0,32.5,Quintal,2800.0,2800.0,2800.0
2024-05-15,Vegetable,water pumpkin,Kilogram,30.0,35.0,32.5,Quintal,2800.0,2800.0,2800.0
2024-05-16,Vegetable,water pumpkin,Kilogram,30.0,35.0,32.5,Quintal,2800.0,2800.0,2800.0
2024-05-17,Vegetable,water pumpkin,Kilogram,,,,Quintal,,,
2024-05-18,Vegetable,water pumpkin,Kilogram,,,,Quintal,,,
2024-05-19,Vegetable,water pumpkin,Kilogram,30.0,35.0,32.5,Quintal,2800.0,2800.0,2800.0
