Serial Number,Product Group,Product Name and Description,Unit Retail,Retail Price (Tk) Lowest Price - Highest Price,Unit Wholesale,Wholesale Price (Tk) Lowest Price - Highest Price,Price Date
1,Foodgrains,Boro-HYV-Fine,Kilogram,45--48,Quintal,4500--4500, 17/03/2014
2,Foodgrains,Boro-HYV-Medium,Kilogram,39--40,Quintal,4000--4000, 17/03/2014
3,Foodgrains,Aman-HYV-Coarse,Kilogram,33--34,Quintal,3100--3100, 17/03/2014
4,Foodgrains,Aman-HYV-Medium,Kilogram,36--38,Quintal,3500--3500, 17/03/2014
5,Foodgrains,Ata (loose) - white,Kilogram,28--30,Quintal,2800--2800, 17/03/2014
6,Foodgrains,Ata (packet),Kilogram,36--38,Quintal,3600--3600, 17/03/2014
7,Foodgrains,Flour (loose),Kilogram,40--42,Quintal,3900--3900, 17/03/2014
8,Foodgrains,Flour (packet),Kilogram,46--48,Quintal,4400--4400, 17/03/2014
9,Dal,Masur (whole) local,Kilogram,90--100,Quintal,9000--9000, 17/03/2014
10,Dal,Masur (broken) local,Kilogram,70--75,Quintal,7500--7500, 17/03/2014
11,Dal,Masur (Imported) ordinary,Kilogram,72--75,Quintal,7000--7000, 17/03/2014
12,Dal,Mung (local),Kilogram,112--135,Quintal,12000--12000, 17/03/2014
13,Dal,Gram (broken),Kilogram,50--52,Quintal,4700--4700, 17/03/2014
14,Dal,Motar (Peas)-Imported,Kilogram,,Quintal,4100--4100, 17/03/2014
15,Oil,Mustard Oil (Local) - Superior quality,Liter,130--140,100 Liters,12000--12000, 17/03/2014
16,Oil,Soybean Oil(loose),Liter,95--96,100 Liters,9200--9200, 17/03/2014
17,Oil,Palm Oil,Liter,70--72,100 Liters,7600--7600, 17/03/2014
18,Oil,Coconut Oil (local),Liter,240--250,100 Liters,23000--23000, 17/03/2014
19,Spices,Turmeric (Local) - Long (Superior),Kilogram,80--90,Quintal,9000--9000, 17/03/2014
20,Spices,Dried Chili (Bogra/Rangpur) - Ordinary,Kilogram,150--160,Quintal,15000--15000, 17/03/2014
21,Spices,Dried Chili (Imported) - Ordinary,Kilogram,200--240,Quintal,15200--15200, 17/03/2014
22,Spices,Onion (local),Kilogram,25--28,Quintal,2500--2500, 17/03/2014
23,Spices,Garlic (local) - Big Size,Kilogram,40--50,Quintal,3600--3600, 17/03/2014
24,Spices,Garlic (Imported),Kilogram,75--80,Quintal,6700--6700, 17/03/2014
25,Spices,Green Chili (Local),Kilogram,40--60,Quintal,4000--4000, 17/03/2014
26,Spices,Ginger (local) - New,Kilogram,160--180,Quintal,15600--15600, 17/03/2014
27,Poultry,Farm-raised Hen,Kilogram,110--115,Quintal,10000--10000, 17/03/2014
28,Meat,Beef,Kilogram,240--250,Quintal,, 17/03/2014
29,Meat,Mutton (male),Kilogram,440--450,Quintal,, 17/03/2014
30,Egg,Egg Farm-Red,4 Pieces,28--30,100 pieces,650--650, 17/03/2014
31,Fish,Ruhi (Local) - medium (2.50-4.50 kg),Kilogram,320--480,Quintal,40000--40000, 17/03/2014
32,Fish,Ruhi (Local) - small (1.50-2.00 kg),Kilogram,220--260,Quintal,24000--24000, 17/03/2014
33,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,220--320,Quintal,30000--30000, 17/03/2014
34,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,200--220,Quintal,20000--20000, 17/03/2014
35,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,250--360,Quintal,32000--32000, 17/03/2014
36,Fish,Katla-Small (1.50-2.00 kg),Kilogram,200--240,Quintal,22000--22000, 17/03/2014
37,Fish,Mregal-big,Kilogram,140--150,Quintal,14000--14000, 17/03/2014
38,Fish,Mregal-small,Kilogram,110--115,Quintal,10600--10600, 17/03/2014
39,Fish,Pangash (small),Kilogram,115--130,Quintal,12000--12000, 17/03/2014
40,Fish,Hilsha,Kilogram,,Quintal,55000--55000, 17/03/2014
41,Fish,Kai,Kilogram,180--200,Quintal,, 17/03/2014
42,Fish,Silver Carp,Kilogram,115--120,Quintal,11000--11000, 17/03/2014
43,Fish,Telapia/Nilotica,Kilogram,120--130,Quintal,, 17/03/2014
44,Fruit,Orange,4 Pieces,40--50,100 pieces,900--900, 17/03/2014
45,Fruit,Apple,Kilogram,130--140,Quintal,12200--12200, 17/03/2014
46,Fruit,Coconut,1 piece,30--35,100 pieces,2600--2600, 17/03/2014
47,Fruit,Banana-Sabri (ordinary),4 Pieces,8--10,80 Pieces,160--160, 17/03/2014
48,Fruit,Banana-Sagar (high quality),4 Pieces,16--20,80 Pieces,180--180, 17/03/2014
49,Vegetable,Potato (Holland) - White (New),Kilogram,12--14,Quintal,1050--1050, 17/03/2014
50,Vegetable,Brinjal - Superior Quality,Kilogram,25--30,Quintal,2500--2500, 17/03/2014
51,Vegetable,Brinjal - Ordinary Quality,Kilogram,18--20,Quintal,1600--1600, 17/03/2014
