Serial Number,Product Group,Product Name and Description,Unit Retail,Retail Price (Tk) Lowest Price - Highest Price,Unit Wholesale,Wholesale Price (Tk) Lowest Price - Highest Price,Price Date
1,Foodgrains,Aman-Aromatic (polao),Kilogram,,Quintal,6300--6300, 20/03/2023
2,Foodgrains,Aman-Local-Fine,Kilogram,,Quintal,3583--3583, 20/03/2023
3,Foodgrains,Aman-Local-Medium,Kilogram,31--32,Quintal,3213--3213, 20/03/2023
4,Foodgrains,Aman-Local-Coarse,Kilogram,30--31,Quintal,2937--2937, 20/03/2023
5,Foodgrains,Aman-Pajam,Kilogram,,Quintal,3550--3550, 20/03/2023
6,Foodgrains,Aus-HYV-Medium,Kilogram,20--22,Quintal,2000--2000, 20/03/2023
7,Foodgrains,Boro-Fine,Kilogram,37--38,Quintal,3871--3871, 20/03/2023
8,Foodgrains,Aman-HYV-Medium,Kilogram,34--35,Quintal,3240--3240, 20/03/2023
9,Foodgrains,Aman-HYV-Fine,Kilogram,37--38,Quintal,3450--3450, 20/03/2023
10,Foodgrains,Boro-Medium,Kilogram,34--35,Quintal,3414--3414, 20/03/2023
11,Foodgrains,Boro Coarse,Kilogram,24--25,Quintal,2773--2773, 20/03/2023
12,Foodgrains,Aman-HYV-Coarse,Kilogram,28--29,Quintal,2947--2947, 20/03/2023
13,Foodgrains,Boro-Local,Kilogram,,Quintal,2800--2800, 20/03/2023
14,Foodgrains,Aman-Super-Fine,Kilogram,80--84,Quintal,8200--8200, 20/03/2023
15,Foodgrains,Aman-Fine,Kilogram,70--75,Quintal,7133--7133, 20/03/2023
16,Foodgrains,Aman-Medium,Kilogram,53--57,Quintal,5308--5308, 20/03/2023
17,Foodgrains,Aman-Coarse,Kilogram,46--48,Quintal,4509--4509, 20/03/2023
18,Foodgrains,Aman-Pajam,Kilogram,57--62,Quintal,5825--5825, 20/03/2023
19,Foodgrains,Boro-HYV-Fine,Kilogram,69--74,Quintal,7009--7009, 20/03/2023
20,Foodgrains,Atap,Kilogram,45--46,Quintal,4300--4300, 20/03/2023
21,Foodgrains,Boro-HYV-Medium,Kilogram,57--61,Quintal,5729--5729, 20/03/2023
22,Foodgrains,Aman-HYV-Coarse,Kilogram,45--47,Quintal,4455--4455, 20/03/2023
23,Foodgrains,Aman-HYV-Fine,Kilogram,76--79,Quintal,7400--7400, 20/03/2023
24,Foodgrains,Boro-HYV-Coarse,Kilogram,47--49,Quintal,4617--4617, 20/03/2023
25,Foodgrains,Aman-HYV-Medium,Kilogram,55--58,Quintal,5465--5465, 20/03/2023
26,Foodgrains,Boro-Local,Kilogram,48--49,Quintal,4550--4550, 20/03/2023
27,Foodgrains,Local-Red,Kilogram,47--48,Quintal,4600--4600, 20/03/2023
28,Foodgrains,Local-White,Kilogram,55--56,Quintal,5325--5325, 20/03/2023
29,Foodgrains,Imported-Red,Kilogram,56--58,Quintal,5467--5467, 20/03/2023
30,Foodgrains,Imported-White,Kilogram,55--56,Quintal,5383--5383, 20/03/2023
31,Foodgrains,Ata (loose) - white,Kilogram,57--59,Quintal,5536--5536, 20/03/2023
32,Foodgrains,Ata (packet),Kilogram,66--68,Quintal,6404--6404, 20/03/2023
33,Foodgrains,Ata (loose) - red,Kilogram,59--61,Quintal,5800--5800, 20/03/2023
34,Foodgrains,Flour (loose),Kilogram,64--67,Quintal,6212--6212, 20/03/2023
35,Foodgrains,Flour-Suji,Kilogram,65--70,Quintal,6200--6200, 20/03/2023
36,Foodgrains,Flour (packet),Kilogram,75--78,Quintal,7297--7297, 20/03/2023
