Serial Number,Product Group,Product Name and Description,Unit Retail,Retail Price (Tk) Lowest Price - Highest Price,Unit Wholesale,Wholesale Price (Tk) Lowest Price - Highest Price,Price Date
1,Foodgrains,Aman-Local-Medium,Kilogram,,Quintal,2200--2200, 22/12/2013
2,Foodgrains,Aman-Local-Coarse,Kilogram,,Quintal,2000--2000, 22/12/2013
3,Foodgrains,Aman-Pajam,Kilogram,,Quintal,2350--2350, 22/12/2013
4,Foodgrains,Aman-HYV-Medium,Kilogram,,Quintal,2200--2200, 22/12/2013
5,Foodgrains,Aman-HYV-Fine,Kilogram,,Quintal,2100--2100, 22/12/2013
6,Foodgrains,Boro-Medium,Kilogram,,Quintal,2438--2438, 22/12/2013
7,Foodgrains,Aman-HYV-Coarse,Kilogram,,Quintal,1983--1983, 22/12/2013
8,Foodgrains,Aman-Fine,Kilogram,47--50,Quintal,4750--4750, 22/12/2013
9,Foodgrains,Aman-Medium,Kilogram,42--43,Quintal,4100--4100, 22/12/2013
10,Foodgrains,Aman-Coarse,Kilogram,33--34,Quintal,3160--3160, 22/12/2013
11,Foodgrains,Aman-Pajam,Kilogram,42--43,Quintal,4100--4100, 22/12/2013
12,Foodgrains,Boro-HYV-Fine,Kilogram,45--47,Quintal,4332--4332, 22/12/2013
13,Foodgrains,Boro-Pajam,Kilogram,48--48,Quintal,4600--4600, 22/12/2013
14,Foodgrains,Atap,Kilogram,32--34,Quintal,3073--3073, 22/12/2013
15,Foodgrains,Boro-HYV-Medium,Kilogram,38--40,Quintal,3759--3759, 22/12/2013
16,Foodgrains,Aman-HYV-Coarse,Kilogram,31--33,Quintal,3207--3207, 22/12/2013
17,Foodgrains,Aman-HYV-Fine,Kilogram,46--48,Quintal,4866--4866, 22/12/2013
18,Foodgrains,Boro-HYV-Coarse,Kilogram,33--34,Quintal,3155--3155, 22/12/2013
19,Foodgrains,Aman-HYV-Medium,Kilogram,36--37,Quintal,3563--3563, 22/12/2013
20,Foodgrains,Boro-Local,Kilogram,31--32,Quintal,3133--3133, 22/12/2013
21,Foodgrains,Local-White,Kilogram,26--27,Quintal,2400--2400, 22/12/2013
22,Foodgrains,Imported-Red,Kilogram,27--28,Quintal,2600--2600, 22/12/2013
23,Foodgrains,Imported-White,Kilogram,32--34,Quintal,2800--2800, 22/12/2013
24,Foodgrains,Ata (loose) - white,Kilogram,31--32,Quintal,2923--2923, 22/12/2013
25,Foodgrains,Ata (packet),Kilogram,35--37,Quintal,3439--3439, 22/12/2013
26,Foodgrains,Ata (loose) - red,Kilogram,28--29,Quintal,2500--2500, 22/12/2013
27,Foodgrains,Flour (loose),Kilogram,38--40,Quintal,3705--3705, 22/12/2013
28,Foodgrains,Flour-Suji,Kilogram,51--54,Quintal,4900--4900, 22/12/2013
29,Foodgrains,Flour (packet),Kilogram,43--45,Quintal,4115--4115, 22/12/2013
30,Foodgrains,Maize,Kilogram,28--31,Quintal,3200--3200, 22/12/2013
31,Foodgrains,Chinigura,Kilogram,100--105,Quintal,9273--9273, 22/12/2013
32,Foodgrains,Kalojira,Kilogram,83--88,Quintal,8042--8042, 22/12/2013
33,Foodgrains,Kataribhog,Kilogram,65--67,Quintal,6200--6200, 22/12/2013
34,Foodgrains,Muri,Kilogram,55--65,Quintal,5938--5938, 22/12/2013
35,Foodgrains,Chira,Kilogram,37--40,Quintal,3567--3567, 22/12/2013
36,Dal,Mash (whole),Kilogram,91--97,Quintal,6654--6654, 22/12/2013
37,Dal,Mash (broken),Kilogram,70--75,Quintal,5610--5610, 22/12/2013
38,Dal,Masur (whole) local,Kilogram,103--107,Quintal,10253--10253, 22/12/2013
39,Dal,Masur (broken) local,Kilogram,88--91,Quintal,8310--8310, 22/12/2013
40,Dal,Masur (Imported) Superior quality,Kilogram,106--111,Quintal,10381--10381, 22/12/2013
41,Dal,Masur (Imported) ordinary,Kilogram,79--84,Quintal,7597--7597, 22/12/2013
42,Dal,Mung (local),Kilogram,117--125,Quintal,11892--11892, 22/12/2013
43,Dal,Mung (imported),Kilogram,104--110,Quintal,10425--10425, 22/12/2013
44,Dal,Gram (whole),Kilogram,63--65,Quintal,5850--5850, 22/12/2013
45,Dal,Gram (broken),Kilogram,53--55,Quintal,5080--5080, 22/12/2013
46,Dal,Motar (Peas)-Imported,Kilogram,40--42,Quintal,3750--3750, 22/12/2013
47,Dal,Motar (Peas)-local,Kilogram,62--64,Quintal,6075--6075, 22/12/2013
48,Oil Seed,Mustard,Kilogram,,Quintal,4563--4563, 22/12/2013
49,Oil Seed,Til(Sesame),Kilogram,,Quintal,3800--3800, 22/12/2013
50,Oil,Mustard Oil (Local) - Superior quality,Liter,131--140,100 Liters,12983--12983, 22/12/2013
51,Oil,Mustard Oil (Local) - Ordinary,Liter,123--128,100 Liters,11135--11135, 22/12/2013
52,Oil,Soybean Oil(loose),Liter,105--107,100 Liters,10028--10028, 22/12/2013
53,Oil,Palm Oil,Liter,80--83,100 Liters,7683--7683, 22/12/2013
54,Oil,Vegetable Ghee,Liter,110--115,100 Liters,8750--8750, 22/12/2013
55,Oil,Coconut Oil (local),Liter,216--231,100 Liters,22250--22250, 22/12/2013
56,Oil,Coconut Oil (Imported) - Ordinary,Liter,200--210,100 Liters,, 22/12/2013
57,Oil Cake,Oil Cake - Mustard,Kilogram,,Quintal,2750--2750, 22/12/2013
58,Spices,Black Pepper(Golmorich),10 gm,9--9,Kilogram,800--800, 22/12/2013
59,Spices,Clove(Lobonga),10 gm,14--14,Kilogram,1500--1500, 22/12/2013
60,Spices,Cinnamon(Daruchini),10 gm,3--3,Kilogram,225--225, 22/12/2013
61,Spices,Cumin (Seed),10 gm,4--4,Kilogram,375--375, 22/12/2013
62,Spices,Black Cumin (Seed)(Kalozira),10 gm,2--2,Kilogram,100--100, 22/12/2013
63,Spices,Dried Chili (Bogra/Rangpur) - Superior,Kilogram,174--186,Quintal,16233--16233, 22/12/2013
64,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Superior,Kilogram,175--190,Quintal,16000--16000, 22/12/2013
65,Spices,Dried Chili (Chittagong) - Superior,Kilogram,200--220,Quintal,, 22/12/2013
66,Spices,Dried Chili (Battakandi) - Superior,Kilogram,,Quintal,17250--17250, 22/12/2013
67,Spices,Dried Chili (Local) - Superior,Kilogram,180--190,Quintal,17500--17500, 22/12/2013
68,Spices,Turmeric (Local) - Round (Superior),Kilogram,110--120,Quintal,7500--7500, 22/12/2013
69,Spices,Turmeric (Local) - Long (Superior),Kilogram,97--107,Quintal,8838--8838, 22/12/2013
70,Spices,Turmeric (Imported),Kilogram,130--140,Quintal,13000--13000, 22/12/2013
71,Spices,Turmeric (Local) - Round (Ordinary),Kilogram,80--90,Quintal,6000--6000, 22/12/2013
72,Spices,Turmeric (Local) - Long (Ordinary),Kilogram,89--98,Quintal,8113--8113, 22/12/2013
73,Spices,Dried Chili (Bogra/Rangpur) - Ordinary,Kilogram,149--158,Quintal,15383--15383, 22/12/2013
74,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,163--177,Quintal,17500--17500, 22/12/2013
75,Spices,Dried Chili (Chittagong) - Ordinary,Kilogram,150--180,Quintal,14500--14500, 22/12/2013
76,Spices,Dried Chili (Battakandi) - Ordinary,Kilogram,173--178,Quintal,, 22/12/2013
77,Spices,Dried Chili (Imported) - Ordinary,Kilogram,178--192,Quintal,16617--16617, 22/12/2013
78,Spices,Dried Chili (Local) - Ordinary,Kilogram,186--418,Quintal,17286--17286, 22/12/2013
79,Spices,Coriander Seed (Old),Kilogram,,Quintal,5800--5800, 22/12/2013
80,Spices,Coriander Seed (New),Kilogram,70--80,Quintal,, 22/12/2013
81,Spices,Onion (local),Kilogram,69--76,Quintal,6689--6689, 22/12/2013
82,Spices,Onion-imported,Kilogram,55--60,Quintal,5239--5239, 22/12/2013
83,Spices,Garlic (local) - Big Size,Kilogram,81--89,Quintal,7752--7752, 22/12/2013
84,Spices,Garlic (Imported),Kilogram,78--84,Quintal,7415--7415, 22/12/2013
