Serial Number,Product Group,Product Name and Description,Unit Retail,Retail Price (Tk) Lowest Price - Highest Price,Unit Wholesale,Wholesale Price (Tk) Lowest Price - Highest Price,Price Date
1,Foodgrains,Aman-HYV-Coarse,Kilogram,30--32,Quintal,, 23/04/2013
2,Foodgrains,Aman-HYV-Fine,Kilogram,40--48,Quintal,, 23/04/2013
3,Foodgrains,Aman-HYV-Medium,Kilogram,34--38,Quintal,, 23/04/2013
4,Foodgrains,Imported-Red,Kilogram,30--31,Quintal,, 23/04/2013
5,Foodgrains,Imported-White,Kilogram,33--34,Quintal,, 23/04/2013
6,Foodgrains,Ata (loose) - white,Kilogram,30--34,Quintal,, 23/04/2013
7,Foodgrains,Ata (packet),Kilogram,36--40,Quintal,, 23/04/2013
8,Foodgrains,Flour (loose),Kilogram,38--42,Quintal,, 23/04/2013
9,Foodgrains,Flour (packet),Kilogram,48--50,Quintal,, 23/04/2013
10,Foodgrains,Maize,Kilogram,30--40,Quintal,, 23/04/2013
11,Foodgrains,Chinigura,Kilogram,110--120,Quintal,, 23/04/2013
12,Foodgrains,Kalojira,Kilogram,85--95,Quintal,, 23/04/2013
13,Dal,Mash (whole),Kilogram,90--95,Quintal,, 23/04/2013
14,Dal,Masur (whole) local,Kilogram,75--80,Quintal,, 23/04/2013
15,Dal,Masur (Imported) Superior quality,Kilogram,116--120,Quintal,, 23/04/2013
16,Dal,Masur (Imported) ordinary,Kilogram,105--116,Quintal,, 23/04/2013
17,Dal,Mung (local),Kilogram,105--130,Quintal,, 23/04/2013
18,Dal,Gram (whole),Kilogram,75--85,Quintal,, 23/04/2013
19,Oil,Mustard Oil (Local) - Ordinary,Liter,150--160,100 Liters,, 23/04/2013
20,Oil,Soybean Oil(loose),Liter,110--113,100 Liters,, 23/04/2013
21,Oil,Palm Oil,Liter,74--80,100 Liters,, 23/04/2013
22,Spices,Turmeric (Imported),Kilogram,110--160,Quintal,10000--10000, 23/04/2013
23,Spices,Turmeric (Local) - Long (Ordinary),Kilogram,95--150,Quintal,8500--8500, 23/04/2013
24,Spices,Dried Chili (Imported) - Ordinary,Kilogram,150--170,Quintal,16500--16500, 23/04/2013
25,Spices,Dried Chili (Local) - Ordinary,Kilogram,150--170,Quintal,14000--14000, 23/04/2013
26,Spices,Onion (local),Kilogram,28--32,Quintal,2600--2600, 23/04/2013
27,Spices,Onion-imported,Kilogram,25--28,Quintal,2500--2500, 23/04/2013
28,Spices,Garlic (local) - Big Size,Kilogram,55--70,Quintal,5500--5500, 23/04/2013
29,Spices,Garlic (Imported),Kilogram,100--110,Quintal,7600--7600, 23/04/2013
30,Spices,Green Chili (Local),Kilogram,40--60,Quintal,3200--3200, 23/04/2013
31,Spices,Ginger (local) - New,Kilogram,80--90,Quintal,6000--6000, 23/04/2013
32,Spices,Ginger (Imported),Kilogram,70--80,Quintal,6200--6200, 23/04/2013
33,Milk,Cow Milk (liquid),Liter,58--64,100 Liters,, 23/04/2013
34,Milk,Dano - Powdered Milk,2 Kg,1160--1170,12 Kg,, 23/04/2013
35,Milk,Redcow - Powdered Milk,2 Kg,1100--1120,12 Kg,, 23/04/2013
36,Poultry,Local Hen - Big (above 900 gm),Kilogram,340--400,Quintal,34000--34000, 23/04/2013
37,Poultry,Local Hen - Medium (700-850 gm),Kilogram,320--340,Quintal,27000--27000, 23/04/2013
38,Poultry,Farm-raised Hen,Kilogram,150--160,Quintal,14800--14800, 23/04/2013
