Serial Number,Product Group,Product Name and Description,Unit Retail,Retail Price (Tk) Lowest Price - Highest Price,Unit Wholesale,Wholesale Price (Tk) Lowest Price - Highest Price,Price Date
1,Foodgrains,Boro-HYV-Fine,Kilogram,44--46,Quintal,4200--4200, 21/08/2016
2,Foodgrains,Boro-HYV-Medium,Kilogram,33--35,Quintal,3200--3200, 21/08/2016
3,Foodgrains,Ata (loose) - white,Kilogram,23--24,Quintal,2200--2200, 21/08/2016
4,Foodgrains,Ata (packet),Kilogram,31--32,Quintal,2900--2900, 21/08/2016
5,Oil,Mustard Oil (Local) - Superior quality,Liter,95--100,100 Liters,9300--9300, 21/08/2016
6,Oil,Soybean Oil(loose),Liter,82--84,100 Liters,7800--7800, 21/08/2016
7,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Superior,Kilogram,200--220,Quintal,20000--20000, 21/08/2016
8,Spices,Onion (local),Kilogram,28--32,Quintal,2800--2800, 21/08/2016
9,Spices,Garlic (local) - Big Size,Kilogram,150--160,Quintal,14000--14000, 21/08/2016
10,Spices,Green Chili (Local),Kilogram,45--55,Quintal,4800--4800, 21/08/2016
11,Spices,Ginger (Imported),Kilogram,80--90,Quintal,8000--8000, 21/08/2016
12,Egg,Egg Farm-Red,4 Pieces,33--34,100 pieces,800--800, 21/08/2016
13,Egg,Egg Farm-White,4 Pieces,32--33,100 pieces,780--780, 21/08/2016
14,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,310--330,Quintal,29000--29000, 21/08/2016
15,Fish,Katla-Small (1.50-2.00 kg),Kilogram,270--290,Quintal,25000--25000, 21/08/2016
16,Vegetable,Potato (Holland) - White (Old),Kilogram,21--22,Quintal,1900--1900, 21/08/2016
17,Vegetable,Potato (Holland) - Red (Old),Kilogram,22--23,Quintal,2100--2100, 21/08/2016
18,Vegetable,Brinjal - Superior Quality,Kilogram,28--30,Quintal,2400--2400, 21/08/2016
19,Vegetable,Brinjal - Ordinary Quality,Kilogram,20--22,Quintal,1600--1600, 21/08/2016
20,Vegetable,Patal (Pointed Gourd),Kilogram,25--30,Quintal,2400--2400, 21/08/2016
21,Vegetable,Pumpkin (Sweet Gourd),Kilogram,22--28,Quintal,2200--2200, 21/08/2016
22,Vegetable,Karalla (Bitter Gourd),Kilogram,25--30,Quintal,, 21/08/2016
23,Vegetable,Jhinga (Tasle Gourd),Kilogram,32--36,Quintal,3000--3000, 21/08/2016
24,Vegetable,Green Papaya,Kilogram,15--20,Quintal,1500--1500, 21/08/2016
25,Vegetable,Mukhi Cachue (aroid),Kilogram,25--30,Quintal,2400--2400, 21/08/2016
26,Vegetable,Lady`s Finger (Okra),Kilogram,30--35,Quintal,2800--2800, 21/08/2016
27,Others,Sugar (Local),Kilogram,68--70,Quintal,6700--6700, 21/08/2016
28,Others,Iodized Salt (Packed),Kilogram,20--35,Quintal,3250--3250, 21/08/2016
