Serial Number,Product Group,Product Name and Description,Unit Retail,Retail Price (Tk) Lowest Price - Highest Price,Unit Wholesale,Wholesale Price (Tk) Lowest Price - Highest Price,Price Date
1,Foodgrains,Aman-Local-Fine,Kilogram,18--19,Quintal,1775--1775, 05/12/2018
2,Foodgrains,Aman-Local-Medium,Kilogram,18--19,Quintal,1766--1766, 05/12/2018
3,Foodgrains,Aman-Local-Coarse,Kilogram,17--18,Quintal,1622--1622, 05/12/2018
4,Foodgrains,Aman-Pajam,Kilogram,24--25,Quintal,2215--2215, 05/12/2018
5,Foodgrains,Aus-HYV-Coarse,Kilogram,,Quintal,1750--1750, 05/12/2018
6,Foodgrains,Aus-HYV-Medium,Kilogram,,Quintal,1700--1700, 05/12/2018
7,Foodgrains,Boro-Fine,Kilogram,26--27,Quintal,2357--2357, 05/12/2018
8,Foodgrains,Aman-HYV-Medium,Kilogram,18--19,Quintal,1774--1774, 05/12/2018
9,Foodgrains,Aman-HYV-Fine,Kilogram,20--21,Quintal,1875--1875, 05/12/2018
10,Foodgrains,Boro-Medium,Kilogram,19--20,Quintal,2048--2048, 05/12/2018
11,Foodgrains,Boro Coarse,Kilogram,16--17,Quintal,1773--1773, 05/12/2018
12,Foodgrains,Aman-HYV-Coarse,Kilogram,16--17,Quintal,1683--1683, 05/12/2018
13,Foodgrains,Aus-Local,Kilogram,,Quintal,1625--1625, 05/12/2018
14,Foodgrains,Boro-Local,Kilogram,16--17,Quintal,1500--1500, 05/12/2018
15,Foodgrains,Aman-Super-Fine,Kilogram,55--59,Quintal,5650--5650, 05/12/2018
16,Foodgrains,Aman-Fine,Kilogram,49--53,Quintal,5013--5013, 05/12/2018
17,Foodgrains,Aman-Medium,Kilogram,36--38,Quintal,3606--3606, 05/12/2018
18,Foodgrains,Aman-Coarse,Kilogram,32--34,Quintal,3139--3139, 05/12/2018
19,Foodgrains,Aman-Pajam,Kilogram,47--52,Quintal,4983--4983, 05/12/2018
20,Foodgrains,Aus-HYV-Fine,Kilogram,50--60,Quintal,5600--5600, 05/12/2018
21,Foodgrains,Boro-HYV-Fine,Kilogram,48--52,Quintal,4918--4918, 05/12/2018
22,Foodgrains,Boro-Pajam,Kilogram,42--43,Quintal,3800--3800, 05/12/2018
23,Foodgrains,Atap,Kilogram,38--40,Quintal,3700--3700, 05/12/2018
24,Foodgrains,Boro-HYV-Medium,Kilogram,38--41,Quintal,3757--3757, 05/12/2018
25,Foodgrains,Aman-HYV-Coarse,Kilogram,31--33,Quintal,2992--2992, 05/12/2018
26,Foodgrains,Aman-HYV-Fine,Kilogram,51--55,Quintal,5186--5186, 05/12/2018
27,Foodgrains,O. M. S. Coarse,Kilogram,36--38,Quintal,3400--3400, 05/12/2018
28,Foodgrains,Boro-HYV-Coarse,Kilogram,32--34,Quintal,3151--3151, 05/12/2018
29,Foodgrains,Aman-HYV-Medium,Kilogram,36--38,Quintal,3553--3553, 05/12/2018
30,Foodgrains,Local-Red,Kilogram,25--26,Quintal,2475--2475, 05/12/2018
31,Foodgrains,Local-White,Kilogram,26--28,Quintal,2528--2528, 05/12/2018
