Serial Number,Product Group,Product Name and Description,Unit Retail,Retail Price (Tk) Lowest Price - Highest Price,Unit Wholesale,Wholesale Price (Tk) Lowest Price - Highest Price,Price Date
1,Foodgrains,Aman-Local-Medium,Kilogram,16--17,Quintal,1600--1600, 30/10/2018
2,Foodgrains,Aus-HYV-Coarse,Kilogram,19--20,Quintal,1830--1830, 30/10/2018
3,Foodgrains,Aus-HYV-Medium,Kilogram,,Quintal,1538--1538, 30/10/2018
4,Foodgrains,Boro-Fine,Kilogram,22--23,Quintal,2216--2216, 30/10/2018
5,Foodgrains,Aman-HYV-Medium,Kilogram,,Quintal,2036--2036, 30/10/2018
6,Foodgrains,Boro-Medium,Kilogram,20--21,Quintal,1971--1971, 30/10/2018
7,Foodgrains,Boro Coarse,Kilogram,17--18,Quintal,1746--1746, 30/10/2018
8,Foodgrains,Aman-HYV-Coarse,Kilogram,,Quintal,1984--1984, 30/10/2018
9,Foodgrains,Boro-Local,Kilogram,16--17,Quintal,1600--1600, 30/10/2018
10,Foodgrains,Aman-Fine,Kilogram,51--55,Quintal,5180--5180, 30/10/2018
11,Foodgrains,Aman-Medium,Kilogram,39--41,Quintal,3850--3850, 30/10/2018
12,Foodgrains,Aman-Coarse,Kilogram,34--36,Quintal,3357--3357, 30/10/2018
13,Foodgrains,Aman-Pajam,Kilogram,49--53,Quintal,5000--5000, 30/10/2018
14,Foodgrains,Aus-HYV-Fine,Kilogram,51--59,Quintal,5500--5500, 30/10/2018
15,Foodgrains,Boro-HYV-Fine,Kilogram,49--52,Quintal,4951--4951, 30/10/2018
16,Foodgrains,Boro-Pajam,Kilogram,47--53,Quintal,4900--4900, 30/10/2018
17,Foodgrains,Boro-HYV-Medium,Kilogram,39--42,Quintal,3894--3894, 30/10/2018
18,Foodgrains,Aman-HYV-Coarse,Kilogram,34--36,Quintal,3212--3212, 30/10/2018
19,Foodgrains,Aman-HYV-Fine,Kilogram,55--59,Quintal,5500--5500, 30/10/2018
20,Foodgrains,O. M. S. Coarse,Kilogram,38--42,Quintal,3500--3500, 30/10/2018
21,Foodgrains,Boro-HYV-Coarse,Kilogram,34--36,Quintal,3314--3314, 30/10/2018
22,Foodgrains,Aman-HYV-Medium,Kilogram,40--42,Quintal,3926--3926, 30/10/2018
23,Foodgrains,Aus-HYV-Medium,Kilogram,44--45,Quintal,4200--4200, 30/10/2018
24,Foodgrains,Local-Red,Kilogram,25--26,Quintal,2450--2450, 30/10/2018
25,Foodgrains,Local-White,Kilogram,25--26,Quintal,2438--2438, 30/10/2018
26,Foodgrains,Imported-White,Kilogram,25--26,Quintal,2457--2457, 30/10/2018
27,Foodgrains,Ata (loose) - white,Kilogram,26--27,Quintal,2471--2471, 30/10/2018
28,Foodgrains,Ata (packet),Kilogram,32--33,Quintal,3072--3072, 30/10/2018
29,Foodgrains,Ata (O. M. S.),Kilogram,17--18,Quintal,1600--1600, 30/10/2018
30,Foodgrains,Ata (loose) - red,Kilogram,25--26,Quintal,2380--2380, 30/10/2018
31,Foodgrains,Flour (loose),Kilogram,33--35,Quintal,3188--3188, 30/10/2018
32,Foodgrains,Flour-Suji,Kilogram,45--48,Quintal,4263--4263, 30/10/2018
33,Foodgrains,Flour (packet),Kilogram,42--44,Quintal,4104--4104, 30/10/2018
34,Foodgrains,Maize,Kilogram,21--23,Quintal,1988--1988, 30/10/2018
35,Foodgrains,Chinigura,Kilogram,85--91,Quintal,8411--8411, 30/10/2018
36,Foodgrains,Kalojira,Kilogram,85--89,Quintal,8220--8220, 30/10/2018
37,Foodgrains,Kataribhog,Kilogram,68--71,Quintal,6556--6556, 30/10/2018
38,Foodgrains,Pajam,Kilogram,50--54,Quintal,5050--5050, 30/10/2018
39,Foodgrains,Muri,Kilogram,63--70,Quintal,6150--6150, 30/10/2018
40,Foodgrains,Chira,Kilogram,46--51,Quintal,4368--4368, 30/10/2018
41,,Groundnut,Kilogram,60--70,Quintal,, 30/10/2018
42,Dal,Mash (whole),Kilogram,70--73,Quintal,6700--6700, 30/10/2018
43,Dal,Mash (broken),Kilogram,68--73,Quintal,6733--6733, 30/10/2018
44,Dal,Masur (whole) local,Kilogram,84--91,Quintal,8260--8260, 30/10/2018
45,Dal,Masur (broken) local,Kilogram,64--69,Quintal,6353--6353, 30/10/2018
46,Dal,Masur (Imported) Superior quality,Kilogram,74--81,Quintal,7278--7278, 30/10/2018
47,Dal,Masur (Imported) ordinary,Kilogram,57--62,Quintal,5418--5418, 30/10/2018
48,Dal,Mung (local),Kilogram,99--111,Quintal,9880--9880, 30/10/2018
49,Dal,Mung (imported),Kilogram,89--95,Quintal,8433--8433, 30/10/2018
50,Dal,Gram (whole),Kilogram,73--78,Quintal,7054--7054, 30/10/2018
51,Dal,Gram (broken),Kilogram,74--78,Quintal,7155--7155, 30/10/2018
52,Dal,Motar (Peas)-Imported,Kilogram,35--37,Quintal,3206--3206, 30/10/2018
53,Dal,Motar (Peas)-local,Kilogram,47--50,Quintal,4260--4260, 30/10/2018
54,Dal,Khesari,Kilogram,45--48,Quintal,4203--4203, 30/10/2018
55,Dal,Felon,Kilogram,35--38,Quintal,3300--3300, 30/10/2018
56,Oil Seed,Mustard,Kilogram,55--58,Quintal,5329--5329, 30/10/2018
57,Oil Seed,Ground Nut,Kilogram,79--85,Quintal,7575--7575, 30/10/2018
58,Oil,Mustard Oil (Local) - Superior quality,Liter,130--137,100 Liters,23580--23580, 30/10/2018
59,Oil,Mustard Oil (Local) - Ordinary,Liter,116--122,100 Liters,11306--11306, 30/10/2018
60,Oil,Mustard Oil (Imported),Liter,130--140,100 Liters,13000--13000, 30/10/2018
61,Oil,Soybean Oil(loose),Liter,84--85,100 Liters,8106--8106, 30/10/2018
62,Oil,Sunflower,Liter,230--240,100 Liters,, 30/10/2018
63,Oil,Palm Oil,Liter,67--70,100 Liters,6513--6513, 30/10/2018
64,Oil,Vegetable Ghee,Liter,207--224,100 Liters,8644--8644, 30/10/2018
65,Oil,Butter Oil,Liter,800--850,100 Liters,, 30/10/2018
66,Oil,Coconut Oil (local),Liter,215--248,100 Liters,22633--22633, 30/10/2018
67,Oil,Coconut  Oil (Imported) - Superior Quality,Liter,306--333,100 Liters,25433--25433, 30/10/2018
68,Oil,Coconut Oil (Imported) - Ordinary,Liter,240--260,100 Liters,22000--22000, 30/10/2018
69,Oil Cake,Oil Cake - Mustard,Kilogram,34--36,Quintal,3310--3310, 30/10/2018
70,Spices,Black Pepper(Golmorich),10 gm,16--20,Kilogram,921--921, 30/10/2018
71,Spices,Clove(Lobonga),10 gm,29--32,Kilogram,1111--1111, 30/10/2018
72,Spices,Cinnamon(Daruchini),10 gm,5--7,Kilogram,300--300, 30/10/2018
73,Spices,Zain,10 gm,4--5,Kilogram,213--213, 30/10/2018
74,Spices,Fennel/Aniseed,10 gm,2--3,Kilogram,130--130, 30/10/2018
75,Spices,Cumin (Seed),10 gm,5--6,Kilogram,390--390, 30/10/2018
76,Spices,Black Cumin (Seed)(Kalozira),10 gm,20--22,Kilogram,211--211, 30/10/2018
77,Spices,Fenugreek(Methi),10 gm,2--3,Kilogram,126--126, 30/10/2018
78,Spices,Dried Chili (Bogra/Rangpur) - Superior,Kilogram,171--186,Quintal,16178--16178, 30/10/2018
79,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Superior,Kilogram,172--185,Quintal,16773--16773, 30/10/2018
80,Spices,Dried Chili (Chittagong) - Superior,Kilogram,210--220,Quintal,19500--19500, 30/10/2018
81,Spices,Dried Chili (Battakandi) - Superior,Kilogram,194--200,Quintal,18850--18850, 30/10/2018
82,Spices,Dried Chili (Local) - Superior,Kilogram,166--175,Quintal,16125--16125, 30/10/2018
83,Spices,Turmeric (Local) - Round (Superior),Kilogram,148--175,Quintal,14500--14500, 30/10/2018
84,Spices,Turmeric (Local) - Long (Superior),Kilogram,142--154,Quintal,13962--13962, 30/10/2018
85,Spices,Turmeric (Imported),Kilogram,132--138,Quintal,12033--12033, 30/10/2018
86,Spices,Turmeric (Local) - Round (Ordinary),Kilogram,133--138,Quintal,12500--12500, 30/10/2018
87,Spices,Turmeric (Local) - Long (Ordinary),Kilogram,130--138,Quintal,12485--12485, 30/10/2018
88,Spices,Dried Chili (Bogra/Rangpur) - Ordinary,Kilogram,145--158,Quintal,13000--13000, 30/10/2018
89,Spices,Dried Chili (Barisal/Raypur/Chandpur) - Ordinary,Kilogram,147--154,Quintal,14400--14400, 30/10/2018
90,Spices,Dried Chili (Battakandi) - Ordinary,Kilogram,200--220,Quintal,20000--20000, 30/10/2018
91,Spices,Dried Chili (Imported) - Ordinary,Kilogram,186--199,Quintal,17389--17389, 30/10/2018
92,Spices,Dried Chili (Local) - Ordinary,Kilogram,162--174,Quintal,15555--15555, 30/10/2018
93,Spices,Khoayr (Catechu) - Superior Quality,10 gm,6--7,Kilogram,485--485, 30/10/2018
94,Spices,Coriander Seed (Old),Kilogram,99--108,Quintal,9578--9578, 30/10/2018
95,Spices,Onion (local),Kilogram,37--41,Quintal,65666--65666, 30/10/2018
96,Spices,Onion-imported,Kilogram,27--30,Quintal,2579--2579, 30/10/2018
97,Spices,Onion (New),Kilogram,40--43,Quintal,3800--3800, 30/10/2018
98,Spices,Garlic (local) - Big Size,Kilogram,45--53,Quintal,4293--4293, 30/10/2018
99,Spices,Garlic - One Piece,Kilogram,34--36,Quintal,3200--3200, 30/10/2018
100,Spices,Garlic (Imported),Kilogram,57--64,Quintal,5281--5281, 30/10/2018
101,Spices,Green Chili (Local),Kilogram,62--72,Quintal,6253--6253, 30/10/2018
102,Spices,Ginger (local) - Old,Kilogram,119--130,Quintal,11027--11027, 30/10/2018
103,Spices,Ginger (local) - New,Kilogram,118--130,Quintal,11008--11008, 30/10/2018
104,Spices,Ginger (Imported),Kilogram,139--153,Quintal,15370--15370, 30/10/2018
105,Spices,Cardamom - Big,10 gm,282--294,Kilogram,1627--1627, 30/10/2018
106,Spices,Cardamom - Small,10 gm,196--205,Kilogram,1762--1762, 30/10/2018
107,Spices,Green Chili,,80--100,,6000--6000, 30/10/2018
108,Spices,Dry Chilli,Quintal,169--179,Quintal,16110--16110, 30/10/2018
109,Fibre,Shimul (Kapok),Kilogram,500--550,Quintal,42000--42000, 30/10/2018
110,Fibre,Tossa Cotton (Top-bottom),Kilogram,55--65,Quintal,5000--5000, 30/10/2018
111,Fibre,Tossa Cotton (Medium),Kilogram,50--55,Quintal,4500--4500, 30/10/2018
112,Fibre,Tossa Cotton (C-Bottom),Kilogram,52--56,Quintal,5000--5000, 30/10/2018
113,Fibre,Tossa Cotton (Garsat - Average quality),Kilogram,,Quintal,4500--4500, 30/10/2018
114,Fibre,Mesta Cotton (Garsat - Average quality),Kilogram,,Quintal,4500--4500, 30/10/2018
115,Tobacco,Motihar Tobacco - Superior Quality,Kilogram,120--140,Quintal,12000--12000, 30/10/2018
116,Tobacco,Motihar Tobacco - Medium,Kilogram,120--125,Quintal,11000--11000, 30/10/2018
117,Tobacco,Motihar Tobacco - Ordinary,Kilogram,100--110,Quintal,9400--9400, 30/10/2018
118,Tobacco,Virginia Tobacco (Air Cured) DV-1,Kilogram,120--140,Quintal,10000--10000, 30/10/2018
119,Tobacco,Virginia Tobacco (Air Cured) DV-3,Kilogram,140--150,Quintal,11000--11000, 30/10/2018
120,Leather,Calf Leather (Medium) - Salt Mixed,1 piece,660--771,100 pieces,60571--60571, 30/10/2018
121,Leather,Cow Leather (Heavy) - Salt Mixed,1 piece,863--1000,100 pieces,92857--92857, 30/10/2018
122,Leather,Calf Leather - Salt Mixed,1 piece,275--350,100 pieces,32500--32500, 30/10/2018
123,Leather,Cow Leather (Light) - Salt Mixed,1 piece,442--550,100 pieces,66667--66667, 30/10/2018
124,Leather,Buffalo Leather (Heavy),1 piece,900--1100,100 pieces,100000--100000, 30/10/2018
125,Leather,Ram Leather/Sheep Leather,1 piece,31--48,100 pieces,5625--5625, 30/10/2018
126,Leather,Goat Leather,1 piece,39--64,100 pieces,7167--7167, 30/10/2018
127,Milk,Cow Milk (liquid),Liter,63--68,100 Liters,7200--7200, 30/10/2018
128,Milk,Dano - Powdered Milk,2 Kg,1052--1070,12 Kg,6775--6775, 30/10/2018
129,Milk,Redcow - Powdered Milk,2 Kg,1035--1051,12 Kg,7050--7050, 30/10/2018
130,Milk,Anchor - Powdered Milk,2 Kg,925--950,12 Kg,5450--5450, 30/10/2018
131,Milk,Condensed Milk - Goalini (1 Carton),1 piece,47--49,48 Pieces,2203--2203, 30/10/2018
132,Milk,Condensed Milk - Danish (1 Carton),1 piece,47--48,48 Pieces,2175--2175, 30/10/2018
133,Poultry,Local Hen - Big (above 900 gm),Kilogram,335--346,Quintal,33014--33014, 30/10/2018
134,Poultry,Local Hen - Medium (700-850 gm),Kilogram,336--350,Quintal,33214--33214, 30/10/2018
135,Poultry,Local Hen - Small (500-650 gm),Kilogram,331--342,Quintal,33000--33000, 30/10/2018
136,Poultry,Farm-raised Hen,Kilogram,117--122,Quintal,11028--11028, 30/10/2018
137,Poultry,Local Duck - Big (above 900 gm),Kilogram,265--300,Quintal,23000--23000, 30/10/2018
138,Meat,Beef,Kilogram,456--475,Quintal,41094--41094, 30/10/2018
139,Meat,Buffalo Meat,Kilogram,490--500,Quintal,48500--48500, 30/10/2018
140,Meat,Mutton (male),Kilogram,693--724,Quintal,68000--68000, 30/10/2018
141,Meat,Mutton (female),Kilogram,620--651,Quintal,60600--60600, 30/10/2018
142,Meat,Mutton,Kilogram,550--600,Quintal,, 30/10/2018
143,Meat,Local,Kilogram,345--363,Quintal,34667--34667, 30/10/2018
144,Meat,Broiler Farm,Kilogram,121--127,Quintal,11550--11550, 30/10/2018
145,Egg,Egg Hen-Local,4 Pieces,46--48,100 pieces,1068--1068, 30/10/2018
146,Egg,Egg Farm-Red,4 Pieces,34--35,100 pieces,800--800, 30/10/2018
147,Egg,Egg Farm-White,4 Pieces,33--34,100 pieces,783--783, 30/10/2018
148,Egg,Egg Duck-Local,4 Pieces,42--45,100 pieces,1367--1367, 30/10/2018
149,Fish,Dried Laitta,Kilogram,495--540,Quintal,45550--45550, 30/10/2018
150,Fish,Dried Puti,Kilogram,400--500,Quintal,45000--45000, 30/10/2018
151,Fish,Dried Shrimp,Kilogram,675--750,Quintal,68500--68500, 30/10/2018
152,Fish,Dried Kachki,Kilogram,525--555,Quintal,51250--51250, 30/10/2018
153,Fish,Ruhi (Local) big (above 5 kg),Kilogram,248--303,Quintal,27586--27586, 30/10/2018
154,Fish,Ruhi (Local) - medium (2.50-4.50 kg),Kilogram,269--323,Quintal,29538--29538, 30/10/2018
155,Fish,Ruhi (Local) - small (1.50-2.00 kg),Kilogram,277--319,Quintal,27500--27500, 30/10/2018
156,Fish,Ruhi (Imported) medium (2.50-4.50 kg),Kilogram,219--254,Quintal,23722--23722, 30/10/2018
157,Fish,Ruhi (Imported) small (1.50-2.00 kg),Kilogram,216--249,Quintal,22125--22125, 30/10/2018
158,Fish,Ruhi (Imported) big (above 5 kg),Kilogram,213--243,Quintal,22000--22000, 30/10/2018
159,Fish,Katla-Big (above 5 Kg),Kilogram,327--373,Quintal,33333--33333, 30/10/2018
160,Fish,Katla-Medium (2.50-4.50 kg),Kilogram,272--312,Quintal,28394--28394, 30/10/2018
161,Fish,Katla-Small (1.50-2.00 kg),Kilogram,232--263,Quintal,23985--23985, 30/10/2018
162,Fish,Katla (Local),Kilogram,200--215,Quintal,20000--20000, 30/10/2018
163,Fish,Katla-Imported,Kilogram,200--280,Quintal,25000--25000, 30/10/2018
164,Fish,Mregal-big,Kilogram,194--212,Quintal,19222--19222, 30/10/2018
165,Fish,Mregal-small,Kilogram,140--159,Quintal,13826--13826, 30/10/2018
166,Fish,Ahire-big,Kilogram,625--700,Quintal,75000--75000, 30/10/2018
167,Fish,Ahire-small,Kilogram,450--500,Quintal,45000--45000, 30/10/2018
168,Fish,Boal-big,Kilogram,550--650,Quintal,62500--62500, 30/10/2018
169,Fish,Boal-small,Kilogram,400--450,Quintal,40000--40000, 30/10/2018
170,Fish,Pangash (small),Kilogram,96--109,Quintal,9274--9274, 30/10/2018
171,Fish,Pangash (big),Kilogram,114--126,Quintal,10754--10754, 30/10/2018
172,Fish,Hilsha,Kilogram,389--856,Quintal,78167--78167, 30/10/2018
173,Fish,Shrimp Bagda,Kilogram,653--725,Quintal,67000--67000, 30/10/2018
174,Fish,Shrimp Golda,Kilogram,688--825,Quintal,66667--66667, 30/10/2018
175,Fish,Shrimp-small,Kilogram,405--494,Quintal,39000--39000, 30/10/2018
176,Fish,Kai,Kilogram,196--240,Quintal,15750--15750, 30/10/2018
177,Fish,Magur,Kilogram,557--650,Quintal,57333--57333, 30/10/2018
178,Fish,Singhi,Kilogram,476--600,Quintal,51600--51600, 30/10/2018
179,Fish,Silver Carp,Kilogram,125--149,Quintal,13006--13006, 30/10/2018
180,Fish,Grass carp,Kilogram,151--177,Quintal,15671--15671, 30/10/2018
181,Fish,Telapia/Nilotica,Kilogram,567--616,Quintal,12786--12786, 30/10/2018
182,Fish,Rupchanda,Kilogram,400--800,Quintal,, 30/10/2018
