Serial Number,Product Group,Product Name and Description,Unit Retail,Retail Price (Tk) Lowest Price - Highest Price,Unit Wholesale,Wholesale Price (Tk) Lowest Price - Highest Price,Price Date
1,Foodgrains,Boro-Fine,Kilogram,30--31,Quintal,2973--2973, 30/07/2023
2,Foodgrains,Boro-Medium,Kilogram,31--32,Quintal,3350--3350, 30/07/2023
3,Foodgrains,Boro Coarse,Kilogram,26--27,Quintal,2664--2664, 30/07/2023
4,Foodgrains,Boro-Local,Kilogram,30--32,Quintal,2825--2825, 30/07/2023
5,Foodgrains,Aman-Super-Fine,Kilogram,70--72,Quintal,6800--6800, 30/07/2023
6,Foodgrains,Aman-Fine,Kilogram,71--76,Quintal,7067--7067, 30/07/2023
7,Foodgrains,Aman-Medium,Kilogram,54--57,Quintal,5371--5371, 30/07/2023
8,Foodgrains,Aman-Coarse,Kilogram,49--50,Quintal,4640--4640, 30/07/2023
9,Foodgrains,Aman-Pajam,Kilogram,68--77,Quintal,7450--7450, 30/07/2023
10,Foodgrains,Boro-HYV-Fine,Kilogram,64--70,Quintal,6655--6655, 30/07/2023
11,Foodgrains,Boro-Pajam,Kilogram,66--70,Quintal,6600--6600, 30/07/2023
12,Foodgrains,Atap,Kilogram,120--130,Quintal,12000--12000, 30/07/2023
13,Foodgrains,Boro-HYV-Medium,Kilogram,53--56,Quintal,5270--5270, 30/07/2023
14,Foodgrains,Aman-HYV-Coarse,Kilogram,45--48,Quintal,4563--4563, 30/07/2023
15,Foodgrains,Aman-HYV-Fine,Kilogram,67--70,Quintal,6800--6800, 30/07/2023
16,Foodgrains,Boro-HYV-Coarse,Kilogram,45--48,Quintal,4440--4440, 30/07/2023
17,Foodgrains,Aman-HYV-Medium,Kilogram,53--56,Quintal,5150--5150, 30/07/2023
18,Foodgrains,Local-Red,Kilogram,44--45,Quintal,4225--4225, 30/07/2023
19,Foodgrains,Imported-Red,Kilogram,40--42,Quintal,3800--3800, 30/07/2023
20,Foodgrains,Imported-White,Kilogram,42--44,Quintal,4000--4000, 30/07/2023
21,Foodgrains,Ata (loose) - white,Kilogram,46--48,Quintal,4352--4352, 30/07/2023
22,Foodgrains,Ata (packet),Kilogram,57--60,Quintal,5560--5560, 30/07/2023
23,Foodgrains,Ata (O. M. S.),Kilogram,26--28,Quintal,2500--2500, 30/07/2023
24,Foodgrains,Ata (loose) - red,Kilogram,49--51,Quintal,4757--4757, 30/07/2023
25,Foodgrains,Flour (loose),Kilogram,58--61,Quintal,5646--5646, 30/07/2023
26,Foodgrains,Flour (packet),Kilogram,69--72,Quintal,6630--6630, 30/07/2023
27,Foodgrains,Maize,Kilogram,,Quintal,2813--2813, 30/07/2023
28,Foodgrains,Chinigura,Kilogram,121--137,Quintal,12918--12918, 30/07/2023
29,Foodgrains,Kalojira,Kilogram,118--126,Quintal,11800--11800, 30/07/2023
30,Foodgrains,Kataribhog,Kilogram,100--105,Quintal,10000--10000, 30/07/2023
31,Foodgrains,Muri,Kilogram,83--96,Quintal,8500--8500, 30/07/2023
32,Foodgrains,Chira,Kilogram,57--62,Quintal,5433--5433, 30/07/2023
33,Foodgrains,Paddy-Medium-Buro,Kilogram,28--29,Quintal,2869--2869, 30/07/2023
34,Dal,Small Mung (Local) - Superior quality,Kilogram,118--123,Quintal,11457--11457, 30/07/2023
35,Dal,Small Mung (Local) - Ordinary,Kilogram,98--105,Quintal,9750--9750, 30/07/2023
36,Dal,Mash (whole),Kilogram,144--148,Quintal,13750--13750, 30/07/2023
37,Dal,Mash (broken),Kilogram,160--168,Quintal,15825--15825, 30/07/2023
38,Dal,Masur (whole) local,Kilogram,130--143,Quintal,13250--13250, 30/07/2023
39,Dal,Masur (Imported) Superior quality,Kilogram,123--129,Quintal,12271--12271, 30/07/2023
40,Dal,Masur (Imported) ordinary,Kilogram,96--101,Quintal,12576--12576, 30/07/2023
41,Dal,Mung (local),Kilogram,115--127,Quintal,11600--11600, 30/07/2023
42,Dal,Mung (imported),Kilogram,109--115,Quintal,10500--10500, 30/07/2023
43,Dal,Gram (whole),Kilogram,84--89,Quintal,13673--13673, 30/07/2023
44,Dal,Gram (broken),Kilogram,85--89,Quintal,8377--8377, 30/07/2023
45,Dal,Motar (Peas)-Imported,Kilogram,62--65,Quintal,5750--5750, 30/07/2023
46,Dal,Motar (Peas)-local,Kilogram,89--96,Quintal,8900--8900, 30/07/2023
47,Dal,Khesari,Kilogram,76--79,Quintal,7227--7227, 30/07/2023
48,Dal,Lentils - Desi,Kilogram,126--132,Quintal,12331--12331, 30/07/2023
49,Oil Seed,Mustard,Kilogram,78--80,Quintal,8000--8000, 30/07/2023
50,Oil Seed,Til(Sesame),Kilogram,,Quintal,10000--10000, 30/07/2023
51,Oil Seed,Ground Nut,Kilogram,115--120,Quintal,11000--11000, 30/07/2023
52,Oil,Mustard Oil (Local) - Ordinary,Liter,213--220,100 Liters,20832--20832, 30/07/2023
53,Oil,Soybean Oil(loose),Liter,163--165,100 Liters,15997--15997, 30/07/2023
54,Oil,Palm Oil,Liter,129--131,100 Liters,12584--12584, 30/07/2023
55,Oil,Vegetable Ghee,Liter,170--172,100 Liters,16200--16200, 30/07/2023
56,Oil,Coconut Oil (local),Liter,220--225,100 Liters,21400--21400, 30/07/2023
57,Oil,Coconut Oil (Imported) - Ordinary,Liter,260--280,100 Liters,25000--25000, 30/07/2023
