Serial Number,Product Group,Product Name and Description,Unit Retail,Retail Price (Tk) Lowest Price - Highest Price,Unit Wholesale,Wholesale Price (Tk) Lowest Price - Highest Price,Price Date
1,Foodgrains,Boro-HYV-Fine,Kilogram,60--62,Quintal,5900--5900, 08/09/2017
2,Foodgrains,Boro-HYV-Medium,Kilogram,50--52,Quintal,4800--4800, 08/09/2017
3,Foodgrains,Boro-HYV-Coarse,Kilogram,40--41,Quintal,3900--3900, 08/09/2017
4,Foodgrains,Ata (loose) - white,Kilogram,27--28,Quintal,2400--2400, 08/09/2017
5,Dal,Masur (whole) local,Kilogram,105--110,Quintal,10100--10100, 08/09/2017
6,Dal,Masur (Imported) ordinary,Kilogram,64--65,Quintal,6100--6100, 08/09/2017
7,Oil,Soybean Oil(loose),Liter,82--83,100 Liters,7800--7800, 08/09/2017
8,Oil,Palm Oil,Liter,76--77,100 Liters,73--73, 08/09/2017
9,Spices,Onion (local),Kilogram,65--75,Quintal,7000--7000, 08/09/2017
10,Spices,Onion-imported,Kilogram,64--65,Quintal,6100--6100, 08/09/2017
11,Spices,Garlic (local) - Big Size,Kilogram,65--70,Quintal,6000--6000, 08/09/2017
12,Spices,Garlic (Imported),Kilogram,95--100,Quintal,8500--8500, 08/09/2017
13,Spices,Green Chili (Local),Kilogram,110--120,Quintal,10000--10000, 08/09/2017
14,Spices,Ginger (Imported),Kilogram,95--100,Quintal,8500--8500, 08/09/2017
15,Poultry,Farm-raised Hen,Kilogram,110--115,Quintal,, 08/09/2017
16,Meat,Beef,Kilogram,450--460,Quintal,, 08/09/2017
17,Egg,Egg Farm-Red,4 Pieces,30--32,100 pieces,700--700, 08/09/2017
18,Fish,Ruhi (Local) - small (1.50-2.00 kg),Kilogram,260--270,Quintal,25000--25000, 08/09/2017
19,Fish,Katla (Local),Kilogram,160--170,Quintal,15000--15000, 08/09/2017
20,Fish,Silver Carp,Kilogram,105--115,Quintal,10000--10000, 08/09/2017
21,Fish,Grass carp,Kilogram,210--220,Quintal,19000--19000, 08/09/2017
22,Fish,Telapia/Nilotica,Kilogram,105--115,Quintal,10000--10000, 08/09/2017
23,Vegetable,Potato (Holland) - Red (Old),Kilogram,18--20,Quintal,1600--1600, 08/09/2017
24,Vegetable,Brinjal - Superior Quality,Kilogram,58--60,Quintal,5100--5100, 08/09/2017
25,Vegetable,Brinjal - Ordinary Quality,Kilogram,48--50,Quintal,4300--4300, 08/09/2017
26,Vegetable,Patal (Pointed Gourd),Kilogram,48--50,Quintal,4500--4500, 08/09/2017
27,Vegetable,Karalla (Bitter Gourd),Kilogram,48--50,Quintal,4300--4300, 08/09/2017
28,Vegetable,Green Papaya,Kilogram,24--25,Quintal,2100--2100, 08/09/2017
29,Vegetable,Lady`s Finger (Okra),Kilogram,65--70,Quintal,6500--6500, 08/09/2017
30,Vegetable,Chichinga (Snakegourd),Kilogram,44--45,Quintal,4000--4000, 08/09/2017
31,Vegetable,Dhundol,Kilogram,28--30,Quintal,2500--2500, 08/09/2017
32,Vegetable,Cucumber-big,Kilogram,28--30,Quintal,2500--2500, 08/09/2017
33,Vegetable,Barbati (Yardlong bean),Kilogram,68--70,Quintal,6200--6200, 08/09/2017
34,Others,Sugar (Imported),Kilogram,55--56,Quintal,5100--5100, 08/09/2017
