Serial Number,Product Group,Product Name and Description,Unit Retail,Retail Price (Tk) Lowest Price - Highest Price,Unit Wholesale,Wholesale Price (Tk) Lowest Price - Highest Price,Price Date
1,Foodgrains,Boro-Fine,Kilogram,22--23,Quintal,2279--2279, 19/07/2018
2,Foodgrains,Aman-HYV-Medium,Kilogram,,Quintal,2310--2310, 19/07/2018
3,Foodgrains,Boro-Medium,Kilogram,21--22,Quintal,2068--2068, 19/07/2018
4,Foodgrains,Boro Coarse,Kilogram,18--19,Quintal,1853--1853, 19/07/2018
5,Foodgrains,Aman-HYV-Coarse,Kilogram,,Quintal,2150--2150, 19/07/2018
6,Foodgrains,Boro-Local,Kilogram,18--18,Quintal,1725--1725, 19/07/2018
7,Foodgrains,Aman-Fine,Kilogram,54--57,Quintal,5383--5383, 19/07/2018
8,Foodgrains,Aman-Medium,Kilogram,42--44,Quintal,4154--4154, 19/07/2018
9,Foodgrains,Aman-Coarse,Kilogram,38--40,Quintal,3819--3819, 19/07/2018
10,Foodgrains,Aman-Pajam,Kilogram,51--54,Quintal,5133--5133, 19/07/2018
11,Foodgrains,Boro-HYV-Fine,Kilogram,52--55,Quintal,5264--5264, 19/07/2018
12,Foodgrains,Boro-Pajam,Kilogram,49--52,Quintal,4850--4850, 19/07/2018
13,Foodgrains,Boro-HYV-Medium,Kilogram,42--45,Quintal,4208--4208, 19/07/2018
14,Foodgrains,Aman-HYV-Coarse,Kilogram,36--38,Quintal,3462--3462, 19/07/2018
15,Foodgrains,Aman-HYV-Fine,Kilogram,55--57,Quintal,5317--5317, 19/07/2018
16,Foodgrains,Boro-HYV-Coarse,Kilogram,37--39,Quintal,4490--4490, 19/07/2018
17,Foodgrains,Aman-HYV-Medium,Kilogram,42--44,Quintal,4221--4221, 19/07/2018
18,Foodgrains,Boro-Local,Kilogram,38--40,Quintal,3600--3600, 19/07/2018
19,Foodgrains,Local-Red,Kilogram,24--25,Quintal,2350--2350, 19/07/2018
20,Foodgrains,Local-White,Kilogram,23--24,Quintal,2235--2235, 19/07/2018
21,Foodgrains,Imported-White,Kilogram,24--25,Quintal,2340--2340, 19/07/2018
22,Foodgrains,Ata (loose) - white,Kilogram,25--26,Quintal,2317--2317, 19/07/2018
23,Foodgrains,Ata (packet),Kilogram,31--33,Quintal,3010--3010, 19/07/2018
24,Foodgrains,Ata (O. M. S.),Kilogram,17--18,Quintal,1600--1600, 19/07/2018
25,Foodgrains,Ata (loose) - red,Kilogram,23--24,Quintal,2150--2150, 19/07/2018
26,Foodgrains,Flour (loose),Kilogram,32--35,Quintal,3135--3135, 19/07/2018
27,Foodgrains,Flour-Suji,Kilogram,46--48,Quintal,4311--4311, 19/07/2018
28,Foodgrains,Flour (packet),Kilogram,42--44,Quintal,4038--4038, 19/07/2018
29,Foodgrains,Maize,Kilogram,20--22,Quintal,1825--1825, 19/07/2018
30,Foodgrains,Chinigura,Kilogram,82--87,Quintal,12367--12367, 19/07/2018
31,Foodgrains,Kalojira,Kilogram,84--89,Quintal,8189--8189, 19/07/2018
32,Foodgrains,Kataribhog,Kilogram,68--72,Quintal,6580--6580, 19/07/2018
33,Foodgrains,Pajam,Kilogram,51--55,Quintal,5150--5150, 19/07/2018
34,Foodgrains,Muri,Kilogram,65--75,Quintal,6524--6524, 19/07/2018
35,Foodgrains,Chira,Kilogram,48--52,Quintal,4684--4684, 19/07/2018
36,,Groundnut,Kilogram,68--73,Quintal,6000--6000, 19/07/2018
37,Dal,Mash (whole),Kilogram,69--73,Quintal,6580--6580, 19/07/2018
38,Dal,Mash (broken),Kilogram,73--79,Quintal,7257--7257, 19/07/2018
39,Dal,Masur (whole) local,Kilogram,88--94,Quintal,8589--8589, 19/07/2018
40,Dal,Masur (broken) local,Kilogram,66--70,Quintal,6505--6505, 19/07/2018
41,Dal,Masur (Imported) Superior quality,Kilogram,79--86,Quintal,7707--7707, 19/07/2018
42,Dal,Masur (Imported) ordinary,Kilogram,60--65,Quintal,5809--5809, 19/07/2018
43,Dal,Mung (local),Kilogram,110--123,Quintal,11074--11074, 19/07/2018
44,Dal,Mung (imported),Kilogram,96--103,Quintal,9260--9260, 19/07/2018
45,Dal,Gram (whole),Kilogram,74--79,Quintal,7260--7260, 19/07/2018
46,Dal,Gram (broken),Kilogram,76--79,Quintal,7310--7310, 19/07/2018
47,Dal,Motar (Peas)-Imported,Kilogram,36--38,Quintal,3347--3347, 19/07/2018
48,Dal,Motar (Peas)-local,Kilogram,61--65,Quintal,5817--5817, 19/07/2018
49,Dal,Khesari,Kilogram,48--51,Quintal,4534--4534, 19/07/2018
50,Dal,Felon,Kilogram,50--54,Quintal,4400--4400, 19/07/2018
51,Dal,Mash Dal,Kilogram,80--85,Quintal,7500--7500, 19/07/2018
52,Oil Seed,Mustard,Kilogram,55--58,Quintal,5344--5344, 19/07/2018
53,Oil Seed,Ground Nut,Kilogram,74--79,Quintal,6900--6900, 19/07/2018
54,Oil,Mustard Oil (Local) - Superior quality,Liter,134--910,100 Liters,22413--22413, 19/07/2018
55,Oil,Mustard Oil (Local) - Ordinary,Liter,117--123,100 Liters,11312--11312, 19/07/2018
56,Oil,Mustard Oil (Imported),Liter,130--140,100 Liters,13000--13000, 19/07/2018
57,Oil,Soybean Oil(loose),Liter,85--87,100 Liters,8270--8270, 19/07/2018
58,Oil,Sunflower,Liter,230--240,100 Liters,, 19/07/2018
59,Oil,Palm Oil,Liter,70--73,100 Liters,6812--6812, 19/07/2018
60,Oil,Vegetable Ghee,Liter,193--209,100 Liters,21500--21500, 19/07/2018
61,Oil,Butter Oil,Liter,800--850,100 Liters,, 19/07/2018
62,Oil,Coconut Oil (local),Liter,201--231,100 Liters,21257--21257, 19/07/2018
63,Oil,Coconut  Oil (Imported) - Superior Quality,Liter,306--333,100 Liters,25433--25433, 19/07/2018
64,Oil,Coconut Oil (Imported) - Ordinary,Liter,200--215,100 Liters,19000--19000, 19/07/2018
65,Oil Cake,Oil Cake - Mustard,Kilogram,35--37,Quintal,3350--3350, 19/07/2018
66,Spices,Black Pepper(Golmorich),10 gm,14--15,Kilogram,918--918, 19/07/2018
67,Spices,Clove(Lobonga),10 gm,18--22,Kilogram,1042--1042, 19/07/2018
68,Spices,Cinnamon(Daruchini),10 gm,6--8,Kilogram,305--305, 19/07/2018
69,Spices,Zain,10 gm,6--7,Kilogram,205--205, 19/07/2018
