date,arhar (pigeon peas)_avg_retail_price,arhar (pigeon peas)_avg_wholesale_price,dal_avg_retail_price,dal_avg_wholesale_price,felon_avg_retail_price,felon_avg_wholesale_price,gram (broken)_avg_retail_price,gram (broken)_avg_wholesale_price,gram (whole)_avg_retail_price,gram (whole)_avg_wholesale_price,khesari_avg_retail_price,khesari_avg_wholesale_price,lentils - desi_avg_retail_price,lentils - desi_avg_wholesale_price,mash (broken)_avg_retail_price,mash (broken)_avg_wholesale_price,mash (whole)_avg_retail_price,mash (whole)_avg_wholesale_price,mash dal_avg_retail_price,mash dal_avg_wholesale_price,masur (broken) local_avg_retail_price,masur (broken) local_avg_wholesale_price,masur (imported) ordinary_avg_retail_price,masur (imported) ordinary_avg_wholesale_price,masur (imported) superior quality_avg_retail_price,masur (imported) superior quality_avg_wholesale_price,masur (whole) local_avg_retail_price,masur (whole) local_avg_wholesale_price,motar (peas)-imported_avg_retail_price,motar (peas)-imported_avg_wholesale_price,motar (peas)-local_avg_retail_price,motar (peas)-local_avg_wholesale_price,mung (imported)_avg_retail_price,mung (imported)_avg_wholesale_price,mung (local)_avg_retail_price,mung (local)_avg_wholesale_price,small mung (local) - ordinary_avg_retail_price,small mung (local) - ordinary_avg_wholesale_price,small mung (local) - superior quality_avg_retail_price,small mung (local) - superior quality_avg_wholesale_price
2013-01-01,,,,,,,,,90.0,7400.0,,,,,,,95.0,8600.0,,,,,136.5,13500.0,142.5,13900.0,75.0,7200.0,,,,,,,105.0,11200.0,,,,
2013-01-02,,,,,,,93.0,8810.0,90.5,8175.0,,,,,87.0,8169.0,87.5,8533.0,,,84.0,8695.0,88.0,8040.0,120.5,11373.0,123.5,11650.0,50.5,5267.0,82.5,7050.0,92.0,9000.0,120.5,11512.0,70.0,7250.0,,
2013-01-03,,,,,,,,,90.0,7500.0,,,,,,,95.0,8600.0,,,,,136.5,13500.0,142.5,13900.0,75.0,7100.0,,,,,,,105.0,11200.0,,,,
2013-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-06,,,,,,,,,90.0,7500.0,,,,,,,95.0,8600.0,,,,,136.5,13500.0,142.5,13900.0,75.0,7100.0,,,,,,,105.0,11200.0,,,,
2013-01-07,,,,,,,,,90.0,7500.0,,,,,,,95.0,8600.0,,,,,136.5,13500.0,142.5,14000.0,75.0,7100.0,,,,,,,105.0,11200.0,,,,
2013-01-08,,,,,,,,,90.0,7500.0,,,,,,,95.0,8600.0,,,,,136.5,13500.0,142.5,14000.0,75.0,7100.0,,,,,,,105.0,11200.0,,,,
2013-01-09,,,,,,,90.0,8620.0,88.0,7875.0,,,,,89.5,8475.0,87.0,8533.0,,,85.0,8470.0,89.0,8146.0,121.0,11413.0,123.0,11629.0,50.0,5319.0,82.5,7050.0,95.0,9311.0,121.0,11556.0,70.0,7250.0,,
2013-01-10,,,,,,,,,90.0,7500.0,,,,,,,95.0,8600.0,,,,,136.5,13400.0,143.5,14000.0,75.0,7200.0,,,,,,,105.0,11200.0,,,,
2013-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-13,,,,,,,,,90.0,7500.0,,,,,,,95.0,8600.0,,,,,137.5,13500.0,143.5,14000.0,75.0,7500.0,,,,,,,105.0,11300.0,,,,
2013-01-14,,,,,,,,,90.0,7500.0,,,,,,,95.0,8400.0,,,,,138.0,13500.0,144.5,14000.0,76.0,7400.0,,,,,,,107.5,11500.0,,,,
2013-01-15,,,,,,,,,88.0,7600.0,,,,,,,95.0,8400.0,,,,,138.0,13500.0,144.5,14200.0,76.0,7400.0,,,,,,,107.5,11500.0,,,,
2013-01-16,,,,,,,88.5,8464.0,87.0,8290.0,,,,,89.5,8344.0,87.0,8560.0,,,87.0,8625.0,85.0,7740.0,122.5,11333.0,123.5,11896.0,50.0,5170.0,82.5,7050.0,95.5,9225.0,122.5,11753.0,70.0,7250.0,,
2013-01-17,,,,,,,,,86.0,7600.0,,,,,,,95.0,8400.0,,,,,138.0,13500.0,145.0,14200.0,77.5,7400.0,,,,,,,110.0,11500.0,,,,
2013-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-20,,,,,,,,,85.0,7500.0,,,,,,,95.0,8400.0,,,,,138.0,13500.0,145.0,14000.0,77.5,7500.0,,,,,,,112.5,11500.0,,,,
2013-01-21,,,,,,,,,85.0,7500.0,,,,,,,95.0,8400.0,,,,,138.0,13500.0,145.0,14000.0,77.5,7500.0,,,,,,,112.5,11500.0,,,,
2013-01-22,,,,,,,,,85.0,7600.0,,,,,,,95.0,8400.0,,,,,138.0,13500.0,145.0,14100.0,77.5,7500.0,,,,,,,112.5,11500.0,,,,
2013-01-23,,,,,,,88.0,8255.0,86.0,8175.0,,,,,88.5,8219.0,87.0,8540.0,,,94.0,8143.0,85.5,8227.0,122.0,11700.0,118.0,11646.0,50.0,5263.0,88.0,7050.0,93.0,9050.0,122.0,11681.0,70.0,7250.0,,
