date,egg duck-local_avg_retail_price,egg duck-local_avg_wholesale_price,egg farm-red_avg_retail_price,egg farm-red_avg_wholesale_price,egg farm-white_avg_retail_price,egg farm-white_avg_wholesale_price,egg hen-local_avg_retail_price,egg hen-local_avg_wholesale_price
2013-01-01,40.5,940.0,37.0,880.0,35.5,870.0,42.0,980.0
2013-01-02,39.0,920.0,37.0,870.0,37.0,873.0,40.0,941.0
2013-01-03,41.0,1000.0,37.0,880.0,36.0,870.0,42.0,1000.0
2013-01-04,,,,,,,,
2013-01-05,,,,,,,,
2013-01-06,41.0,1000.0,38.0,880.0,36.0,870.0,42.5,1000.0
2013-01-07,42.0,1000.0,38.0,880.0,36.5,870.0,42.5,1000.0
2013-01-08,42.5,1000.0,38.0,880.0,37.0,870.0,42.5,1000.0
2013-01-09,39.5,928.0,37.0,1353.0,37.0,1854.0,40.0,942.0
2013-01-10,41.5,1000.0,37.5,880.0,36.0,870.0,42.0,1000.0
2013-01-11,,,,,,,,
2013-01-12,,,,,,,,
2013-01-13,42.0,1000.0,37.0,880.0,36.0,870.0,42.0,1000.0
2013-01-14,42.5,1000.0,37.0,880.0,36.5,870.0,43.0,1000.0
2013-01-15,43.0,1000.0,37.0,880.0,36.0,870.0,43.5,1000.0
2013-01-16,40.0,934.0,37.0,872.0,36.5,863.0,40.5,940.0
2013-01-17,43.0,1000.0,37.0,880.0,36.5,870.0,44.0,1000.0
2013-01-18,,,,,,,,
2013-01-19,,,,,,,,
2013-01-20,43.0,1000.0,37.5,880.0,37.0,870.0,44.0,1000.0
2013-01-21,43.0,1000.0,37.5,880.0,37.0,870.0,44.0,1000.0
2013-01-22,42.0,1000.0,37.5,880.0,36.5,870.0,43.5,1000.0
2013-01-23,40.0,934.0,36.5,866.0,36.5,856.0,40.0,941.0
2013-01-24,42.0,1000.0,37.0,880.0,36.0,870.0,43.0,1000.0
2013-01-25,,,,,,,,
2013-01-26,,,,,,,,
2013-01-27,42.0,1000.0,37.0,880.0,36.0,870.0,44.0,1000.0
2013-01-28,42.0,1000.0,37.0,880.0,36.0,870.0,44.0,1000.0
2013-01-29,42.0,1000.0,36.5,860.0,35.0,820.0,44.0,1000.0
2013-01-30,40.0,931.0,36.5,863.0,36.5,849.0,40.0,937.0
2013-01-31,42.5,1000.0,36.0,860.0,35.0,820.0,44.0,1000.0
2013-02-01,,,,,,,,
2013-02-02,,,,,,,,
2013-02-03,,,,,,,,
2013-02-04,42.0,1000.0,35.5,860.0,35.0,820.0,44.0,1000.0
2013-02-05,42.0,1000.0,35.5,860.0,35.0,820.0,44.0,1000.0
2013-02-06,39.5,933.0,36.0,848.0,35.5,841.0,40.0,938.0
2013-02-07,41.5,980.0,36.5,860.0,35.0,820.0,43.0,1000.0
2013-02-08,,,,,,,,
2013-02-09,,,,,,,,
2013-02-10,41.0,980.0,35.0,860.0,34.5,820.0,43.0,1000.0
2013-02-11,41.0,980.0,36.0,860.0,34.5,820.0,42.5,1000.0
2013-02-12,,,,,,,,
2013-02-13,39.0,919.0,36.0,845.0,35.5,840.0,40.0,932.0
2013-02-14,41.0,980.0,35.5,820.0,35.0,820.0,43.0,1000.0
2013-02-15,,,,,,,,
2013-02-16,,,,,,,,
2013-02-17,,,,,,,,
2013-02-18,41.0,980.0,35.0,820.0,34.5,820.0,43.0,1000.0
2013-02-19,42.0,980.0,35.0,820.0,34.5,820.0,43.0,1000.0
2013-02-20,38.5,824.0,35.5,783.0,35.0,827.0,39.0,922.0
2013-02-21,,,,,,,,
2013-02-22,,,,,,,,
2013-02-23,,,,,,,,
2013-02-24,42.0,960.0,35.0,840.0,34.5,820.0,42.5,960.0
2013-02-25,,,,,,,,
2013-02-26,40.5,940.0,35.0,840.0,34.0,820.0,41.0,960.0
2013-02-27,39.0,828.0,35.5,781.0,34.5,827.0,39.0,928.0
2013-02-28,40.0,885.0,35.5,830.0,34.5,820.0,40.0,895.0
2013-03-01,,,,,,,,
2013-03-02,,,,,,,,
2013-03-03,40.5,950.0,35.0,820.0,34.5,820.0,41.0,960.0
2013-03-04,40.5,950.0,35.0,820.0,34.5,820.0,41.0,960.0
2013-03-05,,,,,,,,
2013-03-06,38.5,824.0,35.5,787.0,35.5,830.0,39.0,931.0
2013-03-07,40.5,950.0,35.5,820.0,34.5,820.0,41.0,960.0
2013-03-08,,,,,,,,
2013-03-09,,,,,,,,
2013-03-10,,,,,,,,
2013-03-11,,,,,,,,
2013-03-12,40.0,950.0,35.0,825.0,34.0,800.0,42.0,960.0
2013-03-13,38.5,833.0,35.5,787.0,34.5,823.0,39.0,934.0
2013-03-14,,,,,,,,
2013-03-15,,,,,,,,
2013-03-16,,,,,,,,
2013-03-17,,,,,,,,
2013-03-18,,,,,,,,
2013-03-19,40.0,950.0,34.5,825.0,34.0,800.0,42.0,960.0
2013-03-20,38.5,817.0,34.5,771.0,34.5,811.0,39.0,923.0
2013-03-21,,,,,,,,
2013-03-22,,,,,,,,
2013-03-23,,,,,,,,
2013-03-24,,,,,,,,
2013-03-25,,,,,,,,
2013-03-26,,,,,,,,
2013-03-27,37.5,894.0,33.5,793.0,33.0,780.0,38.5,921.0
2013-03-28,,,,,,,,
2013-03-29,,,,,,,,
2013-03-30,,,,,,,,
2013-03-31,,,,,,,,
2013-04-01,,,,,,,,
2013-04-02,,,,,,,,
2013-04-03,37.0,851.0,33.0,782.0,32.5,769.0,38.5,894.0
2013-04-04,,,,,,,,
2013-04-05,,,,,,,,
2013-04-06,,,,,,,,
2013-04-07,38.0,900.0,32.5,760.0,32.0,750.0,39.0,950.0
2013-04-08,38.0,900.0,33.0,760.0,32.0,750.0,39.0,950.0
2013-04-09,38.0,900.0,33.0,760.0,32.0,750.0,39.0,950.0
2013-04-10,37.5,862.0,33.0,779.0,32.5,763.0,37.5,900.0
2013-04-11,,,,,,,,
2013-04-12,,,,,,,,
2013-04-13,,,,,,,,
2013-04-14,,,,,,,,
2013-04-15,,,,,,,,
2013-04-16,,,,,,,,
2013-04-17,36.5,836.0,32.5,775.0,32.5,760.0,37.5,876.0
2013-04-18,,,,,,,,
2013-04-19,,,,,,,,
2013-04-20,,,,,,,,
2013-04-21,39.0,900.0,33.5,750.0,33.0,730.0,39.0,950.0
2013-04-22,39.0,900.0,33.5,750.0,33.0,730.0,39.0,950.0
2013-04-23,39.0,900.0,33.5,750.0,33.0,730.0,39.0,950.0
2013-04-24,37.5,871.0,34.5,816.0,34.0,794.0,38.0,898.0
2013-04-25,39.0,900.0,34.0,750.0,33.5,730.0,39.0,950.0
2013-04-26,,,,,,,,
2013-04-27,,,,,,,,
2013-04-28,39.0,900.0,34.5,750.0,33.5,740.0,39.0,950.0
2013-04-29,39.0,900.0,34.5,750.0,33.5,740.0,39.0,950.0
2013-04-30,39.0,900.0,34.5,750.0,33.5,740.0,39.0,950.0
2013-05-01,38.5,907.0,35.0,848.0,34.5,825.0,39.5,930.0
2013-05-02,38.5,900.0,35.0,819.0,34.5,795.0,38.5,910.0
2013-05-03,,,,,,,,
2013-05-04,,,,,,,,
