date,chemical fertilizer - d. a. p_avg_retail_price,chemical fertilizer - d. a. p_avg_wholesale_price,chemical fertilizer - gypsum (imported)_avg_retail_price,chemical fertilizer - gypsum (imported)_avg_wholesale_price,chemical fertilizer - gypsum (local)_avg_retail_price,chemical fertilizer - gypsum (local)_avg_wholesale_price,chemical fertilizer - m. p (imported) - china_avg_retail_price,chemical fertilizer - m. p (imported) - china_avg_wholesale_price,chemical fertilizer - m. p (imported) - russia_avg_retail_price,chemical fertilizer - m. p (imported) - russia_avg_wholesale_price,chemical fertilizer - s. s. p (imported) - crystal_avg_retail_price,chemical fertilizer - s. s. p (imported) - crystal_avg_wholesale_price,chemical fertilizer - s. s. p (imported) - powder_avg_retail_price,chemical fertilizer - s. s. p (imported) - powder_avg_wholesale_price,chemical fertilizer - s. s. p (local) - powder_avg_retail_price,chemical fertilizer - s. s. p (local) - powder_avg_wholesale_price,chemical fertilizer - t. s. p. (imported)_avg_retail_price,chemical fertilizer - t. s. p. (imported)_avg_wholesale_price,chemical fertilizer - t. s. p. (local)_avg_retail_price,chemical fertilizer - t. s. p. (local)_avg_wholesale_price,chemical fertilizer - urea (ghorashal)_avg_retail_price,chemical fertilizer - urea (ghorashal)_avg_wholesale_price,chemical fertilizer - urea (jamuna)_avg_retail_price,chemical fertilizer - urea (jamuna)_avg_wholesale_price,chemical fertilizer - urea (kafco)_avg_retail_price,chemical fertilizer - urea (kafco)_avg_wholesale_price,chemical fertilizer - urea (zia)_avg_retail_price,chemical fertilizer - urea (zia)_avg_wholesale_price,chemical fertilizer - zinc (imported)_avg_retail_price,chemical fertilizer - zinc (imported)_avg_wholesale_price,chemical fertilizer - zinc (local)_avg_retail_price,chemical fertilizer - zinc (local)_avg_wholesale_price,compost manure - cow dung_avg_retail_price,compost manure - cow dung_avg_wholesale_price
2013-01-02,158.0,1345.0,7.5,150.0,39.5,238.0,74.5,736.0,15.0,745.0,,1100.0,,,,,117.5,1088.0,22.5,980.0,487.5,978.0,20.0,979.0,139.5,984.0,20.0,990.0,124.0,8100.0,50.0,150.0,,
2013-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-09,172.5,1345.0,7.5,150.0,39.5,238.0,74.5,736.0,,740.0,,1100.0,,,,,127.0,1087.0,22.5,980.0,487.5,978.0,20.0,979.0,139.5,984.0,20.0,987.0,124.0,8100.0,50.0,150.0,,
2013-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-16,27.0,1345.0,7.5,150.0,9.0,238.0,15.0,735.0,,730.0,,1100.0,,,,,22.0,1085.0,22.5,940.0,20.0,981.0,20.0,982.0,20.0,987.0,20.0,987.0,124.0,8100.0,50.0,150.0,,
2013-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-23,27.0,1346.0,7.5,250.0,9.5,238.0,15.0,736.0,,720.0,,1100.0,,,,,22.0,1084.0,22.0,1100.0,,981.0,20.0,981.0,20.0,988.0,20.0,987.0,131.5,16000.0,65.0,,,
2013-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-30,27.5,1350.0,7.5,250.0,9.5,405.0,15.5,737.0,,720.0,,1100.0,,,,,22.0,1082.0,22.5,885.0,,981.0,20.0,983.0,20.0,988.0,20.0,987.0,131.5,16000.0,37.0,,,
2013-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-06,27.5,1350.0,7.5,250.0,9.5,278.0,15.5,737.0,,,,1100.0,,,,,22.0,1082.0,22.5,1130.0,,978.0,20.0,981.0,20.0,986.0,20.0,987.0,131.5,16000.0,65.0,,,
2013-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-13,27.0,1350.0,7.5,250.0,9.5,238.0,15.5,734.0,,,,1100.0,,,,,22.0,1093.0,22.5,1120.0,,978.0,20.0,982.0,20.0,986.0,20.0,987.0,131.5,16000.0,65.0,,,
2013-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-20,27.5,1355.0,12.0,250.0,7.5,278.0,15.5,732.0,,,,1100.0,,,,,22.0,1092.0,22.5,1100.0,,978.0,182.0,986.0,20.5,984.0,20.0,987.0,131.5,16000.0,65.0,,,
2013-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-27,27.5,1350.0,15.0,250.0,8.0,293.0,15.5,742.0,,,,1100.0,,,,,22.0,1094.0,22.5,1100.0,,978.0,20.0,988.0,20.0,988.0,20.0,987.0,134.0,16000.0,65.0,,,
2013-02-28,27.5,1350.0,6.5,,,,15.5,680.0,,,,,,,,,22.5,1090.0,,,,,21.5,985.0,21.5,985.0,,,127.5,,,,,
2013-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-06,27.5,1369.0,15.0,250.0,7.5,301.0,15.5,740.0,,,,1100.0,,,,,22.0,1089.0,23.0,1095.0,,978.0,20.0,984.0,20.0,986.0,20.0,987.0,134.0,16000.0,65.0,,,
2013-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-13,27.5,1362.0,15.0,250.0,7.5,301.0,15.5,737.0,,,,1100.0,,,,,22.0,1088.0,23.0,1095.0,,978.0,20.0,984.0,20.0,988.0,20.0,987.0,134.0,16000.0,65.0,,,
2013-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-20,27.5,1370.0,15.0,250.0,7.5,301.0,15.5,736.0,,,,1100.0,,,,,22.5,1087.0,23.0,1095.0,,978.0,20.0,982.0,20.0,986.0,20.0,987.0,134.0,16000.0,65.0,,,
2013-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-27,27.5,1364.0,15.0,250.0,7.5,301.0,15.5,738.0,,,,1100.0,,,,,22.5,1088.0,23.0,1110.0,,978.0,20.0,979.0,20.0,987.0,20.0,987.0,140.0,16000.0,,,,
2013-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-03,27.5,1360.0,15.0,250.0,7.5,301.0,15.5,740.0,,,,1100.0,,,,,22.5,1089.0,23.0,1093.0,,978.0,20.0,979.0,20.0,988.0,20.0,987.0,140.0,16000.0,,,,
2013-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-10,27.5,1368.0,15.0,250.0,7.5,301.0,15.5,740.0,,,,1100.0,,,,,22.5,1088.0,23.0,1093.0,,978.0,20.0,979.0,20.0,986.0,20.0,987.0,140.0,16000.0,,,,
2013-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-17,27.5,1360.0,16.0,250.0,7.5,301.0,15.5,735.0,,,,1100.0,,,,,22.0,1089.0,23.0,1093.0,,978.0,20.0,979.0,20.0,988.0,20.0,987.0,140.0,16000.0,,,,
2013-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-24,27.5,1360.0,16.0,250.0,7.5,301.0,15.5,735.0,,,,1100.0,,,,,22.5,1089.0,23.0,1093.0,,978.0,20.0,979.0,20.0,988.0,20.0,987.0,140.0,16000.0,,,,
2013-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-01,27.5,1350.0,24.0,,7.5,,15.0,730.0,,,,,,,,,22.5,1097.0,22.0,,,,20.0,990.0,20.0,990.0,,,140.0,,,,,
