date,cotton (america)_avg_retail_price,cotton (america)_avg_wholesale_price,cotton (comilla)_avg_retail_price,cotton (comilla)_avg_wholesale_price,mesta cotton (garsat - average quality)_avg_retail_price,mesta cotton (garsat - average quality)_avg_wholesale_price,mesta cotton (shan - sunhemp)_avg_retail_price,mesta cotton (shan - sunhemp)_avg_wholesale_price,mesta_avg_retail_price,mesta_avg_wholesale_price,shimul (kapok)_avg_retail_price,shimul (kapok)_avg_wholesale_price,tosha_avg_retail_price,tosha_avg_wholesale_price,tossa cotton (b-bottom)_avg_retail_price,tossa cotton (b-bottom)_avg_wholesale_price,tossa cotton (c-bottom)_avg_retail_price,tossa cotton (c-bottom)_avg_wholesale_price,tossa cotton (cross-bottom)_avg_retail_price,tossa cotton (cross-bottom)_avg_wholesale_price,tossa cotton (garsat - average quality)_avg_retail_price,tossa cotton (garsat - average quality)_avg_wholesale_price,tossa cotton (medium)_avg_retail_price,tossa cotton (medium)_avg_wholesale_price,tossa cotton (s. m. r.)_avg_retail_price,tossa cotton (s. m. r.)_avg_wholesale_price,tossa cotton (top-bottom)_avg_retail_price,tossa cotton (top-bottom)_avg_wholesale_price,white cotton (b-bottom)_avg_retail_price,white cotton (b-bottom)_avg_wholesale_price,white cotton (c-bottom)_avg_retail_price,white cotton (c-bottom)_avg_wholesale_price,white cotton (cross-bottom)_avg_retail_price,white cotton (cross-bottom)_avg_wholesale_price,white cotton (gorsat - average quality)_avg_retail_price,white cotton (gorsat - average quality)_avg_wholesale_price,white cotton (s. m. r.)_avg_retail_price,white cotton (s. m. r.)_avg_wholesale_price,white cotton (top-bottom)_avg_retail_price,white cotton (top-bottom)_avg_wholesale_price
2013-01-02,,,157.5,18000.0,,,,,,,242.5,22000.0,,,,3000.0,,3000.0,,2400.0,,2850.0,30.0,3000.0,,,,,,,,,,,,,,,,
2013-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-09,,,157.5,18000.0,,,,,,,242.5,22000.0,,,,3000.0,,3000.0,,2400.0,,2850.0,30.0,3000.0,,,,,,,,,,,,,,,,
2013-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-16,,,157.5,18000.0,,,,,,,242.5,22000.0,,,,3000.0,,3000.0,,2400.0,,3500.0,30.0,3000.0,,,,,,,,,,,,,,,,
2013-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-23,,,157.5,18000.0,,,,,,,242.5,22000.0,,,,3000.0,,3000.0,,2400.0,,3500.0,30.0,3000.0,,,,,,,,,,,,,,,,
2013-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-30,,,157.5,18000.0,,,,,,,242.5,22000.0,,,,2800.0,,2500.0,,2400.0,,3500.0,30.0,3000.0,,,,,,,,,,,,,,,,
2013-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-06,,,157.5,18000.0,,,,,,,242.5,22000.0,,,38.5,3825.0,,3300.0,,3000.0,,3000.0,,,,,,,,,,,,,,,,,,
2013-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-13,,,152.5,17500.0,,,,,,,238.0,21667.0,,,38.5,3825.0,,3300.0,,3000.0,,3000.0,,,,,,,,4000.0,,,,,,,,,,
2013-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-20,,,152.5,17500.0,,,,,,,238.0,21667.0,,,38.5,3825.0,,3300.0,,3000.0,,3000.0,,,,,,,,4000.0,,,,,,,,,,
2013-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-27,,,152.5,17500.0,,,,,,,238.0,21667.0,,,38.5,3825.0,,3200.0,,3000.0,,3000.0,,,,,,,,4000.0,,,,,,,,,,
2013-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-06,,,152.5,17500.0,,,,,,,238.0,21667.0,,,38.5,3825.0,,3200.0,,3000.0,,3000.0,,,,,,,,4000.0,,,,,,,,,,
2013-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-13,,,152.5,17500.0,,,,,,,238.0,21667.0,,,38.5,3825.0,,3200.0,,3000.0,,3000.0,,,,,,,,4000.0,,,,,,,,,,
2013-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-20,,,142.5,17000.0,,,,,,,235.0,21333.0,,,38.5,3825.0,,3200.0,,3000.0,,3000.0,,,,,,,,4000.0,,,,,,,,,,
2013-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-27,,,142.5,17000.0,,,,,,,235.0,21333.0,,,38.5,3825.0,,3200.0,,3000.0,,3000.0,,,,,,,,4000.0,,,,,,,,,,
2013-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
