date,ahire-big_avg_retail_price,ahire-big_avg_wholesale_price,ahire-small_avg_retail_price,ahire-small_avg_wholesale_price,boal-big_avg_retail_price,boal-big_avg_wholesale_price,boal-small_avg_retail_price,boal-small_avg_wholesale_price,chitol-(big)_avg_retail_price,chitol-(big)_avg_wholesale_price,chitol-(small)_avg_retail_price,chitol-(small)_avg_wholesale_price,dried kachki_avg_retail_price,dried kachki_avg_wholesale_price,dried laitta_avg_retail_price,dried laitta_avg_wholesale_price,dried puti_avg_retail_price,dried puti_avg_wholesale_price,dried rupchanda_avg_retail_price,dried rupchanda_avg_wholesale_price,dried shrimp_avg_retail_price,dried shrimp_avg_wholesale_price,dried surma_avg_retail_price,dried surma_avg_wholesale_price,grass carp_avg_retail_price,grass carp_avg_wholesale_price,hilsha_avg_retail_price,hilsha_avg_wholesale_price,kai_avg_retail_price,kai_avg_wholesale_price,katla (local)_avg_retail_price,katla (local)_avg_wholesale_price,katla-big (above 5 kg)_avg_retail_price,katla-big (above 5 kg)_avg_wholesale_price,katla-imported_avg_retail_price,katla-imported_avg_wholesale_price,katla-medium (2.50-4.50 kg)_avg_retail_price,katla-medium (2.50-4.50 kg)_avg_wholesale_price,katla-small (1.50-2.00 kg)_avg_retail_price,katla-small (1.50-2.00 kg)_avg_wholesale_price,koral_avg_retail_price,koral_avg_wholesale_price,magur_avg_retail_price,magur_avg_wholesale_price,mregal-big_avg_retail_price,mregal-big_avg_wholesale_price,mregal-small_avg_retail_price,mregal-small_avg_wholesale_price,pangash (big)_avg_retail_price,pangash (big)_avg_wholesale_price,pangash (small)_avg_retail_price,pangash (small)_avg_wholesale_price,poah_avg_retail_price,poah_avg_wholesale_price,rita_avg_retail_price,rita_avg_wholesale_price,ruhi (imported) big (above 5 kg)_avg_retail_price,ruhi (imported) big (above 5 kg)_avg_wholesale_price,ruhi (imported) medium (2.50-4.50 kg)_avg_retail_price,ruhi (imported) medium (2.50-4.50 kg)_avg_wholesale_price,ruhi (imported) small (1.50-2.00 kg)_avg_retail_price,ruhi (imported) small (1.50-2.00 kg)_avg_wholesale_price,ruhi (local) - medium (2.50-4.50 kg)_avg_retail_price,ruhi (local) - medium (2.50-4.50 kg)_avg_wholesale_price,ruhi (local) - small (1.50-2.00 kg)_avg_retail_price,ruhi (local) - small (1.50-2.00 kg)_avg_wholesale_price,ruhi (local) big (above 5 kg)_avg_retail_price,ruhi (local) big (above 5 kg)_avg_wholesale_price,rupchanda_avg_retail_price,rupchanda_avg_wholesale_price,salted hilsha_avg_retail_price,salted hilsha_avg_wholesale_price,shrimp bagda_avg_retail_price,shrimp bagda_avg_wholesale_price,shrimp golda_avg_retail_price,shrimp golda_avg_wholesale_price,shrimp-small_avg_retail_price,shrimp-small_avg_wholesale_price,silver carp_avg_retail_price,silver carp_avg_wholesale_price,singhi_avg_retail_price,singhi_avg_wholesale_price,telapia_nilotica_avg_retail_price,telapia_nilotica_avg_wholesale_price
2013-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,700.0,66000.0,200.0,,,,,,220.0,19500.0,,,230.0,23000.0,,,,,,,,,,,120.0,11000.0,,,,,,,,22000.0,225.0,,,,240.0,24000.0,,,,,,,,,,,325.0,28000.0,140.0,14000.0,,,140.0,12000.0
2013-01-02,,,402.5,27167.0,,,328.0,14710.0,,,,,487.5,,450.0,,475.0,,,,450.0,,,,153.5,18000.0,566.5,61222.0,230.5,13545.0,167.5,16000.0,,,215.0,19500.0,274.0,13775.0,216.5,20250.0,,,556.5,25375.0,182.0,17750.0,155.5,13142.0,115.5,10910.0,99.5,8622.0,160.0,14000.0,,,,,224.0,17160.0,201.0,17463.0,317.0,28667.0,238.5,23188.0,,,,,650.0,,550.0,,495.0,51000.0,337.5,28000.0,130.5,13100.0,600.0,50000.0,136.5,12821.0
2013-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,700.0,70000.0,200.0,,,,,,215.0,20000.0,,,230.0,23000.0,,,,,,,,,,,120.0,11000.0,,,,,,,,21000.0,220.0,,,,240.0,24000.0,,,,,,,,,,,325.0,28000.0,140.0,14000.0,,,140.0,12000.0
2013-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,700.0,68500.0,200.0,,,,,,225.0,20000.0,,,240.0,23000.0,,,,,,,,,,,120.0,11000.0,,,,,,,,21000.0,225.0,,,,240.0,23500.0,,,,,,,,,,,325.0,28000.0,140.0,14000.0,,,140.0,12000.0
2013-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,700.0,68500.0,200.0,,,,,,225.0,21000.0,,,240.0,23000.0,,,,,,,,,,,120.0,11000.0,,,,,,,,22000.0,225.0,,,,240.0,23500.0,,,,,,,,,,,325.0,28000.0,140.0,14000.0,,,140.0,12000.0
2013-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,700.0,68500.0,200.0,,,,,,225.0,21500.0,,,240.0,23000.0,,,,,,,,,,,120.0,11000.0,,,,,,,,22000.0,225.0,,,,240.0,24000.0,,,,,,,,,,,325.0,28000.0,140.0,14000.0,,,140.0,12000.0
2013-01-09,,,402.5,27167.0,,,328.0,14710.0,,,,,487.5,,450.0,,475.0,,,,450.0,8000.0,,,153.0,18000.0,552.0,63429.0,224.0,9393.0,172.5,16000.0,,,227.5,23000.0,273.0,13525.0,218.0,20393.0,,,556.5,25375.0,182.0,17750.0,154.5,13018.0,115.5,10910.0,99.5,8659.0,155.0,14000.0,,,,,224.0,17460.0,203.0,17463.0,315.5,28500.0,236.5,23533.0,,,,,650.0,,550.0,,495.0,51000.0,337.5,30000.0,135.0,13808.0,600.0,50000.0,135.0,12808.0
2013-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,675.0,68000.0,210.0,,,,,,227.5,23000.0,,,242.5,24000.0,,,,,,,,,,,130.0,12000.0,,,,,,,,23000.0,230.0,,,,245.0,24500.0,,,,,,,,,,,325.0,30000.0,145.0,14000.0,,,140.0,13000.0
