date,aman-aromatic (polao)_avg_retail_price,aman-aromatic (polao)_avg_wholesale_price,aman-coarse_avg_retail_price,aman-coarse_avg_wholesale_price,aman-fine_avg_retail_price,aman-fine_avg_wholesale_price,aman-hyv-coarse_avg_retail_price,aman-hyv-coarse_avg_wholesale_price,aman-hyv-fine_avg_retail_price,aman-hyv-fine_avg_wholesale_price,aman-hyv-medium_avg_retail_price,aman-hyv-medium_avg_wholesale_price,aman-local-coarse_avg_retail_price,aman-local-coarse_avg_wholesale_price,aman-local-fine_avg_retail_price,aman-local-fine_avg_wholesale_price,aman-local-medium_avg_retail_price,aman-local-medium_avg_wholesale_price,aman-medium_avg_retail_price,aman-medium_avg_wholesale_price,aman-pajam_avg_retail_price,aman-pajam_avg_wholesale_price,aman-super-fine_avg_retail_price,aman-super-fine_avg_wholesale_price,ata (loose) - red_avg_retail_price,ata (loose) - red_avg_wholesale_price,ata (loose) - white_avg_retail_price,ata (loose) - white_avg_wholesale_price,ata (o. m. s.)_avg_retail_price,ata (o. m. s.)_avg_wholesale_price,ata (packet)_avg_retail_price,ata (packet)_avg_wholesale_price,atap_avg_retail_price,atap_avg_wholesale_price,aus-coarse_avg_retail_price,aus-coarse_avg_wholesale_price,aus-fine_avg_retail_price,aus-fine_avg_wholesale_price,aus-hyv-coarse_avg_retail_price,aus-hyv-coarse_avg_wholesale_price,aus-hyv-fine_avg_retail_price,aus-hyv-fine_avg_wholesale_price,aus-hyv-medium_avg_retail_price,aus-hyv-medium_avg_wholesale_price,aus-local_avg_retail_price,aus-local_avg_wholesale_price,aus-medium_avg_retail_price,aus-medium_avg_wholesale_price,aus-pajam_avg_retail_price,aus-pajam_avg_wholesale_price,boro coarse_avg_retail_price,boro coarse_avg_wholesale_price,boro-coarse_avg_retail_price,boro-coarse_avg_wholesale_price,boro-fine_avg_retail_price,boro-fine_avg_wholesale_price,boro-hyv-coarse_avg_retail_price,boro-hyv-coarse_avg_wholesale_price,boro-hyv-fine_avg_retail_price,boro-hyv-fine_avg_wholesale_price,boro-hyv-medium_avg_retail_price,boro-hyv-medium_avg_wholesale_price,boro-local_avg_retail_price,boro-local_avg_wholesale_price,boro-medium_avg_retail_price,boro-medium_avg_wholesale_price,boro-pajam_avg_retail_price,boro-pajam_avg_wholesale_price,chinigura_avg_retail_price,chinigura_avg_wholesale_price,chira_avg_retail_price,chira_avg_wholesale_price,flour (loose)_avg_retail_price,flour (loose)_avg_wholesale_price,flour (packet)_avg_retail_price,flour (packet)_avg_wholesale_price,flour-suji_avg_retail_price,flour-suji_avg_wholesale_price,imported-red_avg_retail_price,imported-red_avg_wholesale_price,imported-white_avg_retail_price,imported-white_avg_wholesale_price,kalojira_avg_retail_price,kalojira_avg_wholesale_price,kataribhog_avg_retail_price,kataribhog_avg_wholesale_price,local-red_avg_retail_price,local-red_avg_wholesale_price,local-white_avg_retail_price,local-white_avg_wholesale_price,maize_avg_retail_price,maize_avg_wholesale_price,muri_avg_retail_price,muri_avg_wholesale_price,o. m. s. coarse_avg_retail_price,o. m. s. coarse_avg_wholesale_price,o. m. s._avg_retail_price,o. m. s._avg_wholesale_price,paddy-medium-buro_avg_retail_price,paddy-medium-buro_avg_wholesale_price,pajam_avg_retail_price,pajam_avg_wholesale_price,rice-boro-fine_avg_retail_price,rice-boro-fine_avg_wholesale_price,rice-boro-medium_avg_retail_price,rice-boro-medium_avg_wholesale_price
2013-01-01,,,,,,,29.0,2573.0,43.0,4207.0,32.5,3202.0,,,,,,,,,,,,,,,34.0,3250.0,,,39.0,3700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.5,9112.0,,,40.5,3900.0,47.5,4600.0,,,32.5,2890.0,33.5,2950.0,87.5,8580.0,,,,,,,21.0,1840.0,,,,,,,,,,,,,,
2013-01-02,,,25.0,2307.0,38.0,3517.0,17.5,1437.0,,1600.0,,1572.0,23.0,1370.0,,1700.0,,1625.0,29.0,2667.0,,1880.0,,,30.0,2838.0,32.0,3007.0,20.0,,37.0,3579.0,,2400.0,,,,,,1500.0,,,,1650.0,,,,,,,,1448.0,,,,1960.0,26.0,2417.0,37.5,3705.0,32.0,3017.0,22.5,2450.0,22.5,1817.0,41.5,4100.0,94.5,9051.0,35.5,3330.0,38.5,3754.0,46.0,4438.0,44.5,4306.0,32.5,2890.0,33.0,2733.0,90.5,8412.0,71.5,6844.0,,,26.5,2555.0,21.5,1927.0,52.0,4845.0,24.0,,,,,,42.0,3950.0,,,,
2013-01-03,,,,,,,29.0,2586.0,43.0,4234.0,32.5,3215.0,,,,,,,,,,,,,,,34.0,3250.0,,,39.0,3700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.5,9000.0,,,40.5,3900.0,47.5,4600.0,,,32.5,2890.0,33.5,2950.0,87.5,8580.0,,,,,,,21.0,1840.0,,,,,,,,,,,,,,
2013-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-06,,,,,,,29.0,2586.0,43.0,4234.0,32.5,3215.0,,,,,,,,,,,,,,,34.0,3250.0,,,39.0,3700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.5,9000.0,,,40.5,3900.0,47.5,4600.0,,,32.5,2890.0,33.5,2950.0,87.5,8580.0,,,,,,,21.0,1840.0,,,,,,,,,,,,,,
2013-01-07,,,,,,,29.0,2625.0,43.0,4288.0,32.5,3215.0,,,,,,,,,,,,,,,34.0,3260.0,,,39.0,3700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.5,9112.0,,,40.5,3900.0,47.5,4600.0,,,32.5,2820.0,33.5,2950.0,87.5,8580.0,,,,,,,21.0,1840.0,,,,,,,,,,,,,,
2013-01-08,,,,,,,29.0,2625.0,43.0,4288.0,32.5,3215.0,,,,,,,,,,,,,,,34.0,3260.0,,,39.0,3700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.5,9112.0,,,40.5,3900.0,47.5,4600.0,,,32.5,2850.0,33.5,2950.0,87.5,8580.0,,,,,,,21.0,1840.0,,,,,,,,,,,,,,
2013-01-09,,,25.5,2314.0,37.5,3575.0,18.5,1500.0,,1600.0,,1610.0,24.5,1383.0,,1700.0,,1625.0,29.0,2775.0,,1947.0,,,30.0,2838.0,32.0,2994.0,20.0,,37.0,3575.0,,2500.0,,,,,,1500.0,,,,1650.0,,,,,,,,1508.0,,,,2230.0,26.0,2457.0,39.0,3756.0,33.0,3146.0,,2450.0,23.0,1863.0,43.5,4100.0,93.5,9055.0,35.5,3244.0,38.5,3773.0,45.5,4443.0,44.5,4428.0,32.5,2880.0,33.0,2818.0,87.5,8444.0,70.5,6789.0,,,26.5,2555.0,22.0,1956.0,52.0,4917.0,24.0,,,,,,39.5,3900.0,,,,
2013-01-10,,,,,,,29.0,2653.0,43.0,4315.0,32.5,3215.0,,,,,,,,,,,,,,,34.0,3180.0,,,39.0,3700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.5,9139.0,,,40.5,3900.0,47.5,4600.0,,,32.5,2850.0,33.5,2900.0,92.5,8600.0,,,,,,,21.0,1840.0,,,,,,,,,,,,,,
