date,alachi lemon_avg_retail_price,alachi lemon_avg_wholesale_price,amra (hog plum)_avg_retail_price,amra (hog plum)_avg_wholesale_price,apple (india)_avg_retail_price,apple (india)_avg_wholesale_price,apple (pakistan)_avg_retail_price,apple (pakistan)_avg_wholesale_price,apple_avg_retail_price,apple_avg_wholesale_price,banana-chapa_avg_retail_price,banana-chapa_avg_wholesale_price,banana-sabri (high quality)_avg_retail_price,banana-sabri (high quality)_avg_wholesale_price,banana-sabri (ordinary)_avg_retail_price,banana-sabri (ordinary)_avg_wholesale_price,banana-sagar (high quality)_avg_retail_price,banana-sagar (high quality)_avg_wholesale_price,banana-sagar (ordinary)_avg_retail_price,banana-sagar (ordinary)_avg_wholesale_price,bangi (melon)_avg_retail_price,bangi (melon)_avg_wholesale_price,baromasi china-3_avg_retail_price,baromasi china-3_avg_wholesale_price,boroi (jujube_plum)_avg_retail_price,boroi (jujube_plum)_avg_wholesale_price,boroi-kul (imported)_avg_retail_price,boroi-kul (imported)_avg_wholesale_price,cagoji lemon_avg_retail_price,cagoji lemon_avg_wholesale_price,canteloupe_avg_retail_price,canteloupe_avg_wholesale_price,coconut_avg_retail_price,coconut_avg_wholesale_price,grapefruit_avg_retail_price,grapefruit_avg_wholesale_price,grapes_avg_retail_price,grapes_avg_wholesale_price,green-coconut_avg_retail_price,green-coconut_avg_wholesale_price,guava (kazi)_avg_retail_price,guava (kazi)_avg_wholesale_price,guava (thai)_avg_retail_price,guava (thai)_avg_wholesale_price,guava_avg_retail_price,guava_avg_wholesale_price,jackfruit-(small)_avg_retail_price,jackfruit-(small)_avg_wholesale_price,jackfruit-big (above 4 kg)_avg_retail_price,jackfruit-big (above 4 kg)_avg_wholesale_price,kalozam (black berry)_avg_retail_price,kalozam (black berry)_avg_wholesale_price,khejur (date)_avg_retail_price,khejur (date)_avg_wholesale_price,khurma_avg_retail_price,khurma_avg_wholesale_price,lychee (imported)_avg_retail_price,lychee (imported)_avg_wholesale_price,lychee_avg_retail_price,lychee_avg_wholesale_price,malta_avg_retail_price,malta_avg_wholesale_price,mango-amropali_avg_retail_price,mango-amropali_avg_wholesale_price,mango-ashini_avg_retail_price,mango-ashini_avg_wholesale_price,mango-fazli_avg_retail_price,mango-fazli_avg_wholesale_price,mango-gopal bhog_avg_retail_price,mango-gopal bhog_avg_wholesale_price,mango-guti_avg_retail_price,mango-guti_avg_wholesale_price,mango-himsagar_avg_retail_price,mango-himsagar_avg_wholesale_price,mango-langra_avg_retail_price,mango-langra_avg_wholesale_price,olive_avg_retail_price,olive_avg_wholesale_price,orange_avg_retail_price,orange_avg_wholesale_price,pear_avg_retail_price,pear_avg_wholesale_price,pineapple-jaldubi_avg_retail_price,pineapple-jaldubi_avg_wholesale_price,pineapple-kelenga_avg_retail_price,pineapple-kelenga_avg_wholesale_price,pineapple-local_avg_retail_price,pineapple-local_avg_wholesale_price,raisin_avg_retail_price,raisin_avg_wholesale_price,ripe papaya (big)_avg_retail_price,ripe papaya (big)_avg_wholesale_price,ripe papaya (small)_avg_retail_price,ripe papaya (small)_avg_wholesale_price,tamarind  with seed_avg_retail_price,tamarind  with seed_avg_wholesale_price,tamarind without seed_avg_retail_price,tamarind without seed_avg_wholesale_price,watermelon_avg_retail_price,watermelon_avg_wholesale_price
2013-01-01,,,,,,,,,145.0,11050.0,,,,,16.5,220.0,,,22.0,250.0,,,,,,,,,,,,,,,,,,,27.5,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,1330.0,,,,,,,,,,,,,,,,,,,,
2013-01-02,9.0,347.0,12.0,865.0,,,,,144.5,11401.0,11.0,182.0,17.5,264.0,13.5,188.0,13.0,239.0,11.0,186.0,,,,,,,,,6.5,267.0,,,28.5,2625.0,3.5,,,,24.0,2233.0,,,,,,,,,,,,,105.0,16000.0,210.0,16000.0,,,,,,,,,,,,,,,,,,,,,,,56.5,1180.0,,,,,32.5,,,,368.0,21117.0,52.0,3250.0,30.5,2100.0,85.0,7500.0,132.5,12000.0,,
2013-01-03,,,,,,,,,145.0,11250.0,,,,,16.5,220.0,,,22.0,250.0,,,,,,,,,,,,,,,,,,,27.5,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,1330.0,,,,,,,,,,,,,,,,,,,,
2013-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-06,,,,,,,,,145.0,11250.0,,,,,16.5,220.0,,,22.0,250.0,,,,,,,,,,,,,,,,,,,27.5,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,1330.0,,,,,,,,,,,,,,,,,,,,
2013-01-07,,,,,,,,,145.0,11250.0,,,,,16.5,220.0,,,22.0,250.0,,,,,,,,,,,,,,,,,,,27.5,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,1330.0,,,,,,,,,,,,,,,,,,,,
2013-01-08,,,,,,,,,145.0,11250.0,,,,,16.5,220.0,,,22.0,250.0,,,,,,,,,,,,,,,,,,,27.5,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,1330.0,,,,,,,,,,,,,,,,,,,,
2013-01-09,11.0,386.0,12.0,865.0,,,,,144.5,11001.0,11.0,205.0,17.0,264.0,13.5,190.0,13.0,250.0,11.0,180.0,,,,,62.5,5500.0,,,10.0,292.0,,,29.0,2686.0,3.5,,,,23.5,2220.0,,,,,,,,,,,,,105.0,16000.0,210.0,16000.0,,,,,,,,,,,,,,,,,,,,,,,56.0,2650.0,,,,,,,,,368.0,21117.0,57.0,4500.0,33.0,3000.0,85.0,7500.0,132.5,12000.0,,
2013-01-10,,,,,,,,,140.0,11050.0,,,,,16.5,230.0,,,22.0,260.0,,,,,,,,,,,,,,,,,,,27.5,2200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,1300.0,,,,,,,,,,,,,,,,,,,,
2013-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-13,,,,,,,,,140.0,11050.0,,,,,16.5,230.0,,,22.0,250.0,,,,,,,,,,,,,,,,,,,27.5,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,1300.0,,,,,,,,,,,,,,,,,,,,
2013-01-14,,,,,,,,,140.0,11050.0,,,,,16.5,230.0,,,22.5,250.0,,,,,,,,,,,,,,,,,,,27.5,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,1270.0,,,,,,,,,,,,,,,,,,,,
2013-01-15,,,,,,,,,140.0,11050.0,,,,,16.5,230.0,,,22.5,250.0,,,,,,,,,,,,,,,,,,,27.5,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,1270.0,,,,,,,,,,,,,,,,,,,,
2013-01-16,7.5,359.0,16.0,865.0,,,,,144.5,10963.0,11.0,198.0,17.0,278.0,13.5,201.0,13.0,234.0,11.0,173.0,,,,,55.0,5000.0,,,7.0,300.0,,,30.0,2800.0,3.5,,,,23.0,2175.0,,,,,,,,,,,,,105.0,16000.0,210.0,16000.0,,,,,,,,,,,,,,,,,,,,,,,58.5,1417.0,,,,,,,,,369.0,21450.0,59.0,5000.0,35.0,3500.0,90.0,7500.0,132.5,12000.0,,
2013-01-17,,,,,,,,,140.0,11050.0,,,,,16.5,230.0,,,22.5,250.0,,,,,,,,,,,,,,,,,,,27.5,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,1270.0,,,,,,,,,,,,,,,,,,,,
2013-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
