date,buffalo calf leather_avg_retail_price,buffalo calf leather_avg_wholesale_price,buffalo leather (heavy)_avg_retail_price,buffalo leather (heavy)_avg_wholesale_price,buffalo leather (light)_avg_retail_price,buffalo leather (light)_avg_wholesale_price,buffalo leather (medium)_avg_retail_price,buffalo leather (medium)_avg_wholesale_price,buffalo leather (ripped)_avg_retail_price,buffalo leather (ripped)_avg_wholesale_price,calf leather (medium) - salt mixed_avg_retail_price,calf leather (medium) - salt mixed_avg_wholesale_price,calf leather - salt mixed_avg_retail_price,calf leather - salt mixed_avg_wholesale_price,cow leather (heavy) - salt mixed_avg_retail_price,cow leather (heavy) - salt mixed_avg_wholesale_price,cow leather (light) - salt mixed_avg_retail_price,cow leather (light) - salt mixed_avg_wholesale_price,cow leather (ripped) - salt mixed_avg_retail_price,cow leather (ripped) - salt mixed_avg_wholesale_price,goat leather_avg_retail_price,goat leather_avg_wholesale_price,ram leather_sheep leather_avg_retail_price,ram leather_sheep leather_avg_wholesale_price
2013-01-02,,,1233.5,170000.0,,,,,,,1131.5,100863.0,595.0,57800.0,1719.0,163029.0,721.0,96250.0,600.0,25200.0,169.5,19895.0,146.5,17400.0
2013-01-03,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-04,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-05,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-06,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-07,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-08,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-09,,,1233.5,170000.0,,,,,,,1131.5,100863.0,595.0,57800.0,1719.0,163029.0,721.0,96250.0,600.0,25200.0,169.5,19895.0,146.5,17400.0
2013-01-10,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-11,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-12,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-13,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-14,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-15,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-16,,,1233.5,145000.0,,,,80000.0,,,1133.5,106767.0,595.0,50833.0,1733.5,167650.0,668.0,89000.0,600.0,25200.0,165.5,19462.0,148.5,19000.0
2013-01-17,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-18,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-19,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-20,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-21,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-22,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-23,,,1250.0,145000.0,,,,80000.0,,,1187.5,108888.0,595.0,49000.0,1750.0,167700.0,654.5,76250.0,600.0,25250.0,172.0,19400.0,166.0,19250.0
2013-01-24,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-25,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-26,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-27,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-28,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-29,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-30,,,1212.5,145000.0,,,650.0,80000.0,,,1255.5,120122.0,595.5,50833.0,1877.5,187956.0,682.0,76250.0,600.0,25250.0,180.5,21022.0,162.0,19200.0
2013-01-31,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-01,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-02,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-03,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-04,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-05,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-06,,,1212.5,170000.0,,60000.0,650.0,80000.0,,,1300.0,122638.0,629.5,55000.0,1944.5,193086.0,739.5,81667.0,700.0,25250.0,185.0,21025.0,167.5,18000.0
2013-02-07,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-08,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-09,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-10,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-11,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-12,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-13,,,1250.0,170000.0,,60000.0,,80000.0,,,1237.5,112638.0,635.0,55800.0,1825.0,177371.0,720.5,82250.0,700.0,25250.0,177.0,20400.0,173.0,17200.0
2013-02-14,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-15,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-16,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-17,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-18,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-19,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-20,,,1212.5,170000.0,,,650.0,,,,1318.5,107300.0,629.5,57250.0,1969.0,174514.0,804.0,82250.0,700.0,25250.0,196.5,19743.0,167.5,17750.0
2013-02-21,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-22,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-23,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-24,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-25,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-26,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-27,,,1137.5,140000.0,,,650.0,,,,1283.0,102220.0,643.0,55000.0,1922.5,168320.0,737.5,81667.0,650.0,25250.0,180.0,18640.0,163.0,18500.0
2013-02-28,,,,,,,,,,,,130000.0,,,,200000.0,,,,,,25000.0,,22000.0
2013-03-01,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-02,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-03,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-04,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-05,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-06,,,1237.5,140000.0,600.0,60000.0,725.0,80000.0,,,1380.0,108729.0,650.0,55800.0,19086.5,168800.0,897.0,81800.0,700.0,25250.0,210.5,19743.0,175.5,16000.0
2013-03-07,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-08,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-09,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-10,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-11,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-12,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-13,,,1262.5,140000.0,600.0,60000.0,725.0,80000.0,,,1368.5,108729.0,653.5,55800.0,20013.5,168800.0,797.0,81800.0,700.0,25250.0,199.0,19743.0,175.5,16000.0
2013-03-14,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-15,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-16,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-17,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-18,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-19,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-20,,,1262.5,140000.0,600.0,60000.0,725.0,80000.0,,,1489.0,116850.0,653.5,55800.0,24150.0,170267.0,937.5,91000.0,700.0,25250.0,223.5,20700.0,190.0,17667.0
2013-03-21,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-22,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-23,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-24,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-25,,,,,,,,,,,,,,,,,,,,,,,,
